table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_r_d_expenditures,field_federal_government,field_state_and_local_government,field_business,field_nonprofit_organizations,field_all_other_sources
6876,r001,All FFRDCs,All FFRDCs,,,1,"['24,921,476', ' ']","['24,509,691', ' ']","['43,774', ' ']","['195,954', ' ']","['49,016', ' ']","['123,041', ' ']"
6876,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['6,850,276', ' ']","['6,700,555', ' ']","['16,003', ' ']","['61,027', ' ']","['20,075', ' ']","['52,616', ' ']"
6876,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['34,214', '']","['34,016', '']","['15', '']","['183', '']","['0', '']","['0', '']"
6876,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['856,568', '']","['832,400', '']","['109', '']","['19,241', '']","['246', '']","['4,572', '']"
6876,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['319,051', '']","['317,812', '']","['0', '']","['472', '']","['547', '']","['220', '']"
6876,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,"['8,629', '']","['8,629', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6876,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,388,355', '']","['2,388,355', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6876,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['966,972', '']","['910,428', '']","['10,372', '']","['25,431', '']","['5,093', '']","['15,648', '']"
6876,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,136,133', '']","['1,110,465', '']","['0', '']","['3,170', '']","['0', '']","['22,498', '']"
6876,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['181,010', '']","['161,163', '']","['1,178', '']","['7,340', '']","['11,329', '']","['0', '']"
6876,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['94,202', '']","['93,313', '']","['0', '']","['260', '']","['374', '']","['255', '']"
6876,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['17,684', '']","['17,680', '']","['0', '']","['0', '']","['0', '']","['4', '']"
6876,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,"['75,251', '']","['73,393', '']","['0', '']","['0', '']","['0', '']","['1,858', '']"
6876,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['115,505', '']","['113,591', '']","['0', '']","['341', '']","['0', '']","['1,573', '']"
6876,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['396,780', '']","['382,252', '']","['2,183', '']","['4,011', '']","['2,440', '']","['5,894', '']"
6876,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['120,443', '']","['120,443', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6876,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['139,479', '']","['136,615', '']","['2,146', '']","['578', '']","['46', '']","['94', '']"
6876,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['8,370,508', ' ']","['8,215,876', ' ']","['25,413', ' ']","['71,285', ' ']","['28,131', ' ']","['29,803', ' ']"
6876,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['1,128,241', '']","['1,121,569', '']","['0', '']","['5,294', '']","['0', '']","['1,378', '']"
6876,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['38,304', '']","['38,304', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6876,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['637,658', '']","['620,000', '']","['7,673', '']","['6,663', '']","['539', '']","['2,783', '']"
