table_id,row_id,occupation_disability_status_and_sex_full_path,occupation_disability_status_and_sex_level_1,occupation_disability_status_and_sex_level_2,occupation_disability_status_and_sex_level_3,occupation_disability_status_and_sex_level_4,occupation_disability_status_and_sex_level_5,occupation_disability_status_and_sex_level_6,occupation_disability_status_and_sex_hierarchy_depth,field_total,field_4_year_educational_institutiona_tenured,field_4_year_educational_institutiona_not_tenured_on_tenure_track,field_4_year_educational_institutiona_not_tenured_not_on_tenure_track,field_4_year_educational_institutiona_tenure_not_applicable,field_other_employment_sectors_other_educational_institutionb,field_other_employment_sectors_private_sector_for_profitc,field_other_employment_sectors_private_sector_nonprofit,field_other_employment_sectors_federal_government,field_other_employment_sectors_state_or_local_government,field_other_employment_sectors_self_employedd,field_other_employment_sectors_othere
3324,r001,All occupations,All occupations,,,,,,1,857200,160500,50850,52200,80800,30900,307550,55900,50150,18850,40750,8850
3324,r002,All occupations -> Without disability,All occupations,Without disability,,,,,2,786900,144150,47100,48000,73850,28000,286650,51800,46100,17200,36100,8000
3324,r003,All occupations -> With disability,All occupations,With disability,,,,,2,70300,16350,3800,4200,6950,2900,20900,4150,4050,1650,4600,800
3324,r004,All occupations -> Female,All occupations,Female,,,,,2,311200,50350,21600,22500,38050,16600,88250,24800,19000,7900,19000,3200
3324,r005,All occupations -> Female -> Without disability,All occupations,Female,Without disability,,,,3,288400,45350,19700,20950,35500,15250,83200,23050,17800,7300,17250,3000
3324,r006,All occupations -> Female -> With disability,All occupations,Female,With disability,,,,3,22750,5000,1850,1600,2550,1350,5000,1750,1150,600,1700,150
3324,r007,All occupations -> Male,All occupations,Male,,,,,2,546050,110100,29300,29650,42800,14300,219300,31100,31150,10950,21750,5650
3324,r008,All occupations -> Male -> Without disability,All occupations,Male,Without disability,,,,3,498500,98750,27350,27050,38350,12700,203400,28750,28250,9950,18850,5000
3324,r009,All occupations -> Male -> With disability,All occupations,Male,With disability,,,,3,47550,11350,1950,2600,4400,1550,15900,2350,2900,1000,2900,650
3324,r010,All occupations -> S&E occupations<sup>f</sup>,All occupations,S&E occupations<sup>f</sup>,,,,,2,613400,127450,41550,39450,57850,18550,210450,34400,39750,12500,25400,6050
