table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees,field_10_19_employees,field_20_49_employees,field_50_99_employees,field_100_249_employees,field_250_499_employees,field_500_999_employees,field_1_000_4_999_employees,field_5_000_9_999_employees,field_10_000_24_999_employees,field_25_000_or_more_employees
7471,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['43,789,888,418', '&nbsp;']","['1,766,171,206', '&nbsp;']","['1,875,038,115', '&nbsp;']","['2,711,283,849', '&nbsp;']","['5,694,569,130', '&nbsp;']","['4,184,676,802', '&nbsp;']","['5,407,761,397', '&nbsp;']","['2,110,126,497', '&nbsp;']","['2,126,308,441', '&nbsp;']","['4,841,058,046', '&nbsp;']","['2,079,831,820', '&nbsp;']","['3,113,834,919', '&nbsp;']","['7,879,228,195', '&nbsp;']"
7471,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['5,614,701,560', '&nbsp;']","['47,103,522', '&nbsp;']","['65,356,521', '&nbsp;']","['122,124,124', '&nbsp;']","['286,028,663', '&nbsp;']","['233,954,235', '&nbsp;']","['291,337,766', '&nbsp;']","['272,567,900', '&nbsp;']","['285,407,252', '&nbsp;']","['816,225,504', '&nbsp;']","['609,446,789', '&nbsp;']","['1,103,977,001', '&nbsp;']","['1,481,172,284', '&nbsp;']"
7471,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['700,053,225', '&nbsp;']","['8,937,047', '&nbsp;']","['5,524,906', '&nbsp;']","['13,155,130', '&nbsp;']","['47,530,955', '&nbsp;']","['33,808,762', '&nbsp;']","['44,122,083', '&nbsp;']","['45,341,147', '&nbsp;']","['65,130,261', '&nbsp;']","['110,066,820', '&nbsp;']","['38,112,215', '&nbsp;']","['145,084,579', '&nbsp;']","['143,239,320', '&nbsp;']"
7471,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['120,998,916', '&nbsp;']","['976,605', '&nbsp;']","['3,089,396', '&nbsp;']","['4,709,915', '&nbsp;']","['7,574,701', '&nbsp;']","['7,857,188', 'r']","['6,590,929', '&nbsp;']","['3,753,174', '&nbsp;']","['3,860,875', '&nbsp;']","['12,019,400', '&nbsp;']","['15,208,309', '&nbsp;']","['20,384', '&nbsp;']","['55,338,041', '&nbsp;']"
7471,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['57,600,502', '&nbsp;']","['2,929,212', '&nbsp;']","['1,663,453', '&nbsp;']","['7,016,670', '&nbsp;']","['18,995,254', '&nbsp;']","['4,507,588', '&nbsp;']","['3,480,943', '&nbsp;']","['4,533,509', '&nbsp;']","['2,684,004', '&nbsp;']","['5,549,464', '&nbsp;']","['6,240,405', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['114,936,729', '&nbsp;']","['1,527,090', '&nbsp;']","['4,166,448', '&nbsp;']","['6,212,973', '&nbsp;']","['16,280,826', '&nbsp;']","['6,010,944', '&nbsp;']","['13,889,774', '&nbsp;']","['12,681,393', '&nbsp;']","['5,653,176', '&nbsp;']","['23,927,827', '&nbsp;']","['23,868,735', '&nbsp;']","['717,543', '&nbsp;']","['0', '&nbsp;']"
7471,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['265,066,881', '&nbsp;']","['891,784', 'r']","['214,198', '&nbsp;']","['2,931,071', 'r']","['3,120,889', '&nbsp;']","['5,799,490', '&nbsp;']","['5,972,563', '&nbsp;']","['3,966,623', '&nbsp;']","['8,276,450', '&nbsp;']","['33,739,819', '&nbsp;']","['9,597,811', '&nbsp;']","['7,146,182', '&nbsp;']","['183,410,003', '&nbsp;']"
7471,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['74,582,015', '&nbsp;']","['3,759,232', '&nbsp;']","['4,637,321', '&nbsp;']","['3,781,147', '&nbsp;']","['8,799,938', '&nbsp;']","['17,184,759', '&nbsp;']","['6,095,123', '&nbsp;']","['2,825,385', '&nbsp;']","['4,334,348', '&nbsp;']","['8,181,697', '&nbsp;']","['0', '&nbsp;']","['6,344,962', '&nbsp;']","['8,638,103', '&nbsp;']"
7471,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,079,281,024', '&nbsp;']","['721,207', 'r']","['399,617', 'r']","['844,781', '&nbsp;']","['867,580', '&nbsp;']","['2,146,240', '&nbsp;']","['1,503,596', '&nbsp;']","['6,641,427', '&nbsp;']","['20,542,955', '&nbsp;']","['112,456,433', '&nbsp;']","['209,299,805', '&nbsp;']","['543,948,377', '&nbsp;']","['179,909,006', '&nbsp;']"
7471,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['457,968,253', '&nbsp;']","['1,930,374', '&nbsp;']","['2,335,675', '&nbsp;']","['4,420,396', '&nbsp;']","['13,075,623', '&nbsp;']","['14,932,420', '&nbsp;']","['24,930,593', '&nbsp;']","['23,874,347', '&nbsp;']","['26,990,420', '&nbsp;']","['109,156,481', '&nbsp;']","['77,855,993', '&nbsp;']","['59,541,105', '&nbsp;']","['98,924,826', '&nbsp;']"
7471,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical",,4,3253,"['13,441,609', '&nbsp;']","['51,497', '&nbsp;']","['83,254', '&nbsp;']","['499,006', 'r']","['610,823', '&nbsp;']","['2,804,381', 'r']","['1,861,494', '&nbsp;']","['1,165,501', '&nbsp;']","['0', '&nbsp;']","['2,727,898', '&nbsp;']","['3,637,755', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['165,783,109', '&nbsp;']","['445,734', '&nbsp;']","['602,273', '&nbsp;']","['712,435', '&nbsp;']","['1,661,966', '&nbsp;']","['2,041,139', '&nbsp;']","['7,577,581', '&nbsp;']","['10,686,484', '&nbsp;']","['4,001,866', '&nbsp;']","['9,238,239', '&nbsp;']","['24,614,474', '&nbsp;']","['5,276,093', '&nbsp;']","['98,924,826', '&nbsp;']"
7471,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['32,391,351', '&nbsp;']","['521,882', '&nbsp;']","['442,903', '&nbsp;']","['553,727', '&nbsp;']","['1,344,185', '&nbsp;']","['1,337,783', '&nbsp;']","['6,622,716', '&nbsp;']","['1,094,023', '&nbsp;']","['734,657', '&nbsp;']","['12,159,446', '&nbsp;']","['7,580,030', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['246,352,183', '&nbsp;']","['911,261', '&nbsp;']","['1,207,245', '&nbsp;']","['2,655,228', '&nbsp;']","['9,458,649', '&nbsp;']","['8,749,118', '&nbsp;']","['8,868,801', '&nbsp;']","['10,928,340', 'r']","['22,253,897', '&nbsp;']","['85,030,898', '&nbsp;']","['42,023,734', '&nbsp;']","['54,265,013', '&nbsp;']","['0', '&nbsp;']"
7471,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['205,605,721', '&nbsp;']","['1,214,227', '&nbsp;']","['1,770,427', '&nbsp;']","['7,571,244', '&nbsp;']","['10,700,736', '&nbsp;']","['9,744,427', '&nbsp;']","['30,631,369', '&nbsp;']","['14,451,708', '&nbsp;']","['15,082,765', '&nbsp;']","['54,378,751', '&nbsp;']","['18,070,098', '&nbsp;']","['19,180,365', '&nbsp;']","['22,809,603', '&nbsp;']"
7471,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['126,509,522', '&nbsp;']","['1,199,246', '&nbsp;']","['2,254,822', '&nbsp;']","['6,241,842', '&nbsp;']","['6,674,861', '&nbsp;']","['25,600,334', 'r']","['5,431,531', '&nbsp;']","['14,939,504', 'r']","['8,812,219', '&nbsp;']","['30,041,759', '&nbsp;']","['15,494,755', '&nbsp;']","['9,818,649', '&nbsp;']","['0', '&nbsp;']"
7471,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['202,425,721', '&nbsp;']","['294,459', '&nbsp;']","['589,348', '&nbsp;']","['1,319,875', '&nbsp;']","['4,806,118', '&nbsp;']","['9,369,803', '&nbsp;']","['12,295,814', '&nbsp;']","['12,232,527', '&nbsp;']","['13,053,432', '&nbsp;']","['51,593,945', '&nbsp;']","['8,550,180', '&nbsp;']","['67,860,801', '&nbsp;']","['20,459,420', '&nbsp;']"
7471,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['354,639,483', '&nbsp;']","['10,647,436', '&nbsp;']","['13,622,056', '&nbsp;']","['27,855,772', '&nbsp;']","['88,499,022', '&nbsp;']","['40,774,881', '&nbsp;']","['45,960,430', '&nbsp;']","['29,046,947', '&nbsp;']","['20,184,741', '&nbsp;']","['40,663,530', '&nbsp;']","['24,567,117', '&nbsp;']","['12,817,553', '&nbsp;']","['0', '&nbsp;']"
7471,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['374,001,247', '&nbsp;']","['2,418,213', '&nbsp;']","['4,676,397', '&nbsp;']","['10,374,862', '&nbsp;']","['17,543,711', '&nbsp;']","['17,943,808', '&nbsp;']","['30,088,970', '&nbsp;']","['26,576,823', 'r']","['22,540,504', '&nbsp;']","['56,510,357', '&nbsp;']","['35,049,900', '&nbsp;']","['11,883,614', '&nbsp;']","['138,394,088', '&nbsp;']"
7471,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['274,880,112', '&nbsp;']","['1,983,157', '&nbsp;']","['2,736,332', '&nbsp;']","['5,849,619', '&nbsp;']","['9,619,263', '&nbsp;']","['11,610,140', '&nbsp;']","['11,619,887', '&nbsp;']","['16,063,786', '&nbsp;']","['23,032,529', '&nbsp;']","['51,290,484', '&nbsp;']","['23,451,756', '&nbsp;']","['50,720,702', '&nbsp;']","['66,902,456', '&nbsp;']"
7471,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['13,261,292', '&nbsp;']","['145,069', '&nbsp;']","['216,172', '&nbsp;']","['1,016,862', '&nbsp;']","['612,486', '&nbsp;']","['1,071,468', '&nbsp;']","['2,396,911', '&nbsp;']","['864,922', '&nbsp;']","['0', '&nbsp;']","['6,937,402', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['115,287,742', '&nbsp;']","['1,144,038', '&nbsp;']","['816,456', '&nbsp;']","['1,264,715', '&nbsp;']","['1,950,966', '&nbsp;']","['6,723,967', '&nbsp;']","['3,781,634', '&nbsp;']","['7,260,430', '&nbsp;']","['14,945,144', '&nbsp;']","['24,721,424', '&nbsp;']","['14,064,639', '&nbsp;']","['25,121,575', '&nbsp;']","['13,492,755', '&nbsp;']"
7471,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['137,478,172', '&nbsp;']","['452,925', '&nbsp;']","['1,434,671', '&nbsp;']","['3,207,790', '&nbsp;']","['4,796,381', '&nbsp;']","['3,175,006', '&nbsp;']","['3,804,960', '&nbsp;']","['7,388,971', '&nbsp;']","['7,585,782', '&nbsp;']","['17,235,742', '&nbsp;']","['9,387,117', '&nbsp;']","['25,599,126', '&nbsp;']","['53,409,701', '&nbsp;']"
7471,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['8,852,906', '&nbsp;']","['241,125', '&nbsp;']","['269,033', '&nbsp;']","['360,252', '&nbsp;']","['2,259,429', 'r']","['639,701', '&nbsp;']","['1,636,383', '&nbsp;']","['549,463', '&nbsp;']","['501,604', '&nbsp;']","['2,395,917', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['93,104,278', '&nbsp;']","['583,198', '&nbsp;']","['710,866', '&nbsp;']","['4,153,760', 'r']","['4,586,692', '&nbsp;']","['2,667,126', '&nbsp;']","['5,380,770', '&nbsp;']","['3,717,211', '&nbsp;']","['4,738,561', '&nbsp;']","['10,895,005', '&nbsp;']","['511,070', '&nbsp;']","['24,055,763', '&nbsp;']","['31,104,256', '&nbsp;']"
7471,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['954,880,048', '&nbsp;']","['1,918,100', '&nbsp;']","['5,522,211', 'r']","['4,202,865', '&nbsp;']","['7,060,179', '&nbsp;']","['9,976,162', '&nbsp;']","['30,050,776', '&nbsp;']","['27,000,178', '&nbsp;']","['29,836,272', '&nbsp;']","['77,403,175', '&nbsp;']","['97,923,856', '&nbsp;']","['131,943,114', '&nbsp;']","['532,043,161', '&nbsp;']"
7471,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['767,273,674', '&nbsp;']","['1,245,905', '&nbsp;']","['4,903,343', 'r']","['2,704,940', '&nbsp;']","['4,383,272', '&nbsp;']","['7,325,460', '&nbsp;']","['20,303,428', '&nbsp;']","['22,591,583', '&nbsp;']","['25,652,624', '&nbsp;']","['48,597,964', '&nbsp;']","['84,161,212', '&nbsp;']","['110,518,777', '&nbsp;']","['434,885,166', '&nbsp;']"
7471,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['143,324,611', '&nbsp;']","['319,273', '&nbsp;']","['142,389', '&nbsp;']","['537,190', '&nbsp;']","['1,107,653', '&nbsp;']","['1,205,178', '&nbsp;']","['3,403,155', '&nbsp;']","['2,041,748', '&nbsp;']","['1,916,559', '&nbsp;']","['13,095,296', '&nbsp;']","['4,102,968', '&nbsp;']","['18,295,207', '&nbsp;']","['97,157,995', '&nbsp;']"
7471,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['44,281,763', '&nbsp;']","['352,923', '&nbsp;']","['476,479', '&nbsp;']","['960,735', '&nbsp;']","['1,569,253', '&nbsp;']","['1,445,524', '&nbsp;']","['6,344,193', '&nbsp;']","['2,366,848', '&nbsp;']","['2,267,089', '&nbsp;']","['15,709,915', '&nbsp;']","['9,659,675', '&nbsp;']","['3,129,130', '&nbsp;']","['0', '&nbsp;']"
7471,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['68,475,326', '&nbsp;']","['2,286,054', '&nbsp;']","['5,208,285', '&nbsp;']","['3,360,336', '&nbsp;']","['13,577,153', '&nbsp;']","['6,264,477', '&nbsp;']","['6,070,860', '&nbsp;']","['3,332,158', '&nbsp;']","['4,281,154', '&nbsp;']","['9,891,490', '&nbsp;']","['5,316,121', '&nbsp;']","['8,887,238', '&nbsp;']","['0', '&nbsp;']"
7471,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['89,661,719', '&nbsp;']","['2,876,270', '&nbsp;']","['6,230,794', '&nbsp;']","['8,121,867', '&nbsp;']","['6,715,164', '&nbsp;']","['7,755,685', '&nbsp;']","['7,205,497', '&nbsp;']","['21,590,055', 'r']","['6,372,586', '&nbsp;']","['18,459,066', '&nbsp;']","['328,665', '&nbsp;']","['4,006,070', '&nbsp;']","['0', '&nbsp;']"
7471,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['39,943,996', '&nbsp;']","['994,235', '&nbsp;']","['2,248,043', '&nbsp;']","['2,708,913', '&nbsp;']","['1,836,649', '&nbsp;']","['2,337,501', '&nbsp;']","['2,912,899', '&nbsp;']","['5,809,597', 'r']","['1,878,870', '&nbsp;']","['15,211,221', '&nbsp;']","['0', '&nbsp;']","['4,006,070', '&nbsp;']","['0', '&nbsp;']"
7471,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['49,717,722', '&nbsp;']","['1,882,036', '&nbsp;']","['3,982,751', '&nbsp;']","['5,412,954', '&nbsp;']","['4,878,515', '&nbsp;']","['5,418,184', '&nbsp;']","['4,292,598', '&nbsp;']","['15,780,459', 'r']","['4,493,716', '&nbsp;']","['3,247,846', '&nbsp;']","['328,665', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['38,175,186,858', '&nbsp;']","['1,719,067,684', '&nbsp;']","['1,809,681,594', '&nbsp;']","['2,589,159,724', '&nbsp;']","['5,408,540,467', '&nbsp;']","['3,950,722,567', '&nbsp;']","['5,116,423,632', '&nbsp;']","['1,837,558,597', '&nbsp;']","['1,840,901,189', '&nbsp;']","['4,024,832,543', '&nbsp;']","['1,470,385,031', '&nbsp;']","['2,009,857,918', '&nbsp;']","['6,398,055,911', '&nbsp;']"
7471,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['452,596,828', 'r']","['13,502,592', '&nbsp;']","['10,742,055', '&nbsp;']","['6,256,771', '&nbsp;']","['18,019,314', 'r']","['9,757,145', 'r']","['4,172,100', '&nbsp;']","['1,366,317', '&nbsp;']","['4,198,062', '&nbsp;']","['384,490,361', 'r']","['0', '&nbsp;']","['92,111', '&nbsp;']","['0', '&nbsp;']"
7471,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['447,802,122', '&nbsp;']","['4,017,448', '&nbsp;']","['5,407,278', '&nbsp;']","['6,741,936', '&nbsp;']","['14,934,435', '&nbsp;']","['20,690,631', '&nbsp;']","['36,283,632', '&nbsp;']","['19,389,368', '&nbsp;']","['44,494,511', '&nbsp;']","['190,526,333', '&nbsp;']","['41,136,064', '&nbsp;']","['41,947,857', '&nbsp;']","['22,232,628', '&nbsp;']"
7471,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['451,057,405', '&nbsp;']","['971,484', '&nbsp;']","['839,805', '&nbsp;']","['1,500,096', '&nbsp;']","['8,477,351', 'r']","['1,965,098', '&nbsp;']","['2,517,131', '&nbsp;']","['7,062,711', '&nbsp;']","['9,684,645', '&nbsp;']","['175,416,561', '&nbsp;']","['41,756,206', '&nbsp;']","['121,064,657', '&nbsp;']","['79,801,659', '&nbsp;']"
7471,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['2,709,580,583', '&nbsp;']","['275,433,962', '&nbsp;']","['252,291,756', '&nbsp;']","['299,175,438', '&nbsp;']","['595,368,160', '&nbsp;']","['485,377,852', '&nbsp;']","['250,997,333', '&nbsp;']","['156,099,375', '&nbsp;']","['74,939,945', '&nbsp;']","['207,311,578', '&nbsp;']","['60,943,831', '&nbsp;']","['28,609,130', '&nbsp;']","['23,032,222', '&nbsp;']"
7471,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['3,083,626,778', '&nbsp;']","['154,780,629', '&nbsp;']","['163,920,458', '&nbsp;']","['197,831,114', '&nbsp;']","['372,349,958', '&nbsp;']","['286,013,107', '&nbsp;']","['282,472,601', '&nbsp;']","['284,304,136', '&nbsp;']","['229,604,864', '&nbsp;']","['365,704,406', '&nbsp;']","['176,367,521', '&nbsp;']","['220,661,698', '&nbsp;']","['349,616,286', '&nbsp;']"
7471,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['5,125,621,777', '&nbsp;']","['219,879,917', '&nbsp;']","['281,708,558', '&nbsp;']","['261,095,579', '&nbsp;']","['538,641,255', '&nbsp;']","['232,818,743', '&nbsp;']","['435,087,584', '&nbsp;']","['103,004,298', '&nbsp;']","['107,635,882', '&nbsp;']","['184,127,201', '&nbsp;']","['125,410,742', '&nbsp;']","['114,434,693', '&nbsp;']","['2,521,777,325', '&nbsp;']"
