table_id,row_id,technology,companies_number_,in_use,in_testing_but_not_in_use,not_in_use_nor_testing,don_t_know,did_not_answer
9022,r001,Augmented reality,"['1,192,577', '&nbsp;']","['0.5', '&nbsp;']","['0.4', '&nbsp;']","['81.2', '&nbsp;']","['17.6', '&nbsp;']","['0.2', '&nbsp;']"
9022,r002,Automated guided vehicles (AGV) or AGV systems,"['1,192,577', '&nbsp;']","['0.5', '&nbsp;']","['0.3', '&nbsp;']","['84.2', '&nbsp;']","['14.8', '&nbsp;']","['0.2', '&nbsp;']"
9022,r003,Machine learning,"['1,192,577', '&nbsp;']","['2.3', '&nbsp;']","['1.0', '&nbsp;']","['81.5', '&nbsp;']","['15.0', '&nbsp;']","['0.2', '&nbsp;']"
9022,r004,Machine vision software,"['1,192,577', '&nbsp;']","['1.3', '&nbsp;']","['0.4', '&nbsp;']","['82.8', '&nbsp;']","['15.2', '&nbsp;']","['0.2', '&nbsp;']"
9022,r005,Natural language processing,"['1,192,577', '&nbsp;']","['0.9', '&nbsp;']","['0.4', '&nbsp;']","['83.3', '&nbsp;']","['15.2', '&nbsp;']","['0.2', '&nbsp;']"
9022,r006,Radio-frequency identification (RFID) system,"['1,192,577', '&nbsp;']","['1.9', '&nbsp;']","['0.5', '&nbsp;']","['82.3', '&nbsp;']","['15.0', '&nbsp;']","['0.3', '&nbsp;']"
9022,r007,Robotics,"['1,192,577', '&nbsp;']","['2.0', '&nbsp;']","['0.5', '&nbsp;']","['83.6', '&nbsp;']","['13.7', '&nbsp;']","['0.2', '&nbsp;']"
9022,r008,"Touchscreens/ kiosks for customer interface (examples: self-checkout, self-check-in, touchscreen ordering)","['1,192,577', '&nbsp;']","['9.7', '&nbsp;']","['1.6', '&nbsp;']","['75.7', '&nbsp;']","['12.8', '&nbsp;']","['0.2', '&nbsp;']"
9022,r009,Voice recognition software,"['1,192,577', '&nbsp;']","['1.9', '&nbsp;']","['0.7', '&nbsp;']","['83.6', '&nbsp;']","['13.5', '&nbsp;']","['0.2', '&nbsp;']"
9022,r010,"Additive manufacturing (3D printing), including prototyping","['1,192,577', '&nbsp;']","['1.9', '&nbsp;']","['0.8', '&nbsp;']","['83.2', '&nbsp;']","['13.9', '&nbsp;']","['0.2', '&nbsp;']"
