table_id,row_id,_b_uarc_b_full_path,_b_uarc_b_level_1,_b_uarc_b_level_2,_b_uarc_b_hierarchy_depth,field_total,field_dhs,field_dod,field_doe,field_epa,field_hhs_,field_nasa,field_usda,field_othera
10273,r001,All UARCs,All UARCs,,1,1511567,8148,1059362,157640,1760,14209,267874,2265,310
10273,r002,"All UARCs -> Georgia Institute of Technology, Georgia Tech Research Institute",All UARCs,"Georgia Institute of Technology, Georgia Tech Research Institute",2,49690,0,38299,9242,1760,120,0,269,0
10273,r003,All UARCs -> Johns Hopkins University Applied Physics Laboratory,All UARCs,Johns Hopkins University Applied Physics Laboratory,2,831344,440,566301,6214,0,9555,248405,230,200
10273,r004,All UARCs -> Massachusetts Institute of Technology Institute for Soldier Nanotechnologies,All UARCs,Massachusetts Institute of Technology Institute for Soldier Nanotechnologies,2,108453,0,59067,49386,0,0,0,0,0
10273,r005,All UARCs -> Pennsylvania State University Applied Research Laboratory,All UARCs,Pennsylvania State University Applied Research Laboratory,2,128932,0,115480,13067,0,0,0,275,110
10273,r006,All UARCs -> Stevens Institute of Technology Systems Engineering Research Center,All UARCs,Stevens Institute of Technology Systems Engineering Research Center,2,9594,0,9594,0,0,0,0,0,0
10273,r007,All UARCs -> University of Alaska Geophysical Detection of Nuclear Proliferation,All UARCs,University of Alaska Geophysical Detection of Nuclear Proliferation,2,4964,0,1138,3826,0,0,0,0,0
10273,r008,"All UARCs -> University of California, Santa Barbara Institute for Collaborative Biotechnologies",All UARCs,"University of California, Santa Barbara Institute for Collaborative Biotechnologies",2,69881,0,58089,11792,0,0,0,0,0
10273,r009,"All UARCs -> University of Hawaii, Manoa Applied Research Laboratory",All UARCs,"University of Hawaii, Manoa Applied Research Laboratory",2,15909,0,14341,1508,0,0,0,60,0
10273,r010,All UARCs -> University of Maryland College Park Applied Research Laboratory for Intelligence and Security,All UARCs,University of Maryland College Park Applied Research Laboratory for Intelligence and Security,2,46191,0,45879,297,0,0.05,0,0,0
10273,r011,All UARCs -> University of Nebraska National Strategic Research Institute,All UARCs,University of Nebraska National Strategic Research Institute,2,16594,7708,1934,5588,0,554,0,810,0
10273,r012,All UARCs -> University of Southern California Institute for Creative Technologies,All UARCs,University of Southern California Institute for Creative Technologies,2,13878,0,9827,4051,0,0,0,0,0
10273,r013,All UARCs -> University of Texas at Austin Applied Research Laboratories,All UARCs,University of Texas at Austin Applied Research Laboratories,2,105715,0,82767,20961,0,0,1368,620,0
10273,r014,All UARCs -> University of Washington Applied Physics Laboratory,All UARCs,University of Washington Applied Physics Laboratory,2,43603,0,8532,31108,0,3964,0,0,0
10273,r015,All UARCs -> Utah State University Space Dynamics Laboratory,All UARCs,Utah State University Space Dynamics Laboratory,2,66818,0,48115,601,0,0,18102,0,0
