table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
12680,r001,All HBCUs,All HBCUs,,1,-,"['769,508', '']","['537,305', '']","['70,967', '']","['119,926', '']","['10,955', '']","['22,655', '']","['7,700', '']"
12680,r002,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,1,"['84,756', '']","['47,662', '']","['2,840', '']","['22,461', '']","['4,552', '']","['5,140', '']","['2,101', '']"
12680,r003,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,2,"['65,159', '']","['54,363', '']","['2,851', '']","['6,503', '']","['586', '']","['856', '']","['0', '']"
12680,r004,All HBCUs -> North Carolina A&T State U.,All HBCUs,North Carolina A&T State U.,2,3,"['62,307', '']","['37,152', '']","['2,075', '']","['21,880', '']","['628', '']","['292', '']","['280', '']"
12680,r005,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,4,"['57,125', '']","['41,069', '']","['987', '']","['10,710', '']","['0', '']","['4,359', '']","['0', '']"
12680,r006,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,5,"['43,868', '']","['30,451', '']","['5,582', '']","['5,635', '']","['721', '']","['644', '']","['835', '']"
12680,r007,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,6,"['33,499', '']","['24,167', '']","['4,093', '']","['3,975', '']","['48', '']","['1,181', '']","['35', '']"
12680,r008,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,7,"['28,246', '']","['15,983', '']","['1,177', '']","['10,740', '']","['155', '']","['187', '']","['4', '']"
12680,r009,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,8,"['25,625', '']","['16,023', '']","['3,565', '']","['2,539', '']","['0', '']","['0', '']","['3,498', '']"
12680,r010,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,9,"['22,002', '']","['18,398', '']","['0', '']","['603', '']","['64', '']","['2,937', '']","['0', '']"
12680,r011,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,10,"['21,791', '']","['12,354', '']","['4,391', '']","['3,550', '']","['490', '']","['1,006', '']","['0', '']"
12680,r012,All HBCUs -> U. of the Virgin Islands,All HBCUs,U. of the Virgin Islands,2,11,"['20,259', '']","['19,127', '']","['1,010', '']","['NA', '']","['48', '']","['74', '']","['0', '']"
12680,r013,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,12,"['19,457', '']","['16,443', '']","['0', '']","['1,601', '']","['4', '']","['1,375', '']","['34', '']"
12680,r014,All HBCUs -> Alcorn State U.,All HBCUs,Alcorn State U.,2,13,"['19,141', '']","['10,996', '']","['5,206', '']","['2,894', '']","['24', '']","['21', '']","['0', '']"
12680,r015,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,14,"['18,477', 'i']","['15,188', 'i']","['1,085', 'i']","['NA', '']","['494', 'i']","['883', 'i']","['827', 'i']"
12680,r016,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,15,"['16,287', '']","['10,969', '']","['1,227', '']","['4,042', '']","['0', '']","['49', '']","['0', '']"
12680,r017,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,16,"['15,588', '']","['12,197', '']","['162', '']","['2,848', '']","['381', '']","['0', '']","['0', '']"
12680,r018,All HBCUs -> Fort Valley State U.,All HBCUs,Fort Valley State U.,2,17,"['15,536', '']","['7,505', '']","['8,031', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12680,r019,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,18,"['15,519', '']","['12,833', '']","['722', '']","['1,161', '']","['0', '']","['803', '']","['0', '']"
12680,r020,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,19,"['13,504', '']","['7,166', '']","['3,051', '']","['2,566', '']","['0', '']","['713', '']","['8', '']"
12680,r021,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,20,"['11,591', '']","['7,605', '']","['3,969', '']","['NA', '']","['17', '']","['0', '']","['0', '']"
12680,r022,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,21,"['11,123', '']","['5,523', '']","['3,857', '']","['1,743', '']","['0', '']","['0', '']","['0', '']"
12680,r023,"All HBCUs -> U. Maryland, Eastern Shore",All HBCUs,"U. Maryland, Eastern Shore",2,22,"['10,730', '']","['10,201', '']","['237', '']","['266', '']","['0', '']","['24', '']","['2', '']"
12680,r024,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,23,"['10,505', '']","['5,473', '']","['19', '']","['4,583', '']","['430', '']","['0', '']","['0', '']"
12680,r025,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,24,"['10,320', '']","['7,687', '']","['0', '']","['2,523', '']","['79', '']","['31', '']","['0', '']"
12680,r026,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,25,"['9,769', '']","['9,445', '']","['0', '']","['324', '']","['0', '']","['0', '']","['0', '']"
12680,r027,All HBCUs -> Winston-Salem State U.,All HBCUs,Winston-Salem State U.,2,26,"['8,668', '']","['7,901', '']","['374', '']","['0', '']","['0', '']","['336', '']","['57', '']"
12680,r028,"All HBCUs -> Lincoln U., Jefferson City",All HBCUs,"Lincoln U., Jefferson City",2,27,"['8,196', '']","['4,610', '']","['3,552', '']","['34', '']","['0', '']","['0', '']","['0', '']"
12680,r029,All HBCUs -> U. of the District of Columbia,All HBCUs,U. of the District of Columbia,2,28,"['7,945', '']","['7,367', '']","['384', '']","['48', '']","['0', '']","['131', '']","['15', '']"
12680,r030,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,29,"['7,814', '']","['5,330', '']","['1,531', '']","['890', '']","['0', '']","['63', '']","['0', '']"
12680,r031,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,30,"['7,766', '']","['4,204', '']","['1,294', '']","['2,219', '']","['41', '']","['8', '']","['0', '']"
12680,r032,"All HBCUs -> Southern U. and A&M C., Agricultural Research and Extension Center",All HBCUs,"Southern U. and A&M C., Agricultural Research and Extension Center",2,31,"['7,764', '']","['4,688', '']","['3,037', '']","['24', '']","['0', '']","['15', '']","['0', '']"
12680,r033,All HBCUs -> Norfolk State U.,All HBCUs,Norfolk State U.,2,32,"['6,194', '']","['4,381', '']","['574', '']","['677', '']","['182', '']","['380', '']","['0', '']"
12680,r034,All HBCUs -> Morehouse C.,All HBCUs,Morehouse C.,2,33,"['5,750', '']","['5,750', '']","['0', '']","['NA', '']","['0', '']","['0', '']","['0', '']"
12680,r035,All HBCUs -> West Virginia State U.,All HBCUs,West Virginia State U.,2,34,"['5,226', '']","['2,800', '']","['1,804', '']","['521', '']","['0', '']","['101', '']","['0', '']"
12680,r036,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,35,"['5,201', '']","['4,444', '']","['75', '']","['34', '']","['648', '']","['0', '']","['0', '']"
12680,r037,All HBCUs -> Spelman C.,All HBCUs,Spelman C.,2,36,"['4,877', '']","['4,567', '']","['0', '']","['0', '']","['0', '']","['310', '']","['0', '']"
12680,r038,All HBCUs -> Fisk U.,All HBCUs,Fisk U.,2,37,"['4,867', '']","['3,819', '']","['240', '']","['304', '']","['0', '']","['504', '']","['0', '']"
12680,r039,All HBCUs -> Fayetteville State U.,All HBCUs,Fayetteville State U.,2,38,"['3,569', 'i']","['1,847', 'i']","['536', 'i']","['1,005', 'i']","['130', 'i']","['51', 'i']","['0', 'i']"
12680,r040,All HBCUs -> Alabama State U.,All HBCUs,Alabama State U.,2,39,"['3,229', '']","['2,848', '']","['0', '']","['0', '']","['296', '']","['85', '']","['0', '']"
12680,r041,All HBCUs -> Tougaloo C.,All HBCUs,Tougaloo C.,2,40,"['2,663', 'i']","['2,643', 'i']","['4', 'i']","['4', 'i']","['4', 'i']","['4', 'i']","['4', 'i']"
12680,r042,All HBCUs -> Bowie State U.,All HBCUs,Bowie State U.,2,41,"['2,612', '']","['2,469', '']","['143', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12680,r043,All HBCUs -> Benedict C.,All HBCUs,Benedict C.,2,42,"['2,307', '']","['1,665', '']","['0', '']","['0', '']","['635', '']","['7', '']","['0', '']"
12680,r044,All HBCUs -> Dillard U.,All HBCUs,Dillard U.,2,43,"['2,296', '']","['1,228', '']","['117', '']","['951', '']","['0', '']","['0', '']","['0', '']"
12680,r045,All HBCUs -> Albany State U.,All HBCUs,Albany State U.,2,44,"['1,932', '']","['1,681', '']","['106', '']","['0', '']","['145', '']","['0', '']","['0', '']"
12680,r046,All HBCUs -> Savannah State U.,All HBCUs,Savannah State U.,2,45,"['1,706', '']","['1,675', '']","['18', '']","['0', '']","['0', '']","['13', '']","['0', '']"
12680,r047,All HBCUs -> Elizabeth City State U.,All HBCUs,Elizabeth City State U.,2,46,"['1,641', '']","['1,093', '']","['403', '']","['NA', '']","['145', '']","['0', '']","['0', '']"
12680,r048,All HBCUs -> Johnson C. Smith U.,All HBCUs,Johnson C. Smith U.,2,47,"['1,602', '']","['1,554', '']","['0', '']","['48', '']","['0', '']","['0', '']","['0', '']"
12680,r049,All HBCUs -> Claflin U.,All HBCUs,Claflin U.,2,48,"['1,418', '']","['1,418', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12680,r050,"All HBCUs -> Southern U., New Orleans",All HBCUs,"Southern U., New Orleans",2,49,"['1,004', '']","['536', '']","['460', '']","['0', '']","['8', '']","['0', '']","['0', '']"
12680,r051,All HBCUs -> Lincoln U.,All HBCUs,Lincoln U.,2,50,"['628', '']","['430', '']","['126', '']","['0', '']","['0', '']","['72', '']","['0', '']"
12680,r052,All HBCUs -> Grambling State U.,All HBCUs,Grambling State U.,2,51,"['449', '']","['377', '']","['52', '']","['20', '']","['0', '']","['0', '']","['0', '']"
