table_id,row_id,field_of_study_and_160_primary_160_work_160_activity_full_path,field_of_study_and_160_primary_160_work_160_activity_level_1,field_of_study_and_160_primary_160_work_160_activity_level_2,field_of_study_and_160_primary_160_work_160_activity_level_3,field_of_study_and_160_primary_160_work_160_activity_level_4,field_of_study_and_160_primary_160_work_160_activity_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_secondary_work_activity_computer_applications_number,field_secondary_work_activity_computer_applications_se,field_secondary_work_activity_design_number,field_secondary_work_activity_design_se,field_secondary_work_activity_management_sales_or_administrationa_number,field_secondary_work_activity_management_sales_or_administrationa_se,field_secondary_work_activity_r_db_number,field_secondary_work_activity_r_db_se,field_secondary_work_activity_teaching_number,field_secondary_work_activity_teaching_se,field_secondary_work_activity_otherc_number,field_secondary_work_activity_otherc_se,field_secondary_work_activity_none_number,field_secondary_work_activity_none_se
8202,r001,All fields,All fields,,,,1,340950,2450,11150,575,5250,400,82050,1300,130850,1800,64850,1400,15100,675,31700,1000
8202,r002,All fields -> Computer applications,All fields,Computer applications,,,2,3250,275,na,na,300,75,400,75,1950,225,200,75,100,75,300,100
8202,r003,All fields -> Design,All fields,Design,,,2,1450,200,100,50,na,na,350,100,600,125,S,S,S,S,,
8202,r004,All fields -> Management and administration,All fields,Management and administration,,,2,43700,975,400,125,950,150,13250,550,14650,600,10900,575,2250,225,1300,175
8202,r005,All fields -> Research and development,All fields,Research and development,,,2,136300,1475,7750,475,3100,300,31650,875,33750,1100,47550,1175,3900,350,8600,475
8202,r006,All fields -> Teaching,All fields,Teaching,,,2,133900,1725,2750,300,700,150,29150,875,75050,1350,na,na,8000,475,18250,750
8202,r007,All fields -> U.S. territories and other areas,All fields,U.S. territories and other areas,,,2,22350,825,150,50,200,75,7250,450,4850,350,6050,375,700,175,3150,375
8202,r008,All fields -> Science,All fields,Science,,,2,272450,2175,9000,500,3650,325,67250,1225,104350,1650,50350,1200,11650,575,26250,875
8202,r009,All fields -> Science -> Computer applications,All fields,Science,Computer applications,,3,2450,250,na,na,200,75,250,75,1450,200,150,50,100,75,300,100
8202,r010,All fields -> Science -> Design,All fields,Science,Design,,3,900,150,S,S,na,na,300,75,400,100,50,25,,,,
8202,r011,All fields -> Science -> Management and administration,All fields,Science,Management and administration,,3,34950,875,400,125,650,125,10500,525,11950,575,8650,500,1800,225,1050,150
8202,r012,All fields -> Science -> Research and development,All fields,Science,Research and development,,3,106950,1400,6250,425,2250,250,26000,825,25450,850,36700,1000,3200,300,7150,425
