table_id,row_id,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
1196,r001,All occupations,All occupations,,,,,,1,319400,98800,71250,64850,21150,63400
1196,r002,All occupations -> Female,All occupations,Female,,,,,2,120650,26900,27950,27950,9950,27950
1196,r003,All occupations -> Female -> White,All occupations,Female,White,,,,3,84950,21650,20550,18850,6850,17100
1196,r004,All occupations -> Female -> Asian,All occupations,Female,Asian,,,,3,20850,2700,3900,5000,1800,7500
1196,r005,All occupations -> Female -> Black or African American,All occupations,Female,Black or African American,,,,3,6000,1000,1850,1550,400,1200
1196,r006,All occupations -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,Female,Hispanic or Latino<sup>a</sup>,,,,3,6450,1150,1250,1850,600,1600
1196,r007,All occupations -> Female -> American Indian or Alaska Native,All occupations,Female,American Indian or Alaska Native,,,,3,250,50,100,50,,50
1196,r008,All occupations -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,Female,Native Hawaiian or Other Pacific Islander,,,,3,150,,S,50,,50
1196,r009,All occupations -> Female -> More than one race<sup>b</sup>,All occupations,Female,More than one race<sup>b</sup>,,,,3,1950,350,300,550,250,500
1196,r010,All occupations -> Male,All occupations,Male,,,,,2,198750,71900,43300,36900,11200,35450
1196,r011,All occupations -> Male -> White,All occupations,Male,White,,,,3,140850,55200,30850,24500,8150,22200
1196,r012,All occupations -> Male -> Asian,All occupations,Male,Asian,,,,3,39300,11200,7900,8500,1650,10050
1196,r013,All occupations -> Male -> Black or African American,All occupations,Male,Black or African American,,,,3,6550,1950,1800,1350,500,950
1196,r014,All occupations -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,Male,Hispanic or Latino<sup>a</sup>,,,,3,9000,2600,2050,2100,700,1550
1196,r015,All occupations -> Male -> American Indian or Alaska Native,All occupations,Male,American Indian or Alaska Native,,,,3,350,150,100,50,,50
