table_id,row_id,_b_capitalization_thresholds_b_full_path,_b_capitalization_thresholds_b_level_1,_b_capitalization_thresholds_b_level_2,_b_capitalization_thresholds_b_hierarchy_depth,field_all_institutions,field_highest_degree_granted_doctorate,field_highest_degree_granted_nondoctorate,field_institutional_control_public,field_institutional_control_private
3218,r001,Equipment,Equipment,,1,,,,,
3218,r002,Equipment -> Do not capitalize,Equipment,Do not capitalize,2,11,3,8,7,4
3218,r003,Equipment -> 500,Equipment,500,2,3,3,0,0,3
3218,r004,"Equipment -> 1,000",Equipment,"1,000",2,15,10,5,4,11
3218,r005,"Equipment -> 1,500",Equipment,"1,500",2,2,1,1,0,2
3218,r006,"Equipment -> 2,000",Equipment,"2,000",2,10,3,7,1,9
3218,r007,"Equipment -> 2,500",Equipment,"2,500",2,10,7,3,1,9
3218,r008,"Equipment -> 3,000",Equipment,"3,000",2,19,15,4,4,15
3218,r009,"Equipment -> 3,500",Equipment,"3,500",2,1,1,0,1,0
3218,r010,"Equipment -> 5,000",Equipment,"5,000",2,529,404,125,369,160
3218,r011,"Equipment -> 10,000",Equipment,"10,000",2,11,8,3,3,8
3218,r012,"Equipment -> 15,000",Equipment,"15,000",2,1,0,1,0,1
3218,r013,"Equipment -> 25,000",Equipment,"25,000",2,6,1,5,0,6
3218,r014,"Equipment -> 50,000",Equipment,"50,000",2,1,1,0,0,1
3218,r015,"Equipment -> 100,000",Equipment,"100,000",2,1,0,1,1,0
3218,r016,"Equipment -> 250,000",Equipment,"250,000",2,3,2,1,3,0
3218,r017,"Equipment -> 10,000,000",Equipment,"10,000,000",2,1,1,0,0,1
3218,r018,Software,Software,,1,,,,,
3218,r019,Software -> Do not capitalize,Software,Do not capitalize,2,97,61,36,56,41
3218,r020,Software -> 500,Software,500,2,3,2,1,0,3
3218,r021,"Software -> 1,000",Software,"1,000",2,13,7,6,4,9
3218,r022,"Software -> 1,500",Software,"1,500",2,2,1,1,0,2
3218,r023,"Software -> 2,000",Software,"2,000",2,6,2,4,0,6
3218,r024,"Software -> 2,500",Software,"2,500",2,7,5,2,1,6
3218,r025,"Software -> 3,000",Software,"3,000",2,13,11,2,4,9
3218,r026,"Software -> 5,000",Software,"5,000",2,274,196,78,162,112
3218,r027,"Software -> 10,000",Software,"10,000",2,15,9,6,6,9
3218,r028,"Software -> 15,000",Software,"15,000",2,1,0,1,0,1
3218,r029,"Software -> 20,000",Software,"20,000",2,1,0,1,0,1
3218,r030,"Software -> 25,000",Software,"25,000",2,11,7,4,3,8
3218,r031,"Software -> 50,000",Software,"50,000",2,12,11,1,6,6
3218,r032,"Software -> 75,000",Software,"75,000",2,2,2,0,1,1
3218,r033,"Software -> 100,000",Software,"100,000",2,97,83,14,91,6
3218,r034,"Software -> 140,000",Software,"140,000",2,1,1,0,1,0
3218,r035,"Software -> 200,000",Software,"200,000",2,3,3,0,3,0
3218,r036,"Software -> 250,000",Software,"250,000",2,16,15,1,13,3
3218,r037,"Software -> 300,000",Software,"300,000",2,1,1,0,0,1
3218,r038,"Software -> 400,000",Software,"400,000",2,3,3,0,3,0
3218,r039,"Software -> 500,000",Software,"500,000",2,18,17,1,16,2
3218,r040,"Software -> 1,000,000",Software,"1,000,000",2,22,17,5,21,1
3218,r041,"Software -> 4,000,000",Software,"4,000,000",2,2,2,0,2,0
3218,r042,"Software -> 5,000,000",Software,"5,000,000",2,1,1,0,1,0
3218,r043,"Software -> 10,000,000",Software,"10,000,000",2,1,1,0,0,1
