table_id,row_id,_b_ethnicity_race_and_citizenship_status_b_full_path,_b_ethnicity_race_and_citizenship_status_b_level_1,_b_ethnicity_race_and_citizenship_status_b_level_2,_b_ethnicity_race_and_citizenship_status_b_level_3,_b_ethnicity_race_and_citizenship_status_b_level_4,_b_ethnicity_race_and_citizenship_status_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
9592,r001,All doctorate recipients,All doctorate recipients,,,,1,50943,52703,53986,54886,54809,54552,55078,55609,55208,52194,57596
9592,r002,All doctorate recipients -> U.S. citizen or permanent resident,All doctorate recipients,U.S. citizen or permanent resident,,,2,32981,33964,34003,35071,35678,35736,35349,35227,34462,31891,35311
9592,r003,All doctorate recipients -> Temporary visa holder,All doctorate recipients,Temporary visa holder,,,2,14784,15674,15839,16129,16477,16288,17582,18324,18473,17771,19633
9592,r004,All doctorate recipients -> Unknown citizenship,All doctorate recipients,Unknown citizenship,,,2,3178,3065,4144,3686,2654,2528,2147,2058,2273,2532,2652
9592,r005,All doctorate recipients -> Hispanic or Latino,All doctorate recipients,Hispanic or Latino,,,2,3064,3073,3147,3422,3572,3566,3592,4000,4108,4042,4619
9592,r006,All doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,All doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,2144,2135,2190,2449,2548,2536,2572,2844,2850,2876,3354
9592,r007,All doctorate recipients -> Hispanic or Latino -> Temporary visa holder,All doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,916,921,944,964,1016,997,1016,1146,1253,1153,1262
9592,r008,All doctorate recipients -> Hispanic or Latino -> Unknown citizenship,All doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,4,17,13,9,8,33,4,10,5,13,3
9592,r009,All doctorate recipients -> Not Hispanic or Latino,All doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,,
9592,r010,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,107,126,109,141,136,111,116,124,100,105,106
9592,r011,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,U.S. citizen or permanent resident,4,104,119,103,131,128,109,115,119,97,100,98
9592,r012,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Temporary visa holder<sup>a</sup>,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Temporary visa holder<sup>a</sup>,4,,7,6,10,8,,,5,,,8
9592,r013,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Unknown citizenship,4,,0,0,0,0,,,0,,,0
9592,r014,All doctorate recipients -> Not Hispanic or Latino -> Asian,All doctorate recipients,Not Hispanic or Latino,Asian,,3,12850,13430,13556,13833,14052,14260,14801,15181,15086,14645,16464
9592,r015,All doctorate recipients -> Not Hispanic or Latino -> Asian -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Asian,U.S. citizen or permanent resident,4,2943,2892,2881,3072,3084,3499,3302,3418,3212,3034,3586
9592,r016,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Asian,Temporary visa holder,4,9889,10514,10662,10741,10931,10731,11464,11718,11842,11587,12862
9592,r017,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Asian,Unknown citizenship,4,18,24,13,20,37,30,35,45,32,24,16
9592,r018,All doctorate recipients -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Not Hispanic or Latino,Black or African American,,3,2528,2655,2654,2773,2866,2952,3050,3092,3090,3074,3389
9592,r019,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Black or African American,U.S. citizen or permanent resident,4,2055,2172,2172,2275,2358,2400,2449,2512,2453,2462,2647
9592,r020,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Black or African American,Temporary visa holder,4,469,479,477,493,502,530,595,570,625,596,740
9592,r021,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Black or African American,Unknown citizenship,4,4,4,5,5,6,22,6,10,12,16,2
9592,r022,All doctorate recipients -> Not Hispanic or Latino -> White,All doctorate recipients,Not Hispanic or Latino,White,,3,26982,27871,27947,28619,28766,28347,28553,28079,27770,24819,26879
9592,r023,All doctorate recipients -> Not Hispanic or Latino -> White -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,White,U.S. citizen or permanent resident,4,24010,24749,24829,25375,25502,24844,24924,24214,23929,21436,23320
9592,r024,All doctorate recipients -> Not Hispanic or Latino -> White -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,White,Temporary visa holder,4,2931,3070,3086,3180,3224,3428,3595,3770,3785,3345,3551
9592,r025,All doctorate recipients -> Not Hispanic or Latino -> White -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,White,Unknown citizenship,4,41,52,32,64,40,75,34,95,56,38,8
