table_id,row_id,occupation_and_sex_full_path,occupation_and_sex_level_1,occupation_and_sex_level_2,occupation_and_sex_level_3,occupation_and_sex_level_4,occupation_and_sex_level_5,occupation_and_sex_level_6,occupation_and_sex_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1230,r001,All scientists and engineers,All scientists and engineers,,,,,,1,,,,,,,,,,
1230,r002,All scientists and engineers -> All occupations,All scientists and engineers,All occupations,,,,,2,226520,238685,253657,259821,260429,259383,257129,259690,267499,268115
1230,r003,All scientists and engineers -> All occupations -> Scientists,All scientists and engineers,All occupations,Scientists,,,,3,137760,144674,154415,159126,160600,160871,159701,160695,166640,167016
1230,r004,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,,,4,47349,50540,54911,57701,59289,59899,59954,61973,64272,65229
1230,r005,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Computer specialists ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Computer specialists ,,5,5207,5642,6060,6329,6463,6573,6601,7053,7416,7748
1230,r006,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Cryptography analysts ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Cryptography analysts ,,5,11,11,10,10,12,15,13,12,13,13
1230,r007,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Equipment specialists ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Equipment specialists ,,5,990,1087,1167,1176,1245,1268,1288,1331,1391,1445
1230,r008,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Information technology management positions,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Information technology management positions,,5,32569,34647,37840,40150,41645,42154,42146,43462,45059,45688
1230,r009,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Mathematical statisticians ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Mathematical statisticians ,,5,1295,1367,1440,1448,1428,1426,1401,1417,1456,1436
1230,r010,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Mathematicians ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Mathematicians ,,5,971,997,1014,1005,983,965,975,997,1014,1011
1230,r011,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Operations research analysts ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Operations research analysts ,,5,3564,3906,4272,4469,4502,4571,4646,4797,4927,4897
1230,r012,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Statisticians ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Statisticians ,,5,2742,2883,3108,3114,3011,2927,2884,2904,2996,2991
1230,r013,All scientists and engineers -> All occupations -> Scientists -> Life scientists ,All scientists and engineers,All occupations,Scientists,Life scientists ,,,4,38682,39953,41840,42039,41218,40217,39388,39383,39676,39364
1230,r014,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Agronomists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Agronomists ,,5,256,258,252,243,229,223,206,201,199,192
1230,r015,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Animal scientists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Animal scientists ,,5,83,86,98,91,93,90,89,86,90,88
1230,r016,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Botanists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Botanists ,,5,382,397,404,406,391,390,384,369,354,341
1230,r017,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Ecologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Ecologists ,,5,1203,1250,1364,1394,1363,1331,1311,1314,1349,1331
1230,r018,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Entomologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Entomologists ,,5,562,555,601,596,568,554,535,535,516,517
1230,r019,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Environmental protection specialists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Environmental protection specialists ,,5,3753,3869,3991,4038,4046,3921,3840,3770,3755,3637
1230,r020,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Fishery biologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Fishery biologists ,,5,2296,2290,2399,2440,2404,2286,2245,2230,2216,2159
1230,r021,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Geneticists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Geneticists ,,5,406,420,457,460,442,441,426,433,442,438
1230,r022,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Horticulturalists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Horticulturalists ,,5,107,105,108,113,110,108,107,102,106,108
1230,r023,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Microbiologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Microbiologists ,,5,2291,2447,2545,2543,2515,2435,2378,2322,2312,2266
1230,r024,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Pharmacologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Pharmacologists ,,5,527,566,603,609,603,605,637,675,713,740
1230,r025,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Physiologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Physiologists ,,5,395,406,407,406,411,388,362,349,338,320
1230,r026,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Plant pathologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Plant pathologists ,,5,298,299,312,311,299,286,270,261,251,244
1230,r027,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Plant physiologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Plant physiologists ,,5,187,185,189,187,173,162,156,155,144,132
1230,r028,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Range conservationists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Range conservationists ,,5,880,894,893,865,842,831,763,732,746,711
1230,r029,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Soil conservationists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Soil conservationists ,,5,3577,3590,3683,3613,3628,3464,3394,3331,3216,3089
1230,r030,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Soil scientists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Soil scientists ,,5,1136,1097,1094,1055,960,897,847,832,813,759
1230,r031,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Toxicologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Toxicologists ,,5,472,467,490,487,473,473,458,457,482,490
1230,r032,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Wildlife biologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Wildlife biologists ,,5,2183,2180,2289,2282,2233,2166,2141,2136,2130,2127
1230,r033,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Zoologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Zoologists ,,5,88,80,91,95,89,83,79,69,63,56
1230,r034,"All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Life scientists, general ",All scientists and engineers,All occupations,Scientists,Life scientists ,"Life scientists, general ",,5,17600,18512,19570,19805,19346,19083,18760,19024,19441,19619
1230,r035,All scientists and engineers -> All occupations -> Scientists -> Physical scientists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,,,4,23838,24503,25268,25169,24808,24247,23615,23608,23879,23774
1230,r036,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Astronomers and space scientists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Astronomers and space scientists ,,5,411,422,453,459,458,451,448,431,426,446
1230,r037,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Chemists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Chemists ,,5,5403,5513,5680,5635,5533,5468,5413,5486,5564,5545
1230,r038,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Geodesists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Geodesists ,,5,59,66,66,62,60,54,50,56,59,60
1230,r039,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Geologists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Geologists ,,5,1571,1621,1637,1622,1582,1512,1482,1453,1436,1415
1230,r040,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Geophysicists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Geophysicists ,,5,422,433,436,434,426,422,412,412,431,408
1230,r041,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Health physicists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Health physicists ,,5,691,732,767,783,794,787,778,785,789,776
1230,r042,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Hydrologists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Hydrologists ,,5,2307,2304,2310,2291,2241,2164,2066,2061,2073,2048
1230,r043,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Meteorologists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Meteorologists ,,5,2725,2761,2811,2838,2791,2724,2671,2627,2597,2600
1230,r044,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Oceanographers ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Oceanographers ,,5,604,596,630,613,623,597,567,534,555,527
1230,r045,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Physicists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Physicists ,,5,2340,2388,2512,2427,2409,2363,2350,2374,2398,2417
1230,r046,"All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Physical scientists, general ",All scientists and engineers,All occupations,Scientists,Physical scientists ,"Physical scientists, general ",,5,7305,7667,7966,8005,7891,7705,7378,7389,7551,7532
1230,r047,All scientists and engineers -> All occupations -> Scientists -> Social scientists ,All scientists and engineers,All occupations,Scientists,Social scientists ,,,4,27891,29678,32396,34217,35285,36508,36744,35731,38813,38649
1230,r048,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Agricultural market analysts ,All scientists and engineers,All occupations,Scientists,Social scientists ,Agricultural market analysts ,,5,114,114,112,112,104,94,95,94,103,105
1230,r049,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Agricultural market specialists ,All scientists and engineers,All occupations,Scientists,Social scientists ,Agricultural market specialists ,,5,310,310,328,318,322,309,301,310,311,302
1230,r050,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Anthropologists ,All scientists and engineers,All occupations,Scientists,Social scientists ,Anthropologists ,,5,93,104,126,120,132,135,130,133,135,136
1230,r051,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Archaeologists ,All scientists and engineers,All occupations,Scientists,Social scientists ,Archaeologists ,,5,1018,1052,1134,1145,1162,1140,1150,1129,1161,1149
1230,r052,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Civil rights analysts ,All scientists and engineers,All occupations,Scientists,Social scientists ,Civil rights analysts ,,5,38,37,56,52,51,49,50,50,46,51
1230,r053,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Economists ,All scientists and engineers,All occupations,Scientists,Social scientists ,Economists ,,5,3984,4123,4301,4236,4235,4143,4142,4201,4357,4213
1230,r054,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Education research analysts ,All scientists and engineers,All occupations,Scientists,Social scientists ,Education research analysts ,,5,64,91,105,113,101,97,100,112,109,93
1230,r055,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Foreign affairs analysts ,All scientists and engineers,All occupations,Scientists,Social scientists ,Foreign affairs analysts ,,5,2029,2132,2363,2614,2752,2778,2733,660,2883,2647
1230,r056,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Foreign agricultural affairs analysts ,All scientists and engineers,All occupations,Scientists,Social scientists ,Foreign agricultural affairs analysts ,,5,129,134,167,161,159,158,150,147,151,151
1230,r057,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Geographers ,All scientists and engineers,All occupations,Scientists,Social scientists ,Geographers ,,5,658,707,791,799,796,777,764,763,818,859
1230,r058,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Intelligence specialists ,All scientists and engineers,All occupations,Scientists,Social scientists ,Intelligence specialists ,,5,5645,5965,6576,7500,7946,8336,8386,8745,9020,9080
1230,r059,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> International cooperation specialists ,All scientists and engineers,All occupations,Scientists,Social scientists ,International cooperation specialists ,,5,2,1,13,15,19,24,28,37,36,34
1230,r060,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> International relations specialists ,All scientists and engineers,All occupations,Scientists,Social scientists ,International relations specialists ,,5,210,221,255,271,312,312,305,287,282,271
1230,r061,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Workforce research analysts ,All scientists and engineers,All occupations,Scientists,Social scientists ,Workforce research analysts ,,5,59,54,70,54,59,54,50,52,63,65
1230,r062,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Psychologists ,All scientists and engineers,All occupations,Scientists,Social scientists ,Psychologists ,,5,5381,6047,6775,7232,7621,8215,8435,8950,9135,9274
1230,r063,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Sociologists ,All scientists and engineers,All occupations,Scientists,Social scientists ,Sociologists ,,5,34,38,40,43,38,35,35,26,28,27
1230,r064,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Trade specialists ,All scientists and engineers,All occupations,Scientists,Social scientists ,Trade specialists ,,5,626,660,708,699,655,615,589,599,637,622
1230,r065,All scientists and engineers -> All occupations -> Scientists -> Social scientists  -> Transportation industry analysts ,All scientists and engineers,All occupations,Scientists,Social scientists ,Transportation industry analysts ,,5,90,105,106,105,116,108,101,98,95,95
