table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_applications_total,field_applications_nonprovisional_utility_patents_total,field_applications_nonprovisional_utility_patents_to_foreign_jurisdictionsa,field_applications_nonprovisional_utility_patents_from_within_organized_r_d_activityb,field_patents_issuedc
8859,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,715', '&nbsp;']","['3,370', '&nbsp;']","['2,434', '&nbsp;']","['3,164', '&nbsp;']","['3,168', '&nbsp;']"
8859,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['8,238', '&nbsp;']","['5,787', '&nbsp;']","['3,902', '&nbsp;']","['3,465', '&nbsp;']","['7,865', '&nbsp;']"
8859,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['5,215', '&nbsp;']","['3,625', '&nbsp;']","['2,907', '&nbsp;']","['2,200', '&nbsp;']","['4,794', '&nbsp;']"
8859,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['2,610', '&nbsp;']","['1,855', '&nbsp;']","['746', '&nbsp;']","['965', '&nbsp;']","['2,844', '&nbsp;']"
8859,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['2,554', '&nbsp;']","['1,808', '&nbsp;']","['739', '&nbsp;']","['934', '&nbsp;']","['2,797', '&nbsp;']"
8859,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['56', '&nbsp;']","['47', '&nbsp;']","['7', '&nbsp;']","['31', '&nbsp;']","['47', '&nbsp;']"
8859,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['5', '&nbsp;']","['1', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8859,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['408', '&nbsp;']","['305', '&nbsp;']","['249', '&nbsp;']","['299', '&nbsp;']","['228', '&nbsp;']"
8859,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['520', 'i']","['315', 'i']","['168', 'i']","['196', '&nbsp;']","['209', 'i']"
8859,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['17,462', '&nbsp;']","['9,309', '&nbsp;']","['5,361', '&nbsp;']","['7,295', '&nbsp;']","['10,019', '&nbsp;']"
8859,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['14,636', '&nbsp;']","['8,091', '&nbsp;']","['4,866', '&nbsp;']","['6,130', '&nbsp;']","['8,800', '&nbsp;']"
8859,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['2,826', '&nbsp;']","['1,219', '&nbsp;']","['495', '&nbsp;']","['1,166', '&nbsp;']","['1,218', '&nbsp;']"
8859,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['45,913', '&nbsp;']","['36,599', '&nbsp;']","['11,834', '&nbsp;']","['25,451', '&nbsp;']","['42,247', '&nbsp;']"
8859,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['1,230', '&nbsp;']","['510', '&nbsp;']","['293', '&nbsp;']","['472', '&nbsp;']","['698', '&nbsp;']"
8859,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['56', '&nbsp;']","['30', '&nbsp;']","['11', '&nbsp;']","['17', '&nbsp;']","['20', '&nbsp;']"
8859,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,655', '&nbsp;']","['941', 'i']","['228', '&nbsp;']","['519', '&nbsp;']","['436', '&nbsp;']"
