table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees
12448,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['58,122', '&nbsp;']","['21,516', '&nbsp;']","['36,606', '&nbsp;']"
12448,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['7,841', '&nbsp;']","['2,202', '&nbsp;']","['5,639', '&nbsp;']"
12448,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['138', '&nbsp;']","['33', 'r']","['105', 'r']"
12448,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['50', 'r']","['15', 'r']","['35', 'r']"
12448,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12448,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['24', 'r']","['0', '&nbsp;']","['24', 'r']"
12448,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12448,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['2', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']"
12448,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['1,193', '&nbsp;']","['368', '&nbsp;']","['825', '&nbsp;']"
12448,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['740', '&nbsp;']","['209', '&nbsp;']","['531', '&nbsp;']"
12448,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['453', '&nbsp;']","['158', '&nbsp;']","['294', '&nbsp;']"
12448,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['317', '&nbsp;']","['136', 'r']","['181', '&nbsp;']"
12448,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['77', '&nbsp;']","['2', '&nbsp;']","['75', '&nbsp;']"
12448,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['17', '&nbsp;']","['9', '&nbsp;']","['9', '&nbsp;']"
12448,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['447', '&nbsp;']","['132', '&nbsp;']","['316', 'r']"
12448,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['504', '&nbsp;']","['220', '&nbsp;']","['285', '&nbsp;']"
12448,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['2,964', '&nbsp;']","['832', '&nbsp;']","['2,132', '&nbsp;']"
12448,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['597', '&nbsp;']","['199', '&nbsp;']","['398', '&nbsp;']"
12448,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['2,044', '&nbsp;']","['524', '&nbsp;']","['1,520', '&nbsp;']"
12448,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['322', '&nbsp;']","['109', '&nbsp;']","['213', '&nbsp;']"
12448,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['456', '&nbsp;']","['91', '&nbsp;']","['365', '&nbsp;']"
12448,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['406', '&nbsp;']","['77', '&nbsp;']","['328', '&nbsp;']"
12448,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['237', '&nbsp;']","['49', 'r']","['188', '&nbsp;']"
12448,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['169', '&nbsp;']","['28', 'r']","['140', '&nbsp;']"
12448,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['11', '&nbsp;']","['0', '&nbsp;']","['11', '&nbsp;']"
12448,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['1,236', '&nbsp;']","['287', '&nbsp;']","['949', '&nbsp;']"
12448,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['50,281', '&nbsp;']","['19,314', '&nbsp;']","['30,967', '&nbsp;']"
12448,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['3,085', '&nbsp;']","['977', '&nbsp;']","['2,108', '&nbsp;']"
12448,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['9,388', '&nbsp;']","['2,904', '&nbsp;']","['6,485', '&nbsp;']"
12448,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['6,931', '&nbsp;']","['1,949', '&nbsp;']","['4,981', '&nbsp;']"
12448,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['2,458', '&nbsp;']","['954', '&nbsp;']","['1,503', '&nbsp;']"
12448,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['4,509', '&nbsp;']","['1,694', '&nbsp;']","['2,815', '&nbsp;']"
12448,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['20,119', '&nbsp;']","['8,610', '&nbsp;']","['11,509', '&nbsp;']"
12448,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['13,180', '&nbsp;']","['5,129', '&nbsp;']","['8,051', '&nbsp;']"
12448,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['1,155', '&nbsp;']","['442', '&nbsp;']","['712', '&nbsp;']"
12448,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['4,350', '&nbsp;']","['1,755', '&nbsp;']","['2,595', '&nbsp;']"
12448,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['7,415', '&nbsp;']","['2,835', '&nbsp;']","['4,580', '&nbsp;']"
12448,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['260', '&nbsp;']","['96', '&nbsp;']","['164', '&nbsp;']"
