table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_total,field_selling_goods,field_selling_services,field_licensing,field_grants,field_other_sources
11287,r001,All companies,All companies,,,1,"['35,814,644,033', '&nbsp;']","['18,194,761,606', '&nbsp;']","['15,512,028,897', '&nbsp;']","['252,058,761', '&nbsp;']","['110,456,400', '&nbsp;']","['1,745,338,369', '&nbsp;']"
11287,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11287,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['1,350,353,086', '&nbsp;']","['553,752,558', '&nbsp;']","['682,238,114', '&nbsp;']","['10,068,233', '&nbsp;']","['6,234,181', '&nbsp;']","['98,060,000', '&nbsp;']"
11287,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['1,241,610,267', '&nbsp;']","['576,694,588', '&nbsp;']","['591,598,348', '&nbsp;']","['4,674,695', '&nbsp;']","['8,041,482', '&nbsp;']","['60,601,154', '&nbsp;']"
11287,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11287,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['1,658,181,784', '&nbsp;']","['814,395,857', '&nbsp;']","['702,405,069', '&nbsp;']","['9,101,019', '&nbsp;']","['11,569,494', '&nbsp;']","['120,710,346', '&nbsp;']"
11287,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['2,442,066,459', '&nbsp;']","['1,252,307,808', '&nbsp;']","['1,067,908,145', '&nbsp;']","['12,349,437', '&nbsp;']","['7,810,188', '&nbsp;']","['101,690,881', '&nbsp;']"
11287,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11287,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['1,830,072,799', '&nbsp;']","['1,033,004,573', '&nbsp;']","['704,131,660', '&nbsp;']","['6,545,382', '&nbsp;']","['4,157,038', '&nbsp;']","['82,234,146', '&nbsp;']"
11287,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['2,973,378,435', '&nbsp;']","['1,201,805,770', '&nbsp;']","['1,536,563,195', '&nbsp;']","['9,319,912', '&nbsp;']","['5,617,296', '&nbsp;']","['220,072,262', '&nbsp;']"
11287,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11287,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['1,652,729,774', '&nbsp;']","['814,762,435', '&nbsp;']","['733,521,471', '&nbsp;']","['6,526,674', '&nbsp;']","['1,592,758', '&nbsp;']","['96,326,436', '&nbsp;']"
11287,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['1,540,939,867', '&nbsp;']","['752,948,730', '&nbsp;']","['660,063,289', '&nbsp;']","['21,758,642', '&nbsp;']","['2,162,597', '&nbsp;']","['104,006,610', '&nbsp;']"
11287,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['4,805,485,015', '&nbsp;']","['2,506,403,376', '&nbsp;']","['2,007,575,352', '&nbsp;']","['30,562,881', '&nbsp;']","['1,354,282', '&nbsp;']","['259,589,124', '&nbsp;']"
11287,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['3,472,543,408', '&nbsp;']","['1,583,809,533', '&nbsp;']","['1,457,653,989', '&nbsp;']","['54,900,864', 'r']","['51,164,310', 'r']","['325,014,712', '&nbsp;']"
11287,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['4,269,597,626', '&nbsp;']","['2,092,213,714', '&nbsp;']","['1,978,611,945', '&nbsp;']","['18,495,020', '&nbsp;']","['4,872,766', '&nbsp;']","['175,404,182', '&nbsp;']"
11287,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['8,577,685,515', '&nbsp;']","['5,017,559,881', '&nbsp;']","['3,391,685,609', '&nbsp;']","['66,359,402', '&nbsp;']","['4,174,743', '&nbsp;']","['97,905,879', '&nbsp;']"
