table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
2705,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['441,036', '  ']","['4,390', '  ']","['11,252', '  ']","['12,321', '  ']",18547,,"['19,645', '  ']","['17,657', '  ']","['68,578', '  ']","['45,337', '  ']","['84,420', '  ']","['158,889', '  ']"
2705,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['274,075', '  ']","['1,686', '  ']","['5,369', '  ']","['6,852', '  ']",10153,,"['11,500', '  ']","['11,223', '  ']","['42,270', '  ']","['28,990', '  ']","['59,556', '  ']","['96,476', '  ']"
2705,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,654', '  ']","['4', '  ']","['87', '  ']","['68', '  ']",285,,"['270', '  ']","['194', '  ']","['472', '  ']","['182', '  ']","['2,196', 'i ']","['895', 'i ']"
2705,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,113', '  ']","['3', '  ']","['42', '  ']","['12', '  ']",16,,"['108', '  ']","['34', '  ']","['10', '  ']","['208', '  ']","['173', '  ']","['507', '  ']"
2705,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['989', '  ']","['10', '  ']","['5', '  ']","['12', '  ']",29,,"['50', '  ']","['48', '  ']","['271', '  ']","['294', '  ']","['79', '  ']","['190', '  ']"
2705,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['203', '  ']","['*', '  ']","['15', '  ']","['22', '  ']",14,,"['4', '  ']","['31', '  ']","['19', '  ']","['59', '  ']","['40', '  ']","['0', '  ']"
2705,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['934', '  ']","['0', '  ']","['2', '  ']","['12', '  ']",34,,"['23', '  ']","['4', '  ']","['140', '  ']","['189', '  ']","['308', 'i ']","['223', '  ']"
2705,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['242', '  ']","['0', '  ']","['8', '  ']","['13', '  ']",30,,"['71', '  ']","['31', '  ']","['42', 'i ']","['28', '  ']","['19', '  ']","['0', '  ']"
2705,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,269', '  ']","['3', '  ']","['12', '  ']","['23', '  ']",25,,"['42', '  ']","['60', '  ']","['26', '  ']","['24', '  ']","['131', '  ']","['924', '  ']"
2705,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['84,137', '  ']","['816', '  ']","['2,629', '  ']","['3,509', '  ']",4380,,"['4,980', '  ']","['3,436', '  ']","['13,596', '  ']","['7,905', '  ']","['31,683', '  ']","['11,203', '  ']"
2705,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,443', '  ']","['16', '  ']","['90', '  ']","['53', '  ']",156,,"['174', '  ']","['105', '  ']","['1,317', '  ']","['193', '  ']","['339', '  ']","['0', '  ']"
2705,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,653', '  ']","['0 - 64', '  ']","['0 - 80', '  ']","['0 - 112', '  ']",44,,"['46', '  ']","['58', '  ']","['157', '  ']","['0', '  ']","['1,091 - 1,351', '  ']","['0', '  ']"
2705,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,460', '  ']","['6', '  ']","['31', '  ']","['10', '  ']",26,,"['15', '  ']","['3', '  ']","['510', '  ']","['166', '  ']","['694', 'i ']","['0', '  ']"
2705,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['74,592', '  ']","['732', '  ']","['2,387', '  ']","['3,318', '  ']",3984,,"['4,552', '  ']","['3,113', '  ']","['10,595', '  ']","['7,332', '  ']","['27,608', '  ']","['10,972', '  ']"
2705,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,710', '  ']","['0 - 64', '  ']","['44', '  ']","['19', '  ']",94,,"['83', '  ']","['50', '  ']","['543', 'i ']","['214', '  ']","['1,363 - 1,667', '  ']","['0 - 232', 'i ']"
2705,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,278', '  ']","['0 - 64', '  ']","['0 - 80', '  ']","['0 - 112', '  ']",77,,"['110', '  ']","['107', '  ']","['474', '  ']","['0', '  ']","['23 - 512', '  ']","['0 - 232', '  ']"
2705,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,751', '  ']","['5', '  ']","['94', '  ']","['126', '  ']",199,,"['277', '  ']","['302', '  ']","['857', '  ']","['538', '  ']","['354', '  ']","['0', '  ']"
2705,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,385', '  ']","['4', '  ']","['18', '  ']","['20', '  ']",48,,"['14', '  ']","['73', '  ']","['99', '  ']","['164', '  ']","['946', '  ']","['0', '  ']"
2705,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['839', '  ']","['0', '  ']","['17', '  ']","['22', '  ']",92,,"['48', '  ']","['50', '  ']","['188', '  ']","['123', '  ']","['290', '  ']","['9', '  ']"
