table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2022_actuala,field_2023_preliminary,field_2024_proposed
10428,r001,All functions conducting R&D,All functions conducting R&D,,1,4.2,4.0,4.0
10428,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,11.5,12.2,12.1
10428,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,37.4,36.8,34.1
10428,r004,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,68.3,62.5,65.1
10428,r005,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,84.0,86.8,81.2
10428,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,19.9,21.3,20.3
10428,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,7.7,7.3,7.4
10428,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,12.6,12.4,10.8
10428,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,8.6,6.9,7.8
10428,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,1.4,1.2,1.2
10428,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,0.5,0.3,0.2
10428,r012,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,1.0,0.9,0.8
10428,r013,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,2.0,1.4,1.3
10428,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0.3,0.3,0.2
10428,r015,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0.1,0.1,0.1
10428,r016,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0.05,0.05,0.05
10428,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0.05,0.05,0.0
