table_id,row_id,_b_sex_citizenship_ethnicity_and_race_b_full_path,_b_sex_citizenship_ethnicity_and_race_b_level_1,_b_sex_citizenship_ethnicity_and_race_b_level_2,_b_sex_citizenship_ethnicity_and_race_b_level_3,_b_sex_citizenship_ethnicity_and_race_b_level_4,_b_sex_citizenship_ethnicity_and_race_b_level_5,_b_sex_citizenship_ethnicity_and_race_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8308,r001,All individuals,All individuals,,,,,1,760156,100.0,466613,100.0,293543,100.0,63328,100.0,30548,100.0
8308,r002,All individuals -> Male,All individuals,Male,,,,2,387277,50.9,226856,48.6,160421,54.6,36520,57.7,17630,57.7
8308,r003,All individuals -> Female,All individuals,Female,,,,2,372879,49.1,239757,51.4,133122,45.4,26808,42.3,12918,42.3
8308,r004,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,,2,515597,67.8,337655,72.4,177942,60.6,29755,47.0,na,na
8308,r005,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,69174,9.1,48681,10.4,20493,7.0,2142,3.4,na,na
8308,r006,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,
8308,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,2105,0.3,1356,0.3,749,0.3,80,0.1,na,na
8308,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,60203,7.9,40607,8.7,19596,6.7,6014,9.5,na,na
8308,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,45302,6.0,33129,7.1,12173,4.1,1138,1.8,na,na
8308,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,792,0.1,597,0.1,195,0.1,40,0.1,na,na
8308,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,294198,38.7,184608,39.6,109590,37.3,16369,25.8,na,na
8308,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,19471,2.6,12301,2.6,7170,2.4,687,1.1,na,na
8308,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,3,24352,3.2,16376,3.5,7976,2.7,3285,5.2,na,na
8308,r014,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,,2,244559,32.2,128958,27.6,115601,39.4,33573,53.0,na,na
8308,r015,All individuals -> Male,All individuals,Male,,,,2,,,,,,,,,,
8308,r016,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,,,3,236357,31.1,148503,31.8,87854,29.9,15480,24.4,na,na
8308,r017,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,29476,3.9,19725,4.2,9751,3.3,1035,1.6,na,na
8308,r018,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,
8308,r019,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,858,0.1,542,0.1,316,0.1,36,0.1,na,na
8308,r020,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,30308,4.0,20327,4.4,9981,3.4,3372,5.3,na,na
8308,r021,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,16615,2.2,11878,2.5,4737,1.6,433,0.7,na,na
8308,r022,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,354,0.05,273,0.1,81,0.05,17,0.05,na,na
8308,r023,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,138641,18.2,83119,17.8,55522,18.9,8515,13.4,na,na
