table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2018,field_2019,field_2020,field_2021
8010,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r003,"Alabama -> Public -> Auburn U., Montgomery",Alabama,Public,"Auburn U., Montgomery",3,"['227', '']","['325', '']","['312', '']","['442', '']"
8010,r004,Alabama -> Public -> U. North Alabama,Alabama,Public,U. North Alabama,3,"['ne', '']","['ne', '']","['ne', '']","['539', '']"
8010,r005,Alabama -> Public -> U. West Alabama,Alabama,Public,U. West Alabama,3,"['467', '']","['462', '']","['465', '']","['239', '']"
8010,r006,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r007,"Alabama -> Private -> Alabama C., Osteopathic Medicine",Alabama,Private,"Alabama C., Osteopathic Medicine",3,"['ne', '']","['370', '']","['303', '']","['184', '']"
8010,r008,Alabama -> Private -> Oakwood U.,Alabama,Private,Oakwood U.,3,"['766', 'i']","['666', '']","['538', '']","['474', '']"
8010,r009,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r010,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r011,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,3,"['1,238', '']","['1,126', '']","['347', '']","['1,570', '']"
8010,r012,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r013,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r014,Arkansas -> Public -> Arkansas Tech U.,Arkansas,Public,Arkansas Tech U.,3,"['1,022', '']","['961', '']","['856', '']","['751', '']"
8010,r015,Arkansas -> Public -> Southern Arkansas U.,Arkansas,Public,Southern Arkansas U.,3,"['359', '']","['329', '']","['275', '']","['611', '']"
8010,r016,Arkansas -> Private,Arkansas,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r017,Arkansas -> Private -> Arkansas C. of Health Education,Arkansas,Private,Arkansas C. of Health Education,3,"['ne', '']","['ne', '']","['900', '']","['672', '']"
8010,r018,Arkansas -> Private -> Hendrix C.,Arkansas,Private,Hendrix C.,3,"['840', '']","['902', '']","['649', '']","['651', '']"
8010,r019,Arkansas -> Private -> Ouachita Baptist U.,Arkansas,Private,Ouachita Baptist U.,3,"['368', '']","['318', 'i']","['268', 'i']","['217', '']"
8010,r020,Arkansas -> Private -> Philander Smith C.,Arkansas,Private,Philander Smith C.,3,"['426', '']","['219', '']","['208', 'i']","['207', 'i']"
8010,r021,California,California,,,1,"['', '']","['', '']","['', '']","['', '']"
8010,r022,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']"
8010,r023,California -> Private -> California Lutheran U.,California,Private,California Lutheran U.,3,"['1,106', '']","['1,143', '']","['630', '']","['1,129', '']"
8010,r024,California -> Private -> Claremont School of Theology,California,Private,Claremont School of Theology,3,"['390', '']","['431', '']","['443', 'i']","['464', 'i']"
8010,r025,California -> Private -> Dominican U. California,California,Private,Dominican U. California,3,"['840', '']","['828', 'i']","['786', 'i']","['823', 'i']"
