table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1710,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,1184,1017,1116,-14.1,9.7
1710,r002,R&D and R&D plant -> Other advancement of commerce (376),R&D and R&D plant,Other advancement of commerce (376),,,,,2,,,,,
1710,r003,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,,,,3,1116,946,1044,-15.2,10.3
1710,r004,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,Census Bureau,,,4,122,165,138,35.2,-16.4
1710,r005,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,,,4,973,759,898,-21.9,18.2
1710,r006,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Construction of research facilities,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Construction of research facilities,,5,319,106,348,-66.8,228.2
1710,r007,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Industrial technology services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Industrial technology services,,5,11,11,11,-2.9,0.0
1710,r008,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Scientific and technical research and services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Scientific and technical research and services,,5,643,643,539,0.0,-16.1
1710,r009,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,,,4,12,14,0,16.7,-100.0
1710,r010,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,5,12,14,0,16.7,-100.0
1710,r011,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Telecommunications and Information Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Telecommunications and Information Administration,,,4,9,8,8,-11.1,0.0
1710,r012,R&D and R&D plant -> Other advancement of commerce (376) -> Postal Service,R&D and R&D plant,Other advancement of commerce (376),Postal Service,,,,3,68,71,72,4.4,1.4
1710,r013,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,840,887,743,5.6,-16.2
1710,r014,R&D and R&D plant -> R&D -> Other advancement of commerce (376),R&D and R&D plant,R&D,Other advancement of commerce (376),,,,3,,,,,
1710,r015,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,,,4,772,816,671,5.7,-17.7
1710,r016,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,Census Bureau,,5,122,165,138,35.2,-16.4
1710,r017,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,,5,629,629,525,-0.1,-16.4
1710,r018,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Construction of research facilities,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Construction of research facilities,6,0,0,0,--,--
1710,r019,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Industrial technology services,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Industrial technology services,6,11,11,11,-2.9,0.0
1710,r020,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Scientific and technical research and services,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Scientific and technical research and services,6,618,618,515,0.0,-16.7
1710,r021,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,,5,12,14,0,16.7,-100.0
1710,r022,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,6,12,14,0,16.7,-100.0
1710,r023,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Telecommunications and Information Administration,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Telecommunications and Information Administration,,5,9,8,8,-11.1,0.0
1710,r024,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Postal Service,R&D and R&D plant,R&D,Other advancement of commerce (376),Postal Service,,,4,68,71,72,4.4,1.4
