table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_level_4,_b_ffrdc_b_hierarchy_depth,field_total_r_d,field_funding_agency_dhs,field_funding_agency_doc,field_funding_agency_dod,field_funding_agency_doe,field_funding_agency_hhs_,field_funding_agency_nasa,field_funding_agency_nsf,field_funding_agency_othera
10247,r001,All agencies sponsoring FFRDCs,All agencies sponsoring FFRDCs,,,,1,14791390,71103,20709,3501650,7904787,728866,2051453,298451,214372
10247,r002,All agencies sponsoring FFRDCs -> Departments,All agencies sponsoring FFRDCs,Departments,,,2,,,,,,,,,
10247,r003,All agencies sponsoring FFRDCs -> Departments -> Department of Commerce,All agencies sponsoring FFRDCs,Departments,Department of Commerce,,3,33501,0,19914,13586,0,0,0,0,0
10247,r004,All agencies sponsoring FFRDCs -> Departments -> Department of Commerce -> National Cybersecurity Center of Excellence,All agencies sponsoring FFRDCs,Departments,Department of Commerce,National Cybersecurity Center of Excellence,4,33501,0,19914,13586,0,0,0,0,0
10247,r005,All agencies sponsoring FFRDCs -> Departments -> Department of Defense,All agencies sponsoring FFRDCs,Departments,Department of Defense,,3,2915444,0,0,2874866,0,0,35838,4740,0
10247,r006,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Aerospace FFRDC,All agencies sponsoring FFRDCs,Departments,Department of Defense,Aerospace FFRDC,4,552436,0,0,516597,0,0,35838,0,0
10247,r007,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Arroyo Center,All agencies sponsoring FFRDCs,Departments,Department of Defense,Arroyo Center,4,2710,0,0,2710,0,0,0,0,0
10247,r008,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Center for Communications and Computing,All agencies sponsoring FFRDCs,Departments,Department of Defense,Center for Communications and Computing,4,57748,0,0,57748,0,0,0,0,0
10247,r009,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Center for Naval Analyses,All agencies sponsoring FFRDCs,Departments,Department of Defense,Center for Naval Analyses,4,53281,0,0,53281,0,0,0,0,0
10247,r010,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Lincoln Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Defense,Lincoln Laboratory,4,975858,0,0,975858,0,0,0,0,0
10247,r011,"All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> NSEC&#8212;Bedford, MA",All agencies sponsoring FFRDCs,Departments,Department of Defense,"NSEC&#8212;Bedford, MA",4,890187,0,0,890187,0,0,0,0,0
10247,r012,"All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> NSEC&#8212;McLean, VA",All agencies sponsoring FFRDCs,Departments,Department of Defense,"NSEC&#8212;McLean, VA",4,59155,0,0,59155,0,0,0,0,0
10247,r013,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> National Defense Research Institute,All agencies sponsoring FFRDCs,Departments,Department of Defense,National Defense Research Institute,4,18107,0,0,13367,0,0,0,4740,0
10247,r014,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Project Air Force,All agencies sponsoring FFRDCs,Departments,Department of Defense,Project Air Force,4,51416,0,0,51416,0,0,0,0,0
10247,r015,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Software Engineering Institute,All agencies sponsoring FFRDCs,Departments,Department of Defense,Software Engineering Institute,4,64146,0,0,64146,0,0,0,0,0
10247,r016,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Systems and Analyses Center,All agencies sponsoring FFRDCs,Departments,Department of Defense,Systems and Analyses Center,4,190401,0,0,190401,0,0,0,0,0
10247,r017,All agencies sponsoring FFRDCs -> Departments -> Department of Energy,All agencies sponsoring FFRDCs,Departments,Department of Energy,,3,8554345,21359,0,515273,7904472,58185,23397,0,31659
