table_id,row_id,citizenship_field_race_and_ethnicity_full_path,citizenship_field_race_and_ethnicity_level_1,citizenship_field_race_and_ethnicity_level_2,citizenship_field_race_and_ethnicity_level_3,citizenship_field_race_and_ethnicity_level_4,citizenship_field_race_and_ethnicity_level_5,citizenship_field_race_and_ethnicity_level_6,citizenship_field_race_and_ethnicity_level_7,citizenship_field_race_and_ethnicity_level_8,citizenship_field_race_and_ethnicity_level_9,citizenship_field_race_and_ethnicity_level_10,citizenship_field_race_and_ethnicity_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1567,r022,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences -> Computer sciences","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,Computer sciences,,,,7,777,768,750,816,910,1121,1416,1597,1696,1574,1561,1562,1690,1809,1935,1951,1936,1934
1567,r023,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences -> Mathematics and statistics","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,Mathematics and statistics,,,,7,1081,1001,927,1009,1065,1180,1297,1356,1362,1536,1594,1590,1670,1824,1864,1802,1855,1925
1567,r024,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Medical and other health sciences","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Medical and other health sciences,,,,,6,2439,2643,3334,3321,4406,5907,7089,8392,8121,7827,4062,4265,4505,4635,5056,5343,5792,6201
1567,r025,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Medical and other health sciences -> Medical sciences","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Medical and other health sciences,Medical sciences,,,,7,893,864,882,850,1010,1144,1252,1293,1320,1254,1506,1497,1716,1867,2148,2433,2597,2853
1567,r026,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Medical and other health sciences -> Other health sciences","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Medical and other health sciences,Other health sciences,,,,7,1546,1779,2452,2471,3396,4763,5837,7099,6801,6573,2556,2768,2789,2768,2908,2910,3195,3348
1567,r027,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Physical sciences,,,,,6,3444,3446,3247,3378,3345,3620,3986,4209,4205,4416,4326,4560,4589,4703,4947,4971,5078,5086
1567,r028,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Astronomy","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Physical sciences,Astronomy,,,,7,101,103,70,101,101,115,114,128,163,143,160,166,170,174,179,153,169,196
1567,r029,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Chemistry","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Physical sciences,Chemistry,,,,7,2090,2134,2037,2158,2105,2226,2502,2606,2495,2652,2564,2685,2630,2730,2921,2906,3002,2990
1567,r030,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Physics","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Physical sciences,Physics,,,,7,1208,1169,1096,1089,1119,1254,1341,1442,1507,1580,1570,1670,1752,1740,1768,1840,1833,1826
1567,r031,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Other physical sciences","All citizenships, races, and ethnicities",All fields,S&E,Science,Natural sciences,Physical sciences,Other physical sciences,,,,7,45,40,44,30,20,25,29,33,40,41,32,39,37,59,79,72,74,74
1567,r032,"All citizenships, races, and ethnicities -> All fields -> S&E -> Science -> Social and behavioral sciences","All citizenships, races, and ethnicities",All fields,S&E,Science,Social and behavioral sciences,,,,,,5,8182,8451,8007,8124,8275,8591,8576,8862,8904,8547,8090,8679,8839,9266,9762,9950,9713,9779
