table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_1992_n_1_995_,field_1995_n_2_006_,field_1997_n_2_000_,field_1999_n_1_882_,field_2001_n_1_574_,field_2006_n_1_864_,field_2008_n_2_021_,field_2010_n_1_932_,field_2012_n_2_256_,field_2014_n_2_130_,field_2016_n_1_390_,field_2018_n_1_175_
2280,r001,All adults,All adults,,1,59,60,60,61,64,64,64,63,65,65,63,62
2280,r002,Sex,Sex,,1,,,,,,,,,,,,
2280,r003,Sex -> Male,Sex,Male,2,64,65,66,66,69,69,68,67,70,69,67,65
2280,r004,Sex -> Female,Sex,Female,2,55,55,55,57,59,60,60,59,60,61,60,59
2280,r005,Formal education,Formal education,,1,,,,,,,,,,,,
2280,r006,Formal education -> Less than high school diploma,Formal education,Less than high school diploma,2,44,44,43,44,45,44,43,42,45,47,43,41
2280,r007,Formal education -> High school diploma,Formal education,High school diploma,2,59,59,60,62,62,62,63,60,62,62,61,60
2280,r008,Formal education -> Bachelor's degree,Formal education,Bachelor's degree,2,73,68,75,77,80,74,77,78,78,77,74,73
2280,r009,Formal education -> Graduate or professional degree,Formal education,Graduate or professional degree,2,80,77,80,83,80,82,81,80,81,81,75,81
2280,r010,Science and mathematics education<sup>a</sup>,Science and mathematics education<sup>a</sup>,,1,,,,,,,,,,,,
2280,r011,Science and mathematics education<sup>a</sup> -> Low,Science and mathematics education<sup>a</sup>,Low,2,52,52,51,53,55,56,57,54,56,57,55,54
2280,r012,Science and mathematics education<sup>a</sup> -> Middle,Science and mathematics education<sup>a</sup>,Middle,2,66,68,66,71,72,69,70,68,70,72,70,67
2280,r013,Science and mathematics education<sup>a</sup> -> High,Science and mathematics education<sup>a</sup>,High,2,79,80,83,82,84,82,82,83,83,82,80,80
2280,r014,Family income (quartile),Family income (quartile),,1,,,,,,,,,,,,
2280,r015,Family income (quartile) -> Bottom,Family income (quartile),Bottom,2,na,na,na,na,na,56,56,54,55,54,57,55
2280,r016,Family income (quartile) -> Third,Family income (quartile),Third,2,na,na,na,na,na,65,63,63,63,62,58,60
2280,r017,Family income (quartile) -> Second,Family income (quartile),Second,2,na,na,na,na,na,69,69,69,69,67,64,61
2280,r018,Family income (quartile) -> Top,Family income (quartile),Top,2,na,na,na,na,na,71,74,73,76,76,73,72
2280,r019,Age (years),Age (years),,1,,,,,,,,,,,,
2280,r020,Age (years) -> 18&#8211;24,Age (years),18&#8211;24,2,59,63,64,65,66,68,67,64,67,61,61,61
2280,r021,Age (years) -> 25&#8211;34,Age (years),25&#8211;34,2,64,64,63,65,68,64,67,67,67,66,67,64
2280,r022,Age (years) -> 35&#8211;44,Age (years),35&#8211;44,2,65,64,66,66,66,67,63,63,67,65,64,64
2280,r023,Age (years) -> 45&#8211;54,Age (years),45&#8211;54,2,61,62,61,64,68,68,67,65,64,67,65,63
2280,r024,Age (years) -> 55&#8211;64,Age (years),55&#8211;64,2,53,51,57,58,61,64,65,63,64,68,62,63
2280,r025,Age (years) -> 65 or older,Age (years),65 or older,2,47,47,45,46,49,53,54,54,61,59,55,58
2280,r026,Verbal ability<sup>b</sup>,Verbal ability<sup>b</sup>,,1,,,,,,,,,,,,
2280,r027,Verbal ability<sup>b</sup> -> 0&#8211;4,Verbal ability<sup>b</sup>,0&#8211;4,2,na,na,na,na,na,48,47,46,46,50,46,46
2280,r028,Verbal ability<sup>b</sup> -> 5,Verbal ability<sup>b</sup>,5,2,na,na,na,na,na,60,58,55,59,61,57,56
2280,r029,Verbal ability<sup>b</sup> -> 6,Verbal ability<sup>b</sup>,6,2,na,na,na,na,na,66,63,63,66,65,62,62
2280,r030,Verbal ability<sup>b</sup> -> 7,Verbal ability<sup>b</sup>,7,2,na,na,na,na,na,70,73,67,73,70,68,69
2280,r031,Verbal ability<sup>b</sup> -> 8&#8211;10,Verbal ability<sup>b</sup>,8&#8211;10,2,na,na,na,na,na,77,80,80,81,80,79,78
