table_id,row_id,scientific_field_full_path,scientific_field_level_1,scientific_field_level_2,scientific_field_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10571,r001,Total,Total,,1,71700,71651,72380,74476,74169,75589,73860,74035,75491,71378
10571,r002,Total -> Agricultural sciences,Total,Agricultural sciences,2,1334,1331,1424,1306,1427,1455,1382,1345,1312,1241
10571,r003,Total -> Astronomy and astrophysics,Total,Astronomy and astrophysics,2,1988,1940,2036,2142,2169,2114,2265,2411,2397,2442
10571,r004,Total -> Biological and biomedical sciences,Total,Biological and biomedical sciences,2,14069,14040,14022,14023,14006,13878,13525,14063,15184,13564
10571,r005,Total -> Chemistry,Total,Chemistry,2,2845,2714,2790,2974,2830,3030,2815,2884,2819,2554
10571,r006,Total -> Computer and information sciences,Total,Computer and information sciences,2,2465,2427,2762,2782,2961,2863,3284,2693,2677,2660
10571,r007,Total -> Engineering,Total,Engineering,2,9865,9894,9732,11028,10517,11679,10791,10573,10162,9840
10571,r008,"Total -> Geosciences, atmospheric sciences, and ocean sciences",Total,"Geosciences, atmospheric sciences, and ocean sciences",2,4806,4700,4784,5129,5087,5082,5101,5075,5111,4638
10571,r009,Total -> Health sciences,Total,Health sciences,2,18201,18643,19112,19302,19433,19688,19279,20018,21416,20557
10571,r010,Total -> Materials science,Total,Materials science,2,1662,1648,1599,1623,1680,1938,1965,1913,1913,1744
10571,r011,Total -> Mathematics and statistics,Total,Mathematics and statistics,2,613,624,541,644,562,561,666,613,605,591
10571,r012,Total -> Natural resources and conservation,Total,Natural resources and conservation,2,1944,2037,1886,2105,2085,2087,2235,2010,2178,1959
10571,r013,Total -> Physics,Total,Physics,2,10307,9961,9923,9710,9637,9461,8877,8855,7977,7632
10571,r014,Total -> Psychology,Total,Psychology,2,973,1033,1128,1064,1108,1057,1006,909,994,1072
10571,r015,Total -> Social sciences,Total,Social sciences,2,628,659,641,644,667,696,669,673,746,884
