table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
12545,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,3034601074,742245878,2292355196
12545,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,83778649,16054899,67723750
12545,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,19451112,7296267,12154845
12545,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,14011612,4679113,9332499
12545,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,9521076,3269056,6252020
12545,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,594541351,31928041,562613310
12545,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,39665229,6114448,33550781
12545,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,55924506,21341245,34583261
12545,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,3584063,1721282,1862781
12545,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,10563918,8515771,2048147
12545,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,222882689,25903893,196978796
12545,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,20739193,16287488,4451705
12545,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,5280407,2563321,2717086
12545,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,18670602,11364333,7306269
12545,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,45907372,25771315,20136057
12545,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,24179311,9162767,15016544
12545,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,9809708,5714355,4095353
12545,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,10364853,2627935,7736918
12545,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,37765916,9546502,28219414
12545,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,31663714,18445998,13217716
12545,r021,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,2,47576007,37765217,9810790
12545,r022,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,2,46489603,1336954,45152649
12545,r023,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,2,48424086,8462093,39961993
12545,r024,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,2,22654435,9084859,13569576
12545,r025,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,2,22732170,8729109,14003061
12545,r026,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,2,10030897,8564182,1466715
12545,r027,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,2,17210400,6265084,10945316
12545,r028,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,2,9956071,6762205,3193866
12545,r029,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,2,29171378,3354005,25817373
12545,r030,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,2,4072717,1518169,2554548
12545,r031,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,2,2521016,696744,1824272
12545,r032,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,2,99832733,3174803,96657930
12545,r033,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,2,2337788,1770272,567516
