table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
10690,r001,All detailed fields,All detailed fields,,,,,1,798534,100.0,501311,100.0,297223,100.0,62750,100.0,32279,100.0
10690,r002,All detailed fields -> Science,All detailed fields,Science,,,,2,538166,67.4,331983,66.2,206183,69.4,36673,58.4,19423,60.2
10690,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,,3,11596,1.5,6949,1.4,4647,1.6,1705,2.7,1068,3.3
10690,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,,4,10310,1.3,6165,1.2,4145,1.4,1201,1.9,755,2.3
10690,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,,4,1286,0.2,784,0.2,502,0.2,504,0.8,313,1.0
10690,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,,3,102700,12.9,43062,8.6,59638,20.1,19585,31.2,8207,25.4
10690,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,,4,5905,0.7,911,0.2,4994,1.7,1756,2.8,843,2.6
10690,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,,4,15569,1.9,7969,1.6,7600,2.6,2064,3.3,754,2.3
10690,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,,4,10836,1.4,5681,1.1,5155,1.7,1553,2.5,571,1.8
10690,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,,4,895,0.1,8,0.05,887,0.3,126,0.2,79,0.2
10690,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,,4,7651,1.0,3852,0.8,3799,1.3,691,1.1,357,1.1
10690,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,,4,4021,0.5,3916,0.8,105,0.05,155,0.2,87,0.3
10690,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,,4,1670,0.2,369,0.1,1301,0.4,507,0.8,218,0.7
10690,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",,4,6511,0.8,1137,0.2,5374,1.8,1599,2.5,590,1.8
10690,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,,4,3866,0.5,1058,0.2,2808,0.9,438,0.7,221,0.7
10690,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,,4,6057,0.8,3844,0.8,2213,0.7,377,0.6,122,0.4
10690,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,,4,3333,0.4,749,0.1,2584,0.9,1288,2.1,551,1.7
