table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
6384,r001,All agencies,All agencies,,,,1,1664157.3,597.1,30046.0,1633514.2
6384,r002,All agencies -> Departments,All agencies,Departments,,,2,,,,
6384,r003,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,3,311.6,140.1,171.5,0.0
6384,r004,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,4,140.1,140.1,0.0,0.0
6384,r005,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,4,171.5,0.0,171.5,0.0
6384,r006,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,3,66576.6,0.0,4907.0,61669.6
6384,r007,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,7768.9,0.0,117.7,7651.2
6384,r008,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,4,165.1,0.0,0.0,165.1
6384,r009,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,4,538.8,0.0,0.0,538.8
6384,r010,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,4,52159.8,0.0,0.0,52159.8
6384,r011,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,4,4789.3,0.0,4789.3,0.0
6384,r012,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,4,1154.7,0.0,0.0,1154.7
6384,r013,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,3,1454106.5,417.0,7382.5,1446307.0
6384,r014,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,4,7799.5,417.0,7382.5,0.0
6384,r015,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,4,1446307.0,0.0,0.0,1446307.0
6384,r016,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,3,14.5,0.0,0.0,14.5
6384,r017,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,4,14.5,0.0,0.0,14.5
6384,r018,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,3,1641.2,0.0,0.0,1641.2
6384,r019,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,4,1641.2,0.0,0.0,1641.2
6384,r020,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,3,17585.1,0.0,17585.1,0.0
6384,r021,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,4,17585.1,0.0,17585.1,0.0
6384,r022,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,3,123879.9,0.0,0.0,123879.9
6384,r023,All agencies -> Other agencies,All agencies,Other agencies,,,2,,,,
6384,r024,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,3,42.0,40.0,0.0,2.0
