table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12594,r001,All functions conducting R&D,All functions conducting R&D,,1,47021,46103,47568,-2.0,3.2
12594,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,3013,2679,2666,-11.1,-0.5
12594,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,23097,22748,23586,-1.5,3.7
12594,r004,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,5115,5417,5302,5.9,-2.1
12594,r005,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,12875,12275,12994,-4.7,5.9
12594,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,24,23,23,-4.2,0.0
12594,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,222,220,216,-0.9,-1.8
12594,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,1271,1265,1272,-0.5,0.6
12594,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,0,0,0,-,-
12594,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,683,756,718,10.7,-5.0
12594,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,316,316,355,0.0,12.3
12594,r012,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,343,342,379,-0.3,10.8
12594,r013,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,60,60,55,0.0,-8.3
12594,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,2,2,2,0.0,0.0
12594,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0,0,0,-,-
12594,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0,0,0,-,-
12594,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0,0,0,-,-
