table_id,row_id,funders_business_activity_sup_a_sup_full_path,funders_business_activity_sup_a_sup_level_1,funders_business_activity_sup_a_sup_level_2,funders_business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
754,r001,All business activities,All business activities,,1,21100–81000,"['30,912', '&nbsp;']"
754,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['D', '&nbsp;']"
754,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['*', '&nbsp;']"
754,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['D', '&nbsp;']"
754,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['23', '&nbsp;']"
754,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['1', 'i']"
754,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['164', '&nbsp;']"
754,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['117', '&nbsp;']"
754,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['2', '&nbsp;']"
754,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['4', '&nbsp;']"
754,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['4', '&nbsp;']"
754,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1', '&nbsp;']"
754,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['11', '&nbsp;']"
754,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['14', '&nbsp;']"
754,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['0', '&nbsp;']"
754,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['10', '&nbsp;']"
754,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['105', '&nbsp;']"
754,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['6', '&nbsp;']"
754,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemical manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2,32530,"['*', '&nbsp;']"
754,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostics)",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostics)",2,32541,"['10,115', '&nbsp;']"
754,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['15', '&nbsp;']"
754,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostics),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostics),2,32543,"['5,676', '&nbsp;']"
754,r023,"All business activities -> Soap, cleaning compound, and toilet preparation manufacturing",All business activities,"Soap, cleaning compound, and toilet preparation manufacturing",2,32591,"['179', '&nbsp;']"
754,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['163', '&nbsp;']"
754,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['26', 'i']"
754,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['2', '&nbsp;']"
754,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['8', '&nbsp;']"
754,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['18', '&nbsp;']"
754,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['50', '&nbsp;']"
754,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['17', '&nbsp;']"
754,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['3', 'i']"
754,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['20', '&nbsp;']"
754,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['94', 'i']"
754,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['20', '&nbsp;']"
754,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['6', '&nbsp;']"
754,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['3', '&nbsp;']"
