table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_doc,field_doda,field_doe,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_otherb
10416,r001,All systems,All systems,,1,-,16748808,156800,1968364,838647,93358,22045,9458948,678160,2731124,610562,190800
10416,r002,All systems -> U. California System,All systems,U. California System,2,1,3577890,11528,358870,129444,7164,6919,2367975,147163,470721,58994,19114
10416,r003,All systems -> U. Texas System,All systems,U. Texas System,2,2,1299080,1355,230736,34544,5984,0,859210,15964,142915,2795,5577
10416,r004,All systems -> U. North Carolina System,All systems,U. North Carolina System,2,3,806049,3816,39136,29054,15064,5829,529773,2502,126064,45322,9491
10416,r005,All systems -> State U. System of Florida,All systems,State U. System of Florida,2,4,772823,10624,72230,41663,9418,1437,379900,22765,191794,29474,13519
10416,r006,All systems -> Columbia U. System,All systems,Columbia U. System,2,5,769122,3150,31013,17408,2963,0,614503,19691,79792,272,330
10416,r007,All systems -> U. Colorado System,All systems,U. Colorado System,2,6,657760,57932,67927,15050,32,1696,340866,61842,109668,1519,1228
10416,r008,All systems -> U. System of Georgia,All systems,U. System of Georgia,2,7,627213,3942,206910,26359,2120,2078,217899,17811,103995,38106,7991
10416,r009,All systems -> U. System of Maryland,All systems,U. System of Maryland,2,8,625138,10737,132217,9459,1867,0,293681,76776,75846,21604,2950
10416,r010,All systems -> U. Wisconsin System,All systems,U. Wisconsin System,2,9,603481,4192,48076,63009,2674,485,354841,13688,90301,23384,2831
10416,r011,All systems -> U. System of Ohio,All systems,U. System of Ohio,2,10,592384,2995,70054,40220,4334,1181,341929,7093,94834,25956,3789
10416,r012,All systems -> Arizona U. System,All systems,Arizona U. System,2,11,553766,3100,79839,20257,3734,0,231101,85976,117126,8840,3793
10416,r013,All systems -> U. Illinois System,All systems,U. Illinois System,2,12,510072,20,64220,79574,443,0,199954,8932,123360,22579,10990
10416,r014,All systems -> U. Minnesota System,All systems,U. Minnesota System,2,13,473552,1578,29914,24243,3707,413,317448,5491,58006,28901,3851
10416,r015,All systems -> Utah System of Higher Education,All systems,Utah System of Higher Education,2,14,417590,454,84561,12600,0,0,228680,21415,60929,8371,580
10416,r016,All systems -> U. Alabama System,All systems,U. Alabama System,2,15,394359,711,28986,5770,691,0,325056,10980,19205,0,2961
10416,r017,All systems -> SUNY System,All systems,SUNY System,2,16,365167,948,50785,23184,1409,0,188552,7203,90255,1536,1297
10416,r018,All systems -> Texas A&M U. System,All systems,Texas A&M U. System,2,17,344086,6427,28570,25552,4753,0,81165,3398,124208,62496,7515
10416,r019,All systems -> Indiana U. System,All systems,Indiana U. System,2,18,323487,4075,17558,4733,337,0,253768,912,36190,1600,4313
10416,r020,All systems -> Massachusetts Public Higher Education System,All systems,Massachusetts Public Higher Education System,2,19,318043,760,34610,9537,1397,0,213270,5275,45445,7693,56
