table_id,row_id,program_element_code,number
6990,r001,Molecular Biophysics,5890
6990,r002,Undergrad Instrument & Lab Improve,5543
6990,r003,EPSCoR Co-Funding,5238
6990,r004,Major Research Instrumentation,5014
6990,r005,"Algebra, Number Theory, and Com",4893
6990,r006,Applied Mathematics,4757
6990,r007,Economics,4609
6990,r008,Cross-Directorate Programs,4109
6990,r009,Geophysics,4087
6990,r010,S-STEM-Schlr Sci Tech Eng & Math,4047
