table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_units,field_graduate_students_all_graduate_students_institutions,field_graduate_students_master_s_units,field_graduate_students_master_s_institutions,field_graduate_students_doctoral_units,field_graduate_students_doctoral_institutions,field_postdoctoral_appointees_units,field_postdoctoral_appointees_institutions,field_doctorate_holding_nonfaculty_researchers_units,field_doctorate_holding_nonfaculty_researchers_institutions
6093,r001,All detailed fields,All detailed fields,,,,1,13659,705,10704,695,7205,404,7613,338,5671,270
6093,r002,All detailed fields -> Science,All detailed fields,Science,,,2,9720,682,7364,666,5161,374,4399,325,3258,258
6093,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,333,90,299,89,212,55,259,69,236,59
6093,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,300,88,275,88,187,54,179,53,169,47
6093,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,33,25,24,22,25,20,80,41,67,31
6093,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,2632,507,1591,487,1814,285,1796,273,1271,201
6093,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,180,149,87,79,150,126,140,109,118,90
6093,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,382,347,336,318,162,151,186,163,139,108
6093,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,174,125,119,94,100,80,71,51,33,31
6093,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,39,36,6,6,39,36,19,15,13,13
6093,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,194,118,139,98,120,81,89,54,64,42
6093,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,85,73,80,68,7,7,20,18,14,12
6093,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,68,49,55,45,58,42,48,35,31,22
