table_id,row_id,number_of_classes,abic,_decrease_in_abic,entropy,_stability
6798,r001,1,284723.38,na,1.0,100.0
6798,r002,2,156332.1,45.1,0.83,100.0
6798,r003,3,127433.84,18.5,0.81,100.0
6798,r004,4,110519.21,13.3,0.76,89.1
6798,r005,5,101000.73,8.6,0.75,60.8
6798,r006,6,94821.93,6.1,0.74,52.8
6798,r007,7,89434.25,5.7,0.74,86.8
6798,r008,8,86985.42,2.7,0.73,54.5
