table_id,row_id,size_of_company_number_of_domestic_employees_full_path,size_of_company_number_of_domestic_employees_level_1,size_of_company_number_of_domestic_employees_level_2,size_of_company_number_of_domestic_employees_level_3,size_of_company_number_of_domestic_employees_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6311,r001,Millions of dollars,Millions of dollars,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r002,All business domestic R&D<sup>a</sup>,All business domestic R&D<sup>a</sup>,,,1,"['278,977', '&nbsp;']","['294,092', '&nbsp;']","['302,251', '&nbsp;']","['322,528', '&nbsp;']","['340,728', '&nbsp;']","['355,821', '&nbsp;']","['379,529', '&nbsp;']","['405,792', '&nbsp;']","['445,563', '&#160;']","['498,175', '&nbsp;']"
6311,r003,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup>,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r004,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup> -> 1&#8211;4,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,1&#8211;4,3,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['4,843', '&nbsp;']","['NA', '&nbsp;']","['1,891', '&nbsp;']","['2,350', '&nbsp;']"
6311,r005,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup> -> 5&#8211;9,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,5&#8211;9,3,"['3,851', '&nbsp;']","['4,202', '&nbsp;']","['2,926', 'i']","['3,402', 'i']","['3,295', 'i']","['2,988', 'i']","['1,581', 'i']","['NA', '&#160;']","['2,636', '&#160;']","['2,869', '&nbsp;']"
6311,r006,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup> -> 1&#8211;9,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,1&#8211;9,3,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['5,691', '&nbsp;']","['4,527', '&nbsp;']","['5,219', '&nbsp;']"
6311,r007,All business domestic R&D<sup>a</sup> -> Small companies,All business domestic R&D<sup>a</sup>,Small companies,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r008,All business domestic R&D<sup>a</sup> -> Small companies -> 10&#8211;24<sup>c</sup>,All business domestic R&D<sup>a</sup>,Small companies,10&#8211;24<sup>c</sup>,3,"['8,722', '&nbsp;']","['6,779', '&nbsp;']","['6,915', 'i']","['6,895', 'i']","['7,177', 'i']","['NA', '&#160;']","['NA', '&#160;']","['NA', '&#160;']","['NA', '&#160;']","['NA', '&nbsp;']"
6311,r009,All business domestic R&D<sup>a</sup> -> Small companies -> 25&#8211;49,All business domestic R&D<sup>a</sup>,Small companies,25&#8211;49,3,"['8,624', '&nbsp;']","['10,861', '&nbsp;']","['7,195', 'i']","['7,941', 'i']","['8,428', 'i']","['NA', '&#160;']","['NA', '&#160;']","['NA', '&#160;']","['NA', '&#160;']","['NA', '&nbsp;']"
6311,r010,All business domestic R&D<sup>a</sup> -> Small companies -> 10&#8211;19<sup>c</sup>,All business domestic R&D<sup>a</sup>,Small companies,10&#8211;19<sup>c</sup>,3,"['NA', '&#160;']","['NA', '&nbsp;']","['NA', '&#160;']","['NA', '&#160;']","['NA', '&#160;']","['5,680', 'i']","['4,958', 'i']","['3,311', '&#160;']","['4,390', '&#160;']","['5,501', '&nbsp;']"
6311,r011,All business domestic R&D<sup>a</sup> -> Small companies -> 20&#8211;49<sup>c</sup>,All business domestic R&D<sup>a</sup>,Small companies,20&#8211;49<sup>c</sup>,3,"['NA', '&#160;']","['NA', '&nbsp;']","['NA', '&#160;']","['NA', '&#160;']","['NA', '&#160;']","['10,249', 'i']","['9,662', 'i']","['9,435', '&#160;']","['11,252', '&#160;']","['12,418', '&nbsp;']"
6311,r012,All business domestic R&D<sup>a</sup> -> Medium companies,All business domestic R&D<sup>a</sup>,Medium companies,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r013,All business domestic R&D<sup>a</sup> -> Medium companies -> 50&#8211;99,All business domestic R&D<sup>a</sup>,Medium companies,50&#8211;99,3,"['8,855', '&nbsp;']","['9,468', '&nbsp;']","['9,182', 'i']","['8,910', '&nbsp;']","['10,178', 'i']","['11,509', '&#160;']","['9,298', '&#160;']","['10,141', '&#160;']","['12,321', '&#160;']","['14,021', '&nbsp;']"
6311,r014,All business domestic R&D<sup>a</sup> -> Medium companies -> 100&#8211;249,All business domestic R&D<sup>a</sup>,Medium companies,100&#8211;249,3,"['11,866', '&#160;']","['12,528', '&nbsp;']","['12,480', '&#160;']","['13,666', '&#160;']","['13,492', '&#160;']","['13,602', '&#160;']","['14,875', '&#160;']","['17,216', '&#160;']","['18,547', '&#160;']","['19,793', '&nbsp;']"
6311,r015,All business domestic R&D<sup>a</sup> -> Large companies,All business domestic R&D<sup>a</sup>,Large companies,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r016,All business domestic R&D<sup>a</sup> -> Large companies -> 250&#8211;499,All business domestic R&D<sup>a</sup>,Large companies,250&#8211;499,3,"['10,283', '&#160;']","['12,955', '&nbsp;']","['11,264', '&#160;']","['12,189', '&#160;']","['12,203', '&#160;']","['13,553', '&#160;']","['13,092', '&#160;']","['14,103', '&#160;']","['19,645', '&#160;']","['18,883', '&nbsp;']"
6311,r017,All business domestic R&D<sup>a</sup> -> Large companies -> 500&#8211;999,All business domestic R&D<sup>a</sup>,Large companies,500&#8211;999,3,"['10,116', '&#160;']","['10,027', '&nbsp;']","['11,484', '&#160;']","['12,002', '&#160;']","['13,262', '&#160;']","['15,217', '&#160;']","['14,450', '&#160;']","['17,871', '&#160;']","['17,657', '&#160;']","['23,969', '&nbsp;']"
6311,r018,"All business domestic R&D<sup>a</sup> -> Large companies -> 1,000&#8211;4,999",All business domestic R&D<sup>a</sup>,Large companies,"1,000&#8211;4,999",3,"['48,227', '&#160;']","['50,485', '&nbsp;']","['50,691', '&#160;']","['55,517', '&#160;']","['57,551', '&#160;']","['58,094', '&#160;']","['63,971', '&#160;']","['65,112', '&#160;']","['68,578', '&#160;']","['75,671', '&nbsp;']"
6311,r019,"All business domestic R&D<sup>a</sup> -> Large companies -> 5,000&#8211;9,999",All business domestic R&D<sup>a</sup>,Large companies,"5,000&#8211;9,999",3,"['27,463', '&#160;']","['24,951', '&nbsp;']","['30,483', '&#160;']","['31,514', '&#160;']","['38,202', '&#160;']","['38,838', '&#160;']","['40,633', '&#160;']","['40,198', '&#160;']","['45,337', '&#160;']","['50,811', '&nbsp;']"
6311,r020,"All business domestic R&D<sup>a</sup> -> Large companies -> 10,000&#8211;24,999",All business domestic R&D<sup>a</sup>,Large companies,"10,000&#8211;24,999",3,"['41,835', '&#160;']","['49,214', '&nbsp;']","['49,493', '&#160;']","['51,218', '&#160;']","['54,445', '&#160;']","['59,328', '&#160;']","['65,594', '&#160;']","['73,485', '&#160;']","['84,420', '&#160;']","['88,263', '&nbsp;']"
6311,r021,"All business domestic R&D<sup>a</sup> -> Large companies -> 25,000 or more",All business domestic R&D<sup>a</sup>,Large companies,"25,000 or more",3,"['99,133', '&#160;']","['102,623', '&nbsp;']","['110,138', '&#160;']","['119,275', '&#160;']","['122,495', '&#160;']","['126,763', '&#160;']","['136,571', '&#160;']","['149,227', '&#160;']","['158,889', '&#160;']","['183,626', '&nbsp;']"
6311,r022,Percentage of all business R&D,Percentage of all business R&D,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r023,All business domestic R&D<sup>a</sup>,All business domestic R&D<sup>a</sup>,,,1,"['100.0', '']","['100.0', '']","['100.0', '']","['100.0', '']","['100.0', '']","['100.0', '']","['100.0', '']","['100.0', '']","['100.0', '']","['100.0', '']"
6311,r024,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup>,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r025,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup> -> 1&#8211;4,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,1&#8211;4,3,"['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['1.3', '']","['NA', '']","['0.4', '']","['0.5', '']"
6311,r026,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup> -> 5&#8211;9,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,5&#8211;9,3,"['1.4', '']","['1.4', '']","['1.0', '']","['1.1', '']","['1.0', '']","['0.8', '']","['0.4', '']","['NA', '']","['0.6', '']","['0.6', '']"
6311,r027,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup> -> 1&#8211;9,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,1&#8211;9,3,"['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['1.4', '']","['1.0', '']","['1.0', '']"
6311,r028,All business domestic R&D<sup>a</sup> -> Small companies,All business domestic R&D<sup>a</sup>,Small companies,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6311,r029,All business domestic R&D<sup>a</sup> -> Small companies -> 10&#8211;24<sup>c</sup>,All business domestic R&D<sup>a</sup>,Small companies,10&#8211;24<sup>c</sup>,3,"['3.1', '']","['2.3', '']","['2.3', '']","['2.1', '']","['2.1', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
6311,r030,All business domestic R&D<sup>a</sup> -> Small companies -> 25&#8211;49,All business domestic R&D<sup>a</sup>,Small companies,25&#8211;49,3,"['3.1', '']","['3.7', '']","['2.4', '']","['2.5', '']","['2.5', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
