table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10432,r001,R&D and R&D plant,R&D and R&D plant,,,,1,173,168,168,-2.9,0.0
10432,r002,R&D and R&D plant -> International development and humanitarian assistance (151),R&D and R&D plant,International development and humanitarian assistance (151),,,2,173,168,168,-2.9,0.0
10432,r003,R&D and R&D plant -> International development and humanitarian assistance (151) -> Agency for International Development,R&D and R&D plant,International development and humanitarian assistance (151),Agency for International Development,,3,153,153,153,0.0,0.0
10432,r004,R&D and R&D plant -> International development and humanitarian assistance (151) -> Department of State,R&D and R&D plant,International development and humanitarian assistance (151),Department of State,,3,7,2,2,-71.4,0.0
10432,r005,R&D and R&D plant -> International Security Assistance (152),R&D and R&D plant,International Security Assistance (152),,,2,13,13,13,0.0,0.0
10432,r006,R&D and R&D plant -> International Security Assistance (152) -> Economic Support Fund,R&D and R&D plant,International Security Assistance (152),Economic Support Fund,,3,13,13,13,0.0,0.0
10432,r007,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,173,168,168,-2.9,0.0
10432,r008,R&D and R&D plant -> R&D -> International development and humanitarian assistance (151),R&D and R&D plant,R&D,International development and humanitarian assistance (151),,3,173,168,168,-2.9,0.0
10432,r009,R&D and R&D plant -> R&D -> International development and humanitarian assistance (151) -> Agency for International Development (151),R&D and R&D plant,R&D,International development and humanitarian assistance (151),Agency for International Development (151),4,153,153,153,0.0,0.0
10432,r010,R&D and R&D plant -> R&D -> International development and humanitarian assistance (151) -> Department of State,R&D and R&D plant,R&D,International development and humanitarian assistance (151),Department of State,4,7,2,2,-71.4,0.0
10432,r011,R&D and R&D plant -> R&D -> International Security Assistance (152),R&D and R&D plant,R&D,International Security Assistance (152),,3,13,13,13,0.0,0.0
10432,r012,R&D and R&D plant -> R&D -> International Security Assistance (152) -> Economic Support Fund,R&D and R&D plant,R&D,International Security Assistance (152),Economic Support Fund,4,13,13,13,0.0,0.0
