table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_scientists_and_engineers,field_highest_degree_in_s_e_all_s_e_highest_degree,field_highest_degree_in_s_e_computer_and_mathematical_sciences,field_highest_degree_in_s_e_biological_agricultural_and_environmental_life_sciences,field_highest_degree_in_s_e_physical_and_related_sciences,field_highest_degree_in_s_e_social_and_related_sciences,field_highest_degree_in_s_e_engineering,field_s_e_related_fields,field_non_s_e_fields
1617,r001,All occupations,All occupations,,,,1,27273000,14501000,2567000,2290000,814000,5336000,3494000,6870000,5902000
1617,r002,S&E occupations,S&E occupations,,,,1,6769000,5085000,1437000,633000,366000,679000,1970000,382000,1301000
1617,r003,S&E occupations -> Computer and mathematical scientists,S&E occupations,Computer and mathematical scientists,,,2,3419000,2365000,1373000,95000,62000,234000,601000,180000,874000
1617,r004,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,3,3096000,2165000,1255000,75000,55000,202000,578000,157000,774000
1617,r005,"S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer and information scientists, research",S&E occupations,Computer and mathematical scientists,Computer and information scientists,"Computer and information scientists, research",4,93000,69000,39000,s,3000,10000,13000,s,22000
1617,r006,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer network architects,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer network architects,4,50000,37000,18000,s,s,s,13000,s,11000
1617,r007,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer support specialists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer support specialists,4,272000,146000,86000,10000,s,19000,25000,14000,112000
1617,r008,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer system analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer system analysts,4,371000,227000,147000,11000,3000,27000,39000,31000,113000
1617,r009,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Database administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Database administrators,4,113000,70000,44000,s,s,13000,8000,6000,37000
1617,r010,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Information security analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Information security analysts,4,106000,76000,54000,s,s,8000,14000,s,28000
1617,r011,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Network and computer systems administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Network and computer systems administrators,4,195000,126000,81000,s,3000,8000,28000,4000,65000
1617,r012,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Software developers &#8212; applications and systems software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Software developers &#8212; applications and systems software,4,653000,505000,309000,11000,12000,28000,144000,37000,111000
1617,r013,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Web developers,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Web developers,4,164000,81000,43000,8000,2000,17000,11000,4000,79000
1617,r014,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Other computer information science occupations,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Other computer information science occupations,4,337000,198000,103000,17000,3000,49000,26000,21000,117000
1617,r015,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer engineers &#8212; software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer engineers &#8212; software,4,742000,629000,330000,4000,18000,21000,256000,33000,80000
1617,r016,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,3,209000,112000,47000,17000,4000,30000,14000,10000,87000
