table_id,row_id,_b_citizenship_status_and_field_b_full_path,_b_citizenship_status_and_field_b_level_1,_b_citizenship_status_and_field_b_level_2,_b_citizenship_status_and_field_b_level_3,_b_citizenship_status_and_field_b_level_4,_b_citizenship_status_and_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field__change_2010_20
4655,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,,1,48028,48909,50943,52703,53986,54886,54809,54552,55085,55614,55283,15.1
4655,r002,All doctorate recipients<sup>a</sup> -> Life sciences,All doctorate recipients<sup>a</sup>,Life sciences,,,2,11319,11535,11964,12207,12484,12493,12539,12554,12755,12753,12561,11.0
4655,r003,All doctorate recipients<sup>a</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Life sciences,Agricultural sciences and natural resources,,3,1100,1206,1255,1324,1338,1434,1379,1493,1442,1488,1472,33.8
4655,r004,All doctorate recipients<sup>a</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Life sciences,Biological and biomedical sciences,,3,8046,8152,8322,8354,8868,8783,8863,8566,8782,8681,8418,4.6
4655,r005,All doctorate recipients<sup>a</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Life sciences,Health sciences,,3,2173,2177,2387,2529,2278,2276,2297,2495,2531,2584,2671,22.9
4655,r006,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,,,2,4995,5271,5419,5584,5910,5916,6251,6082,6331,6579,6247,25.1
4655,r007,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Chemistry,,3,2304,2432,2416,2484,2673,2666,2703,2699,2808,2939,2763,19.9
4655,r008,"All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,862,852,941,989,1098,1057,1227,1169,1185,1272,1243,44.2
4655,r009,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,1829,1987,2062,2111,2139,2193,2321,2214,2338,2368,2241,22.5
4655,r010,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,,,2,3223,3273,3496,3660,3862,3818,3954,3842,4022,4231,4392,36.3
4655,r011,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Computer and information sciences,,3,1633,1667,1793,1843,1988,2003,2082,1998,2000,2221,2361,44.6
4655,r012,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,1590,1606,1703,1817,1874,1815,1872,1844,2022,2010,2031,27.7
4655,r013,All doctorate recipients<sup>a</sup> -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,,,2,7882,8220,8498,8580,8748,9073,9037,9034,8877,9043,8946,13.5
4655,r014,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Psychology,,3,3420,3576,3599,3592,3724,3776,3910,3925,3821,3909,3879,13.4
4655,r015,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Anthropology,,3,507,553,547,550,523,492,460,446,424,445,448,-11.6
4655,r016,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Economics,,3,1073,1121,1243,1183,1196,1255,1236,1239,1245,1247,1216,13.3
4655,r017,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Political science and government,,3,728,685,724,803,775,859,745,743,734,707,637,-12.5
4655,r018,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Sociology,,3,639,656,633,636,678,741,613,683,668,632,607,-5.0
4655,r019,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Other social sciences,,3,1515,1629,1752,1816,1852,1950,2073,1998,1985,2103,2159,42.5
4655,r020,All doctorate recipients<sup>a</sup> -> Engineering,All doctorate recipients<sup>a</sup>,Engineering,,,2,7578,8032,8469,9000,9626,9875,9459,9776,10165,10298,10476,38.2
4655,r021,"All doctorate recipients<sup>a</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,252,262,307,348,386,361,370,379,383,379,399,58.3
4655,r022,All doctorate recipients<sup>a</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Engineering,Bioengineering and biomedical engineering,,3,824,898,943,1039,1046,1125,1089,1032,1133,1163,1083,31.4
4655,r023,All doctorate recipients<sup>a</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Engineering,Chemical engineering,,3,822,823,840,824,973,1002,921,931,981,980,994,20.9
4655,r024,All doctorate recipients<sup>a</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Engineering,Civil engineering,,3,643,634,495,542,617,632,564,713,675,700,796,23.8
4655,r025,"All doctorate recipients<sup>a</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Engineering,"Electrical, electronics, and communications engineering",,3,1778,1886,1938,1897,1952,1997,1823,1879,1943,1799,1973,11.0
4655,r026,All doctorate recipients<sup>a</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Engineering,Industrial and manufacturing engineering,,3,215,258,226,241,298,243,256,249,272,234,304,41.4
4655,r027,All doctorate recipients<sup>a</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Engineering,Materials science engineering,,3,670,662,743,815,832,871,984,937,992,992,880,31.3
4655,r028,All doctorate recipients<sup>a</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Engineering,Mechanical engineering,,3,983,1084,1220,1277,1331,1466,1297,1398,1503,1532,1634,66.2
4655,r029,All doctorate recipients<sup>a</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Engineering,Other engineering,,3,1391,1525,1757,2017,2191,2178,2155,2258,2283,2519,2413,73.5
4655,r030,All doctorate recipients<sup>a</sup> -> Education,All doctorate recipients<sup>a</sup>,Education,,,2,5287,4670,4802,4934,4789,5098,5146,4826,4818,4633,4716,-10.8
4655,r031,All doctorate recipients<sup>a</sup> -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Education,Education administration,,3,1439,924,1057,965,893,920,824,922,895,839,927,-35.6
4655,r032,All doctorate recipients<sup>a</sup> -> Education -> Education research,All doctorate recipients<sup>a</sup>,Education,Education research,,3,2443,2438,2568,2703,2560,2772,2384,2418,2500,2304,2312,-5.4
4655,r033,All doctorate recipients<sup>a</sup> -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Education,Teacher education,,3,245,204,156,109,152,156,180,114,96,104,113,-53.9
4655,r034,All doctorate recipients<sup>a</sup> -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Education,Teaching fields,,3,799,805,757,892,915,953,1166,925,959,957,940,17.6
4655,r035,All doctorate recipients<sup>a</sup> -> Education -> Other education,All doctorate recipients<sup>a</sup>,Education,Other education,,3,361,299,264,265,269,297,592,447,368,429,424,17.5
4655,r036,All doctorate recipients<sup>a</sup> -> Humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,,,2,5015,5225,5561,5715,5524,5594,5482,5286,5139,5051,4939,-1.5
4655,r037,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Humanities and arts,Foreign languages and literature,,3,601,644,684,701,674,656,599,618,617,610,564,-6.2
4655,r038,All doctorate recipients<sup>a</sup> -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Humanities and arts,History,,3,1005,1065,1086,1148,1186,1146,1148,1058,948,912,887,-11.7
4655,r039,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Humanities and arts,Letters,,3,1516,1513,1638,1606,1551,1583,1531,1462,1439,1386,1392,-8.2
4655,r040,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,Other humanities and arts,,3,1893,2003,2153,2260,2113,2209,2204,2148,2135,2143,2096,10.7
4655,r041,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup>,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,,,2,2729,2683,2734,3023,3043,3019,2941,3152,2978,3026,3006,10.2
4655,r042,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Business management and administration,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Business management and administration,,3,1366,1327,1404,1551,1584,1582,1509,1565,1474,1532,1466,7.3
4655,r043,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Communication,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Communication,,3,638,650,595,645,663,667,672,622,630,543,593,-7.1
4655,r044,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Non-S&E fields nec,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Non-S&E fields nec,,3,725,706,735,827,796,770,760,965,874,951,947,30.6
4655,r045,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,,,2,31602,31725,32981,33964,34003,35071,35678,35735,35351,35232,34492,9.1
4655,r046,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,,3,7812,7892,8184,8352,8390,8470,8683,8827,9029,9040,8707,11.5
4655,r047,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,Agricultural sciences and natural resources,4,618,697,675,737,754,774,771,822,792,821,796,28.8
4655,r048,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,Biological and biomedical sciences,4,5585,5614,5790,5768,5993,6029,6215,6147,6396,6371,6008,7.6
4655,r049,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,Health sciences,4,1609,1581,1719,1847,1643,1667,1697,1858,1841,1848,1903,18.3
4655,r050,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,,3,2860,3048,3148,3247,3300,3481,3669,3714,3769,3900,3741,30.8
4655,r051,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,Chemistry,4,1323,1407,1385,1443,1447,1572,1581,1696,1710,1780,1696,28.2
4655,r052,"All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,573,555,623,654,722,704,803,790,760,808,811,41.5
4655,r053,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,Physics and astronomy,4,964,1086,1140,1150,1131,1205,1285,1228,1299,1312,1234,28.0
4655,r054,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Mathematics and computer sciences,,3,1599,1603,1627,1631,1738,1663,1729,1748,1736,1785,1736,8.6
4655,r055,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Mathematics and computer sciences,Computer and information sciences,4,761,790,785,758,807,774,783,801,742,799,808,6.2
4655,r056,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Mathematics and computer sciences,Mathematics and statistics,4,838,813,842,873,931,889,946,947,994,986,928,10.7
4655,r057,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,,3,5803,6070,6319,6464,6389,6685,6798,6843,6691,6702,6605,13.8
4655,r058,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Psychology,4,2874,3062,3046,3067,3042,3103,3341,3376,3309,3326,3317,15.4
4655,r059,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Anthropology,4,384,455,445,457,405,397,360,349,336,360,366,-4.7
4655,r060,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Economics,4,459,428,517,505,469,552,522,547,483,491,459,0.0
4655,r061,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Political science and government,4,522,488,536,593,574,621,579,572,544,504,460,-11.9
4655,r062,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Sociology,4,519,511,512,516,544,596,506,562,557,511,488,-6.0
4655,r063,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Other social sciences,4,1045,1126,1263,1326,1355,1416,1490,1437,1462,1510,1515,45.0
4655,r064,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,,3,3332,3350,3579,3767,4066,4219,4181,4311,4213,4251,4154,24.7
4655,r065,"All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,141,145,181,194,246,216,233,241,221,212,221,56.7
4655,r066,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Bioengineering and biomedical engineering,4,516,564,602,637,674,723,746,695,743,771,689,33.5
4655,r067,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Chemical engineering,4,433,393,377,365,445,488,470,469,469,480,465,7.4
4655,r068,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Civil engineering,4,231,216,159,182,229,231,219,231,200,200,245,6.1
4655,r069,"All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,"Electrical, electronics, and communications engineering",4,627,617,614,603,575,632,548,581,543,518,552,-12.0
4655,r070,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Industrial and manufacturing engineering,4,62,100,75,77,91,65,82,85,62,84,82,32.3
4655,r071,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Materials science engineering,4,313,278,350,349,363,381,456,470,462,501,398,27.2
4655,r072,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Mechanical engineering,4,403,440,505,547,558,620,585,591,608,600,601,49.1
4655,r073,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Engineering,Other engineering,4,606,597,716,813,885,863,842,948,905,885,901,48.7
4655,r074,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,,3,4476,3878,4040,4118,3934,4196,4303,4052,4025,3848,3896,-13.0
4655,r075,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Education administration,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Education administration,4,1296,833,936,844,763,797,727,792,783,755,818,-36.9
4655,r076,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Education research,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Education research,4,2059,1989,2143,2216,2104,2273,1981,2029,2056,1909,1872,-9.1
4655,r077,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Teacher education,4,203,156,134,90,132,134,158,97,87,87,94,-53.7
4655,r078,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Teaching fields,4,646,679,613,741,732,762,950,763,785,769,751,16.3
4655,r079,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Education -> Other education,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Education,Other education,4,272,221,214,227,203,230,487,371,314,328,361,32.7
4655,r080,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,,3,4029,4191,4434,4535,4361,4478,4450,4297,4145,3988,3915,-2.8
4655,r081,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,Foreign languages and literature,4,389,426,472,467,469,463,399,430,405,383,349,-10.3
4655,r082,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,History,4,843,893,889,947,968,944,950,890,800,741,746,-11.5
4655,r083,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,Letters,4,1287,1289,1383,1354,1304,1353,1314,1277,1232,1187,1165,-9.5
4655,r084,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Humanities and arts,Other humanities and arts,4,1510,1583,1690,1767,1620,1718,1787,1700,1708,1677,1655,9.6
4655,r085,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Other<sup>b</sup>,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Other<sup>b</sup>,,3,1691,1693,1650,1850,1825,1879,1865,1943,1743,1718,1738,2.8
4655,r086,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Other<sup>b</sup> -> Business management and administration,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Other<sup>b</sup>,Business management and administration,4,746,755,736,831,849,892,845,859,740,748,709,-5.0
4655,r087,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Other<sup>b</sup> -> Communication,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Other<sup>b</sup>,Communication,4,468,473,426,471,473,479,472,458,434,349,412,-12.0
4655,r088,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Other<sup>b</sup> -> Non-S&E fields nec,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Other<sup>b</sup>,Non-S&E fields nec,4,477,465,488,548,503,508,548,626,569,621,617,29.4
