table_id,row_id,debt_level_and_field_full_path,debt_level_and_field_level_1,debt_level_and_field_level_2,debt_level_and_field_level_3,debt_level_and_field_level_4,debt_level_and_field_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
2829,r001,All doctorate recipients,All doctorate recipients,,,,1,43898,44781,46490,46449,46819,48759,49778,49225,50014,50784
2829,r002,All doctorate recipients -> No debt,All doctorate recipients,No debt,,,2,28105,28663,29297,28883,29333,30890,31987,32602,33828,34746
2829,r003,"All doctorate recipients -> $10,000 or less",All doctorate recipients,"$10,000 or less",,,2,3510,3697,4030,3931,3842,4189,4071,3799,3831,3481
2829,r004,"All doctorate recipients -> $10,001&#8211;$30,000",All doctorate recipients,"$10,001&#8211;$30,000",,,2,4238,4314,4565,4609,4435,4464,4376,3896,3720,3795
2829,r005,"All doctorate recipients -> $30,001 or more",All doctorate recipients,"$30,001 or more",,,2,8045,8107,8598,9026,9209,9216,9344,8928,8635,8762
2829,r006,All doctorate recipients -> Life sciences<sup>a</sup>,All doctorate recipients,Life sciences<sup>a</sup>,,,2,10466,10673,11115,10867,10917,11306,11636,11615,11778,11921
2829,r007,All doctorate recipients -> Life sciences<sup>a</sup> -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,No debt,,3,7268,7451,7658,7318,7427,7812,8100,8213,8391,8504
2829,r008,"All doctorate recipients -> Life sciences<sup>a</sup> -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,"$10,000 or less",,3,849,853,943,904,860,940,914,913,875,841
2829,r009,"All doctorate recipients -> Life sciences<sup>a</sup> -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,"$10,001&#8211;$30,000",,3,944,909,1001,1016,997,943,940,817,815,853
2829,r010,"All doctorate recipients -> Life sciences<sup>a</sup> -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,"$30,001 or more",,3,1405,1460,1513,1629,1633,1611,1682,1672,1697,1723
2829,r011,All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,,3,4629,4900,5009,5005,5203,5328,5748,5624,5870,6128
2829,r012,All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,No debt,4,3575,3734,3833,3831,4023,4164,4530,4583,4823,5026
2829,r013,"All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$10,000 or less",4,384,401,426,421,404,460,484,392,446,395
2829,r014,"All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$10,001&#8211;$30,000",4,333,353,377,380,365,324,335,298,269,318
2829,r015,"All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$30,001 or more",4,337,412,373,373,411,380,399,351,332,389
2829,r016,All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,,3,2956,2999,3149,3273,3415,3407,3589,3468,3673,3894
2829,r017,All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,No debt,4,2358,2381,2505,2633,2685,2747,2885,2835,3044,3255
2829,r018,"All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,"$10,000 or less",4,174,217,202,204,238,222,190,218,215,210
2829,r019,"All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,"$10,001&#8211;$30,000",4,171,178,187,182,189,175,217,175,170,169
2829,r020,"All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,"$30,001 or more",4,253,223,255,254,303,263,297,240,244,260
2829,r021,All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences,All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,,3,7095,7363,7598,7442,7435,7853,8073,7957,7913,8083
2829,r022,All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,No debt,4,3415,3523,3560,3446,3431,3635,3966,4057,4165,4349
2829,r023,"All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,"$10,000 or less",4,556,630,657,615,609,670,687,643,610,557
2829,r024,"All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,"$10,001&#8211;$30,000",4,866,882,983,880,860,947,881,840,736,727
2829,r025,"All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,"$30,001 or more",4,2258,2328,2398,2501,2535,2601,2539,2417,2402,2450
2829,r026,All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering,All doctorate recipients,Life sciences<sup>a</sup>,Engineering,,3,6989,7363,7747,7964,8445,8827,8549,8853,9285,9433
2829,r027,All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Engineering,No debt,4,5347,5654,5907,5981,6426,6787,6555,7034,7485,7575
2829,r028,"All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Engineering,"$10,000 or less",4,581,635,692,706,746,774,759,678,715,639
2829,r029,"All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Engineering,"$10,001&#8211;$30,000",4,528,504,549,615,617,613,568,520,516,578
2829,r030,"All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Engineering,"$30,001 or more",4,533,570,599,662,656,653,667,621,569,641
2829,r031,All doctorate recipients -> Life sciences<sup>a</sup> -> Education,All doctorate recipients,Life sciences<sup>a</sup>,Education,,3,4766,4255,4397,4300,4079,4490,4621,4299,4356,4202
2829,r032,All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Education,No debt,4,2445,2152,2115,1898,1725,1942,2038,1893,1952,1977
2829,r033,"All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Education,"$10,000 or less",4,365,312,373,361,347,396,369,340,339,267
2829,r034,"All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Education,"$10,001&#8211;$30,000",4,556,542,534,574,502,555,557,483,480,421
2829,r035,"All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Education,"$30,001 or more",4,1400,1249,1375,1467,1505,1597,1657,1583,1585,1537
2829,r036,All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts,All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,,3,4577,4808,5059,4974,4771,4939,4953,4734,4610,4505
2829,r037,All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,No debt,4,2383,2459,2451,2431,2325,2437,2551,2544,2549,2562
2829,r038,"All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,"$10,000 or less",4,434,477,539,525,450,543,466,444,457,402
2829,r039,"All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,"$10,001&#8211;$30,000",4,569,657,671,667,629,633,611,509,483,475
2829,r040,"All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,"$30,001 or more",4,1191,1215,1398,1351,1367,1326,1325,1237,1121,1066
2829,r041,All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup>,All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,,3,2420,2420,2416,2624,2554,2609,2609,2675,2529,2618
2829,r042,All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,No debt,4,1314,1309,1268,1345,1291,1366,1362,1443,1419,1498
2829,r043,"All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,"$10,000 or less",4,167,172,198,195,188,184,202,171,174,170
2829,r044,"All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,"$10,001&#8211;$30,000",4,271,289,263,295,276,274,267,254,251,254
2829,r045,"All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,"$30,001 or more",4,668,650,687,789,799,785,778,807,685,696
