table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field__women_2008,field__women_2017
1237,r001,All occupations,All occupations,,,,1,67876,66208,65703,65579,66914,67577,68613,69703,70868,71936,46.7,46.9
1237,r002,"All occupations -> Management, professional, and related occupations",All occupations,"Management, professional, and related occupations",,,2,26807,26685,26600,26870,27658,28088,28857,29862,30567,31342,50.9,51.6
1237,r003,"All occupations -> Management, professional, and related occupations -> Management, business, and financial operations occupations",All occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",,3,9395,9204,8950,9149,9758,9814,9953,10270,10720,10963,42.9,44.0
1237,r004,"All occupations -> Management, professional, and related occupations -> Professional and related occupations",All occupations,"Management, professional, and related occupations",Professional and related occupations,,3,17412,17481,17651,17721,17899,18274,18904,19592,19847,20379,56.7,57.0
1237,r005,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Architect",All occupations,"Management, professional, and related occupations",Professional and related occupations,Architect,4,54,55,49,36,44,46,46,48,55,79,24.2,29.5
1237,r006,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Biological or life scientist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Biological or life scientist,4,141,162,141,160,129,160,136,148,130,172,46.9,51.7
1237,r007,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Chemist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Chemist,4,39,32,34,40,44,45,29,34,38,41,36.0,40.5
1237,r008,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Dietitian",All occupations,"Management, professional, and related occupations",Professional and related occupations,Dietitian,4,95,82,102,92,103,96,109,109,105,109,88.6,93.2
1237,r009,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Economist and market and survey researcher",All occupations,"Management, professional, and related occupations",Professional and related occupations,Economist and market and survey researcher,4,85,71,96,126,120,154,194,165,178,203,53.4,56.3
1237,r010,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Engineer",All occupations,"Management, professional, and related occupations",Professional and related occupations,Engineer,4,211,198,193,246,228,229,268,262,268,324,10.7,13.9
1237,r011,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Engineering and related technologist or technician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Engineering and related technologist or technician,4,112,116,88,94,87,96,103,114,100,109,16.3,18.9
1237,r012,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Health technologist or technician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Health technologist or technician,4,1771,1904,1924,1902,1869,1990,2049,2206,2181,2127,77.2,74.4
1237,r013,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Lawyer or judge",All occupations,"Management, professional, and related occupations",Professional and related occupations,Lawyer or judge,4,369,368,357,385,353,374,403,432,420,450,34.9,36.8
1237,r014,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Mathematical or computer scientist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Mathematical or computer scientist,4,929,869,909,875,977,1029,1080,1092,1151,1221,25.2,25.6
1237,r015,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Pharmacist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Pharmacist,4,133,129,133,149,152,155,158,154,183,203,52.4,59.0
1237,r016,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Physician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Physician,4,261,290,278,283,315,326,373,380,413,430,30.3,40.2
1237,r017,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Physicians' assistant",All occupations,"Management, professional, and related occupations",Professional and related occupations,Physicians' assistant,4,70,51,72,69,74,85,65,59,60,79,65.6,70.2
1237,r018,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Psychologist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Psychologist,4,114,112,128,139,127,138,161,147,114,127,66.0,68.6
1237,r019,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Registered nurse",All occupations,"Management, professional, and related occupations",Professional and related occupations,Registered nurse,4,2518,2576,2600,2494,2557,2565,2607,2622,2770,2792,91.8,89.4
1237,r020,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Science technician",All occupations,"Management, professional, and related occupations",Professional and related occupations,Science technician,4,112,132,131,113,138,117,122,167,126,141,43.3,44.7
1237,r021,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Teacher, except postsecondary (college and university)",All occupations,"Management, professional, and related occupations",Professional and related occupations,"Teacher, except postsecondary (college and university)",4,4602,4492,4507,4498,4463,4542,4604,4778,4705,4820,76.6,76.4
1237,r022,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Teacher, postsecondary (college and university)",All occupations,"Management, professional, and related occupations",Professional and related occupations,"Teacher, postsecondary (college and university)",4,563,652,601,621,643,654,620,612,685,661,46.0,46.6
1237,r023,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Therapist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Therapist,4,536,518,558,597,601,557,642,714,724,713,80.7,80.5
1237,r024,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Other health care professional",All occupations,"Management, professional, and related occupations",Professional and related occupations,Other health care professional,4,96,128,131,228,221,266,292,317,362,356,29.6,61.8
1237,r025,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Other natural scientist",All occupations,"Management, professional, and related occupations",Professional and related occupations,Other natural scientist,4,87,78,88,98,89,80,96,118,149,184,35.0,44.0
1237,r026,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Other social scientist or urban planner",All occupations,"Management, professional, and related occupations",Professional and related occupations,Other social scientist or urban planner,4,35,33,42,54,54,40,33,32,37,31,48.5,38.5
1237,r027,"All occupations -> Management, professional, and related occupations -> Professional and related occupations -> Other professional or related occupation",All occupations,"Management, professional, and related occupations",Professional and related occupations,Other professional or related occupation,4,4476,4434,4491,4425,4511,4528,4716,4884,4891,5008,62.4,62.6
1237,r028,All occupations -> Other occupations,All occupations,Other occupations,,,2,41069,39523,39102,38709,39256,39489,39756,39841,40301,40593,44.3,43.8
