table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_capital_expenditures_total,field_worldwide_capital_expenditures_property_plant_and_equipment,field_worldwide_capital_expenditures_identifiable_intangible_assets,field_foreign_capital_expenditures_total,field_foreign_capital_expenditures_property_plant_and_equipment,field_foreign_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_total,field_domestic_capital_expenditures_property_plant_and_equipment,field_domestic_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_total,field_domestic_capital_expenditures_for_r_d_property_plant_and_equipment,field_domestic_capital_expenditures_for_r_d_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_type_of_property_land_acquisition,field_domestic_capital_expenditures_for_r_d_type_of_property_buildings_and_land_improvement,field_domestic_capital_expenditures_for_r_d_type_of_property_machinery_and_equipment,field_domestic_capital_expenditures_for_r_d_type_of_property_capitalized_software,field_domestic_capital_expenditures_for_r_d_type_of_property_other_intellectual_property,field_domestic_capital_expenditures_for_r_d_type_of_property_all_other
9689,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['981,447', '  ']","['852,787', '  ']","['128,661', '  ']","['188,184', '  ']","['170,158', '  ']","['18,026', '  ']","['793,263', '  ']","['682,629', '  ']","['110,634', '  ']","['52,844', '  ']","['39,084', '  ']","['13,760', '  ']","['584', 'i ']","['5,220', '  ']","['19,665', '  ']","['16,247', 'i ']","['5,711', '  ']","['5,417', 'i ']"
9689,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['429,329', '  ']","['372,727', '  ']","['56,603', '  ']","['124,622', '  ']","['112,126', '  ']","['12,497', '  ']","['304,707', '  ']","['260,601', '  ']","['44,106', '  ']","['28,450', '  ']","['22,755', '  ']","['5,695', '  ']","['243', '  ']","['3,877', '  ']","['15,169', '  ']","['2,596', '  ']","['3,654', '  ']","['2,910', '  ']"
9689,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['33,986', '  ']","['29,957', '  ']","['4,029', '  ']","['7,625', '  ']","['7,033', '  ']","['592', '  ']","['26,361', '  ']","['22,924', '  ']","['3,437', '  ']","['946', '  ']","['926', '  ']","['20', '  ']","['13', '  ']","['138', '  ']","['622', '  ']","['35', '  ']","['16', '  ']","['124', '  ']"
9689,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['13,740', 'i ']","['12,281', 'i ']","['1,459', 'i ']","['5,269', 'i ']","['5,269', 'i ']","['0', '  ']","['8,472', 'i ']","['7,012', 'i ']","['1,459', 'i ']","['297', 'i ']","['296', 'i ']","['1', 'r ']","['0', '  ']","['25', 'i ']","['253', 'i ']","['1', 'r ']","['0', '  ']","['18', 'i ']"
9689,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['2,874', '  ']","['2,803', '  ']","['70', '  ']","['621', '  ']","['620', '  ']","['2', '  ']","['2,252', '  ']","['2,184', '  ']","['68', '  ']","['69', '  ']","['61', '  ']","['9', 'i ']","['*', '  ']","['11', '  ']","['32', '  ']","['22', '  ']","['3', '  ']","['*', 'i ']"
9689,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2,527', '  ']","['2,463', '  ']","['64', '  ']","['179', 'i ']","['176', 'i ']","['3', 'i ']","['2,348', '  ']","['2,288', '  ']","['61', '  ']","['15', '  ']","['15', '  ']","['*', 'i ']","['*', '  ']","['1', '  ']","['13', '  ']","['*', 'i ']","['0', '  ']","['*', '  ']"
9689,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['6,838', '  ']","['6,066', '  ']","['772', '  ']","['673', '  ']","['617', '  ']","['56', '  ']","['6,165', '  ']","['5,449', '  ']","['716', '  ']","['511', '  ']","['511', '  ']","['*', 'i ']","['0', '  ']","['2', '  ']","['509', '  ']","['*', '  ']","['0', '  ']","['*', '  ']"
9689,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['2,338', '  ']","['2,109', '  ']","['228', '  ']","['93', '  ']","['92', '  ']","['1', '  ']","['2,245', '  ']","['2,017', '  ']","['228', '  ']","['39', '  ']","['39', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['36', '  ']","['1', '  ']","['0', '  ']","['2', '  ']"
9689,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['24,164', '  ']","['23,338', '  ']","['825', '  ']","['10,755', '  ']","['10,152', '  ']","['603', '  ']","['13,409', '  ']","['13,187', '  ']","['222', '  ']","['171', 'i ']","['165', 'i ']","['6', '  ']","['*', 'i ']","['16', 'i ']","['116', 'i ']","['6', '  ']","['0', '  ']","['33', 'i ']"
9689,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['86,197', '  ']","['77,531', '  ']","['8,667', '  ']","['22,116', '  ']","['20,373', '  ']","['1,743', '  ']","['64,081', '  ']","['57,157', '  ']","['6,924', '  ']","['8,291', '  ']","['6,748', '  ']","['1,543', '  ']","['16', 'i ']","['1,968', '  ']","['3,346', '  ']","['535', '  ']","['1,190', '  ']","['1,236', '  ']"
