table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_expenditures_total,field_all_expenditures_public,field_all_expenditures_private,field_federal_total,field_federal_public,field_federal_private,field_nonfederal_total,field_nonfederal_public,field_nonfederal_private
7959,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,181023,130570,50453,127631,102322,25309,53392,28248,25144
7959,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,23314,12249,11065,13954,7400,6554,9360,4849,4511
7959,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,98623,71836,26787,64312,48100,16212,34311,23736,10575
7959,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,65891,39409,26482,46073,23432,22641,19818,15977,3841
7959,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,197853,173123,24730,43640,28242,15398,154213,144881,9332
7959,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,54777,47934,6843,7617,7221,396,47160,40713,6447
7959,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,6236,5572,664,702,694,8,5534,4878,656
7959,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,3415,2740,675,145,145,0,3270,2595,675
7959,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,5099,4320,779,918,780,138,4181,3540,641
7959,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,3092,1827,1265,157,136,21,2935,1691,1244
7959,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,215,131,84,92,33,59,123,98,25
7959,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,351,300,51,85,57,28,266,243,23
7959,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,1813,1670,143,167,156,11,1646,1514,132
7959,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,34556,31374,3182,5351,5220,131,29205,26154,3051
