table_id,row_id,rank,institution,region,number_of_papers_whole_,number_of_papers_fractional_,papers_involving_multiple_institutions_whole_,papers_involving_only_domestic_institutions_whole_,papers_involving_international_institutions_whole_
10064,r001,1,CNRS,Europe,16571,4040.8,12300,9452,7061
10064,r002,2,Chinese Academy of Sciences,Asia,14202,4754.5,12331,11410,2679
10064,r003,3,Anna U.,Asia,8480,6551.4,4852,7774,677
10064,r004,4,Tsinghua U.,Asia,7337,4808.4,5224,5487,1757
10064,r005,5,Harbin Institute of Technology,Asia,7255,5310.2,4576,5897,1311
10064,r006,6,U. Chinese Academy of Sciences,Asia,5934,1510.1,5589,4953,911
10064,r007,7,Shanghai Jiao Tong U.,Asia,5720,4075.3,3790,4433,1227
10064,r008,8,Carnegie Mellon U.,North America,5595,3686.1,3797,3793,1749
10064,r009,9,Nanyang Technological U.,Asia,5559,3458.6,4074,2416,3110
10064,r010,10,Beihang U.,Asia,5540,4105.8,3723,4446,1052
10064,r011,11,Beijing Institute of Technology,Asia,5404,3948.4,3446,4283,1091
10064,r012,12,U. Electronic Science and Technology of China,Asia,5247,3813.5,3489,3960,1264
10064,r013,13,Zhejiang U.,Asia,5209,3512.2,3817,3822,1321
10064,r014,14,"Southeast U., Nanjing",Asia,4967,3351.1,3540,3871,1073
10064,r015,15,Northeastern U. China,Asia,4960,3794.9,3334,4291,639
10064,r016,16,National U. Defense Technology,Asia,4727,3936.2,2185,4195,521
10064,r017,17,Massachusetts Institute of Technology,North America,4664,2884.7,3305,2985,1629
10064,r018,18,Huazhong U. Science and Technology,Asia,4426,3040.9,3107,3427,973
10064,r019,19,Northwestern Polytechnical U. Xi'an,Asia,4404,3341.4,2704,3541,844
10064,r020,20,"U. Tokyo, The",Asia,4243,2648.5,2913,3431,783
10064,r021,21,Xi'an Jiaotong U.,Asia,4091,2968.0,2822,3377,685
10064,r022,22,Xidian U.,Asia,4022,2894.0,2699,3157,848
10064,r023,23,Beijing U. Posts and Telecommunications,Asia,3991,3131.1,2285,3422,549
10064,r024,24,South China U. Technology,Asia,3924,2766.1,2620,3202,687
10064,r025,25,National U. Singapore,Asia,3771,2188.6,2911,1557,2196
10064,r026,26,Islamic Azad U.,Middle East,3657,2521.3,2737,2907,740
10064,r027,27,Institut national de recherche en informatique et en automatique,Europe,3612,1053.7,2785,1976,1616
10064,r028,28,Peking U.,Asia,3539,2192.9,2708,2472,994
10064,r029,29,U. Science and Technology of China,Asia,3532,2143.9,2531,2735,743
10064,r030,30,CAS - Institute of Automation,Asia,3407,1122.4,2730,2737,636
10064,r031,31,Wuhan U.,Asia,3361,2152.4,2531,2679,666
10064,r032,32,Georgia Institute of Technology,North America,3331,2227.2,2181,2415,890
10064,r033,33,Nanjing U. Science and Technology,Asia,3227,2205.1,2145,2636,568
10064,r034,34,Dalian U. Technology,Asia,3153,2266.2,2127,2509,632
10064,r035,35,Beijing Jiaotong U.,Asia,3152,2392.7,2028,2609,534
10064,r036,36,Technical U. Munich,Europe,3134,2096.5,2052,1942,1159
10064,r037,37,Nanjing U. Aeronautics and Astronautics,Asia,3077,2238.1,1912,2589,469
10064,r038,38,Sun Yat-Sen U.,Asia,3025,2004.2,2319,2376,616
10064,r039,39,Stanford U.,North America,3019,1934.7,2173,2054,930
10064,r040,40,U. Technology Sydney,Australia and Oceania,3018,1691.6,2242,1173,1837
10064,r041,41,Tianjin U.,Asia,3006,2038.1,2108,2247,742
10064,r042,42,Tongji U.,Asia,2985,2087.0,2031,2400,578
10064,r043,43,IBM,North America,2968,1668.6,2316,1807,1101
10064,r044,44,U. Southern California,North America,2959,2046.2,1942,2091,845
10064,r045,45,U. California at Berkeley,North America,2931,1760.8,2203,1924,971
10064,r046,46,Wuhan U. Technology,Asia,2894,2361.1,1555,2583,306
10064,r047,47,Shandong U.,Asia,2834,2059.9,1844,2349,472
10064,r048,48,City U. Hong Kong,Asia,2744,1424.1,2254,1936,791
10064,r049,49,Microsoft USA,North America,2734,1261.9,2468,1455,1169
10064,r050,50,Swiss Federal Institute of Technology Zurich,Europe,2703,1629.9,1946,1133,1547
10064,r051,51,Korea Advanced Institute of Science and Technology,Asia,2688,2127.5,1492,2196,481
10064,r052,52,Université Paris-Saclay,Europe,2684,648.1,2123,1549,1119
10064,r053,53,State Grid Corporation of China,Asia,2652,1928.2,2035,2566,83
