table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_sponsor,field_location,field_total_all_r_d_expenditures,field_total_basic_research,field_total_applied_research,field_total_experimental_development,field_federally_financed_all_r_d_expenditures,field_federally_financed_basic_research,field_federally_financed_applied_research,field_federally_financed_experimental_development
6878,r001,All FFRDCs,All FFRDCs,,,1,-,-,"['24,921,476', ' ']","['5,021,363', ' ']","['9,951,077', ' ']","['9,949,036', ' ']","['24,509,691', ' ']","['4,944,919', ' ']","['9,765,401', ' ']","['9,799,371', ' ']"
6878,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,-,-,"['6,850,276', ' ']","['2,427,236', ' ']","['1,865,292', ' ']","['2,557,748', ' ']","['6,700,555', ' ']","['2,366,204', ' ']","['1,813,850', ' ']","['2,520,501', ' ']"
6878,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,DOE,"Ames, IA","['34,214', '']","['17,080', '']","['16,672', '']","['462', '']","['34,016', '']","['17,080', '']","['16,641', '']","['295', '']"
6878,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,DOE,"Argonne, IL","['856,568', '']","['171,352', '']","['405,211', '']","['280,005', '']","['832,400', '']","['171,352', '']","['382,966', '']","['278,082', '']"
6878,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,DOE,"Batavia, IL","['319,051', '']","['317,533', '']","['1,518', '']","['0', '']","['317,812', '']","['316,686', '']","['1,126', '']","['0', '']"
6878,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,NSF,"Green Bank, WV","['8,629', '']","['8,629', '']","['0', '']","['0', '']","['8,629', '']","['8,629', '']","['0', '']","['0', '']"
6878,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,NASA,"Pasadena, CA","['2,388,355', '']","['238,836', '']","['238,836', '']","['1,910,683', '']","['2,388,355', '']","['238,836', '']","['238,836', '']","['1,910,683', '']"
6878,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,DOE,"Berkeley, CA","['966,972', '']","['799,146', '']","['141,453', '']","['26,373', '']","['910,428', '']","['757,636', '']","['129,078', '']","['23,714', '']"
6878,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"DOD, OSD","Lexington, MA","['1,136,133', '']","['13,469', '']","['996,957', '']","['125,707', '']","['1,110,465', '']","['13,469', '']","['996,957', '']","['100,039', '']"
6878,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,NSF,"Boulder, CO","['181,010', '']","['49,570', '']","['31,398', '']","['100,042', '']","['161,163', '']","['45,166', '']","['22,168', '']","['93,829', '']"
6878,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,NSF,"Charlottesville, VA","['94,202', '']","['82,014', '']","['574', '']","['11,614', '']","['93,313', '']","['81,940', '']","['376', '']","['10,997', '']"
6878,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,NSF,"Boulder, CO","['17,684', '']","['17,684', '']","['0', '']","['0', '']","['17,680', '']","['17,680', '']","['0', '']","['0', '']"
6878,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,NSF,"Tucson, AZ","['75,251', '']","['75,251', '']","['0', '']","['0', '']","['73,393', '']","['73,393', '']","['0', '']","['0', '']"
6878,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,DOE,"Princeton, NJ","['115,505', '']","['115,068', '']","['437', '']","['0', '']","['113,591', '']","['113,337', '']","['254', '']","['0', '']"
6878,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,DOE,"Menlo Park, CA","['396,780', '']","['374,582', '']","['22,198', '']","['0', '']","['382,252', '']","['366,842', '']","['15,410', '']","['0', '']"
6878,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"DOD, OSD","Pittsburgh, PA","['120,443', '']","['7,543', '']","['10,038', '']","['102,862', '']","['120,443', '']","['7,543', '']","['10,038', '']","['102,862', '']"
6878,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,DOE,"Newport News, VA","['139,479', '']","['139,479', '']","['0', '']","['0', '']","['136,615', '']","['136,615', '']","['0', '']","['0', '']"
6878,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,-,-,"['8,370,508', ' ']","['1,728,236', ' ']","['2,302,607', ' ']","['4,339,665', ' ']","['8,215,876', ' ']","['1,722,688', ' ']","['2,233,492', ' ']","['4,259,696', ' ']"
6878,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"DOD, Air Force","El Segundo, CA","['1,128,241', '']","['24,986', '']","['108,438', '']","['994,817', '']","['1,121,569', '']","['24,652', '']","['102,100', '']","['994,817', '']"
6878,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"DOD, Army","Santa Monica, CA","['38,304', '']","['0', '']","['38,304', '']","['0', '']","['38,304', '']","['0', '']","['38,304', '']","['0', '']"
6878,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,DOE,"Upton, NY","['637,658', '']","['476,421', '']","['91,598', '']","['69,639', '']","['620,000', '']","['475,993', '']","['88,512', '']","['55,495', '']"
6878,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"DOT, FAA","McLean, VA","['230,484', '']","['0', '']","['10,632', '']","['219,852', '']","['207,828', '']","['0', '']","['9,587', '']","['198,241', '']"
6878,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"DOD, NSA/CSS","Alexandria, VA","['65,255', '']","['16,314', '']","['32,627', '']","['16,314', '']","['65,255', '']","['16,314', '']","['32,627', '']","['16,314', '']"
6878,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"Treasury/IRS, VA, SSA","McLean, VA","['263,661', '']","['0', '']","['13,477', '']","['250,184', '']","['263,661', '']","['0', '']","['13,477', '']","['250,184', '']"
6878,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"DOD, Navy","Arlington, VA","['96,391', '']","['0', '']","['96,391', '']","['0', '']","['96,391', '']","['0', '']","['96,391', '']","['0', '']"
6878,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,NRC,"San Antonio, TX","['5,630', '']","['0', '']","['5,630', '']","['0', '']","['5,233', '']","['0', '']","['5,233', '']","['0', '']"
