table_id,row_id,sex_and_institution_full_path,sex_and_institution_level_1,sex_and_institution_level_2,sex_and_institution_level_3,sex_and_institution_level_4,sex_and_institution_hierarchy_depth,field_bachelor_s_degrees
3254,r001,Female,Female,,,,1,
3254,r002,Female -> All institutions,Female,All institutions,,,2,350674
3254,r003,Female -> All institutions -> Top 50 institutions,Female,All institutions,Top 50 institutions,,3,92450
3254,r004,Female -> All institutions -> Top 50 institutions -> U. California-Los Angeles,Female,All institutions,Top 50 institutions,U. California-Los Angeles,4,3675
3254,r005,Female -> All institutions -> Top 50 institutions -> U. California-Davis,Female,All institutions,Top 50 institutions,U. California-Davis,4,3320
3254,r006,Female -> All institutions -> Top 50 institutions -> U. California-Berkeley,Female,All institutions,Top 50 institutions,U. California-Berkeley,4,2792
3254,r007,Female -> All institutions -> Top 50 institutions -> Texas A &amp; M U.-College Station,Female,All institutions,Top 50 institutions,Texas A &amp; M U.-College Station,4,2745
3254,r008,Female -> All institutions -> Top 50 institutions -> U. California-San Diego,Female,All institutions,Top 50 institutions,U. California-San Diego,4,2621
3254,r009,Female -> All institutions -> Top 50 institutions -> U. Florida,Female,All institutions,Top 50 institutions,U. Florida,4,2504
3254,r010,Female -> All institutions -> Top 50 institutions -> U. California-Irvine,Female,All institutions,Top 50 institutions,U. California-Irvine,4,2443
3254,r011,Female -> All institutions -> Top 50 institutions -> Pennsylvania State U.-Main Campus,Female,All institutions,Top 50 institutions,Pennsylvania State U.-Main Campus,4,2382
3254,r012,Female -> All institutions -> Top 50 institutions -> U. Washington-Seattle Campus,Female,All institutions,Top 50 institutions,U. Washington-Seattle Campus,4,2379
3254,r013,Female -> All institutions -> Top 50 institutions -> U. Phoenix-Arizona,Female,All institutions,Top 50 institutions,U. Phoenix-Arizona,4,2333
3254,r014,Female -> All institutions -> Top 50 institutions -> U. California-Santa Barbara,Female,All institutions,Top 50 institutions,U. California-Santa Barbara,4,2328
3254,r015,Female -> All institutions -> Top 50 institutions -> Florida International U.,Female,All institutions,Top 50 institutions,Florida International U.,4,2290
3254,r016,Female -> All institutions -> Top 50 institutions -> Ohio State U.-Main Campus,Female,All institutions,Top 50 institutions,Ohio State U.-Main Campus,4,2275
3254,r017,Female -> All institutions -> Top 50 institutions -> U. Michigan-Ann Arbor,Female,All institutions,Top 50 institutions,U. Michigan-Ann Arbor,4,2232
3254,r018,Female -> All institutions -> Top 50 institutions -> U. Texas at Austin,Female,All institutions,Top 50 institutions,U. Texas at Austin,4,2190
3254,r019,Female -> All institutions -> Top 50 institutions -> U. Minnesota-Twin Cities,Female,All institutions,Top 50 institutions,U. Minnesota-Twin Cities,4,2180
3254,r020,Female -> All institutions -> Top 50 institutions -> Florida State U.,Female,All institutions,Top 50 institutions,Florida State U.,4,2066
3254,r021,Female -> All institutions -> Top 50 institutions -> U. Central Florida,Female,All institutions,Top 50 institutions,U. Central Florida,4,1970
3254,r022,Female -> All institutions -> Top 50 institutions -> Michigan State U.,Female,All institutions,Top 50 institutions,Michigan State U.,4,1903
3254,r023,Female -> All institutions -> Top 50 institutions -> U. Wisconsin-Madison,Female,All institutions,Top 50 institutions,U. Wisconsin-Madison,4,1895
3254,r024,Female -> All institutions -> Top 50 institutions -> U. Maryland-College Park,Female,All institutions,Top 50 institutions,U. Maryland-College Park,4,1857
3254,r025,Female -> All institutions -> Top 50 institutions -> Rutgers U.-New Brunswick,Female,All institutions,Top 50 institutions,Rutgers U.-New Brunswick,4,1832
3254,r026,Female -> All institutions -> Top 50 institutions -> U. Illinois at Urbana-Champaign,Female,All institutions,Top 50 institutions,U. Illinois at Urbana-Champaign,4,1819
3254,r027,Female -> All institutions -> Top 50 institutions -> U. South Florida-Main Campus,Female,All institutions,Top 50 institutions,U. South Florida-Main Campus,4,1783
3254,r028,Female -> All institutions -> Top 50 institutions -> Arizona State U.-Tempe,Female,All institutions,Top 50 institutions,Arizona State U.-Tempe,4,1758
3254,r029,Female -> All institutions -> Top 50 institutions -> California State U.-Northridge,Female,All institutions,Top 50 institutions,California State U.-Northridge,4,1715
3254,r030,Female -> All institutions -> Top 50 institutions -> U. California-Riverside,Female,All institutions,Top 50 institutions,U. California-Riverside,4,1692
3254,r031,Female -> All institutions -> Top 50 institutions -> North Carolina State U. Raleigh,Female,All institutions,Top 50 institutions,North Carolina State U. Raleigh,4,1609
3254,r032,Female -> All institutions -> Top 50 institutions -> U. Arizona,Female,All institutions,Top 50 institutions,U. Arizona,4,1601
3254,r033,Female -> All institutions -> Top 50 institutions -> U. California-Santa Cruz,Female,All institutions,Top 50 institutions,U. California-Santa Cruz,4,1567
3254,r034,Female -> All institutions -> Top 50 institutions -> U. Colorado Boulder,Female,All institutions,Top 50 institutions,U. Colorado Boulder,4,1530
3254,r035,Female -> All institutions -> Top 50 institutions -> California State U.-Fullerton,Female,All institutions,Top 50 institutions,California State U.-Fullerton,4,1522
3254,r036,Female -> All institutions -> Top 50 institutions -> U. Georgia,Female,All institutions,Top 50 institutions,U. Georgia,4,1513
3254,r037,Female -> All institutions -> Top 50 institutions -> San Diego State U.,Female,All institutions,Top 50 institutions,San Diego State U.,4,1471
3254,r038,Female -> All institutions -> Top 50 institutions -> U. Massachusetts-Amherst,Female,All institutions,Top 50 institutions,U. Massachusetts-Amherst,4,1461
3254,r039,Female -> All institutions -> Top 50 institutions -> U. North Carolina at Chapel Hill,Female,All institutions,Top 50 institutions,U. North Carolina at Chapel Hill,4,1421
3254,r040,Female -> All institutions -> Top 50 institutions -> Virginia Polytechnic Institute and State U.,Female,All institutions,Top 50 institutions,Virginia Polytechnic Institute and State U.,4,1391
3254,r041,Female -> All institutions -> Top 50 institutions -> California State U.-Long Beach,Female,All institutions,Top 50 institutions,California State U.-Long Beach,4,1379
3254,r042,Female -> All institutions -> Top 50 institutions -> Purdue U.-Main Campus,Female,All institutions,Top 50 institutions,Purdue U.-Main Campus,4,1344
3254,r043,Female -> All institutions -> Top 50 institutions -> U. Connecticut,Female,All institutions,Top 50 institutions,U. Connecticut,4,1335
3254,r044,Female -> All institutions -> Top 50 institutions -> New York U.,Female,All institutions,Top 50 institutions,New York U.,4,1285
3254,r045,Female -> All institutions -> Top 50 institutions -> Southern New Hampshire U.,Female,All institutions,Top 50 institutions,Southern New Hampshire U.,4,1285
3254,r046,Female -> All institutions -> Top 50 institutions -> U. Oregon,Female,All institutions,Top 50 institutions,U. Oregon,4,1277
3254,r047,Female -> All institutions -> Top 50 institutions -> Cornell U.,Female,All institutions,Top 50 institutions,Cornell U.,4,1238
3254,r048,Female -> All institutions -> Top 50 institutions -> U. Buffalo,Female,All institutions,Top 50 institutions,U. Buffalo,4,1234
3254,r049,Female -> All institutions -> Top 50 institutions -> Indiana U.-Bloomington,Female,All institutions,Top 50 institutions,Indiana U.-Bloomington,4,1215
3254,r050,Female -> All institutions -> Top 50 institutions -> Liberty U.,Female,All institutions,Top 50 institutions,Liberty U.,4,1207
3254,r051,Female -> All institutions -> Top 50 institutions -> Oregon State U.,Female,All institutions,Top 50 institutions,Oregon State U.,4,1205
3254,r052,Female -> All institutions -> Top 50 institutions -> Georgia State U.,Female,All institutions,Top 50 institutions,Georgia State U.,4,1204
3254,r053,Female -> All institutions -> Top 50 institutions -> U. Houston,Female,All institutions,Top 50 institutions,U. Houston,4,1177
3254,r054,Female -> All institutions -> Other institutions,Female,All institutions,Other institutions,,3,258224
3254,r055,Male,Male,,,,1,
3254,r056,Male -> All institutions,Male,All institutions,,,2,356484
3254,r057,Male -> All institutions -> Top 50 institutions,Male,All institutions,Top 50 institutions,,3,108289
3254,r058,Male -> All institutions -> Top 50 institutions -> Pennsylvania State U.-Main Campus,Male,All institutions,Top 50 institutions,Pennsylvania State U.-Main Campus,4,3922
3254,r059,Male -> All institutions -> Top 50 institutions -> Texas A &amp; M U.-College Station,Male,All institutions,Top 50 institutions,Texas A &amp; M U.-College Station,4,3286
3254,r060,Male -> All institutions -> Top 50 institutions -> U. Illinois at Urbana-Champaign,Male,All institutions,Top 50 institutions,U. Illinois at Urbana-Champaign,4,3207
3254,r061,Male -> All institutions -> Top 50 institutions -> Ohio State U.-Main Campus,Male,All institutions,Top 50 institutions,Ohio State U.-Main Campus,4,3081
3254,r062,Male -> All institutions -> Top 50 institutions -> U. California-San Diego,Male,All institutions,Top 50 institutions,U. California-San Diego,4,3077
3254,r063,Male -> All institutions -> Top 50 institutions -> U. Texas at Austin,Male,All institutions,Top 50 institutions,U. Texas at Austin,4,2977
3254,r064,Male -> All institutions -> Top 50 institutions -> U. California-Los Angeles,Male,All institutions,Top 50 institutions,U. California-Los Angeles,4,2952
3254,r065,Male -> All institutions -> Top 50 institutions -> U. California-Berkeley,Male,All institutions,Top 50 institutions,U. California-Berkeley,4,2812
3254,r066,Male -> All institutions -> Top 50 institutions -> Arizona State U.-Tempe,Male,All institutions,Top 50 institutions,Arizona State U.-Tempe,4,2776
3254,r067,Male -> All institutions -> Top 50 institutions -> U. Maryland-College Park,Male,All institutions,Top 50 institutions,U. Maryland-College Park,4,2769
3254,r068,Male -> All institutions -> Top 50 institutions -> U. Michigan-Ann Arbor,Male,All institutions,Top 50 institutions,U. Michigan-Ann Arbor,4,2752
3254,r069,Male -> All institutions -> Top 50 institutions -> U. California-Davis,Male,All institutions,Top 50 institutions,U. California-Davis,4,2626
3254,r070,Male -> All institutions -> Top 50 institutions -> Rutgers U.-New Brunswick,Male,All institutions,Top 50 institutions,Rutgers U.-New Brunswick,4,2542
3254,r071,Male -> All institutions -> Top 50 institutions -> Purdue U.-Main Campus,Male,All institutions,Top 50 institutions,Purdue U.-Main Campus,4,2534
3254,r072,Male -> All institutions -> Top 50 institutions -> U. Washington-Seattle Campus,Male,All institutions,Top 50 institutions,U. Washington-Seattle Campus,4,2527
3254,r073,Male -> All institutions -> Top 50 institutions -> U. Minnesota-Twin Cities,Male,All institutions,Top 50 institutions,U. Minnesota-Twin Cities,4,2461
