table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1694,r001,R&D and R&D plant,R&D and R&D plant,,,1,238,231,78,-2.9,-66.2
1694,r002,R&D and R&D plant -> Agency for International Development (151),R&D and R&D plant,Agency for International Development (151),,2,160,153,0,-4.4,-100.0
1694,r003,R&D and R&D plant -> Department of State (151),R&D and R&D plant,Department of State (151),,2,62,62,62,0.0,0.0
1694,r004,R&D and R&D plant -> International Security Assistance (152),R&D and R&D plant,International Security Assistance (152),,2,16,16,16,0.0,0.0
1694,r005,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,238,231,78,-2.9,-66.2
1694,r006,R&D and R&D plant -> R&D -> Agency for International Development (151),R&D and R&D plant,R&D,Agency for International Development (151),3,160,153,0,-4.4,-100.0
1694,r007,R&D and R&D plant -> R&D -> Department of State (151),R&D and R&D plant,R&D,Department of State (151),3,62,62,62,0.0,0.0
1694,r008,R&D and R&D plant -> R&D -> International Security Assistance (152),R&D and R&D plant,R&D,International Security Assistance (152),3,16,16,16,0.0,0.0
