table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_hierarchy_depth,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
11218,r001,All states and outlying areas,All states and outlying areas,,1,27652453,27105723,28532827,29805220,32312581,35125136,36569461,39504025,41303924
11218,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,2,342731,366300,354347,362466,442266,491035,494908,498006,551112
11218,r003,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,2,66026,68093,70453,80761,78244,103532,106888,114149,103857
11218,r004,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,2,338536,330839,341024,370208,395623,441188,450662,558327,594442
11218,r005,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,2,55414,53583,105763,66975,80354,93615,98094,131562,129614
11218,r006,All states and outlying areas -> California,All states and outlying areas,California,2,3913639,3844294,3980511,4100917,4419364,4630852,4787585,5416776,5822928
11218,r007,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,2,560698,602424,630338,648782,756505,748312,801632,888796,1137307
11218,r008,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,2,505357,480767,539370,546742,595893,661564,698793,765695,785534
11218,r009,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,2,91524,74641,101649,123061,112677,121590,123611,236411,160126
11218,r010,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,2,445538,416510,466535,410862,518704,399415,430891,394755,525083
11218,r011,All states and outlying areas -> Florida,All states and outlying areas,Florida,2,625298,714134,691838,780180,804750,934428,889274,1023546,1116811
11218,r012,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,2,760899,848903,703447,1030375,1124666,1313038,1496955,1149906,1277521
11218,r013,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,2,160303,133731,144285,133213,145466,149419,138801,171432,141677
11218,r014,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,2,34037,45479,44875,46921,53977,60219,62688,61363,59753
11218,r015,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,2,1071739,1050021,1107639,1086485,1177732,1317966,1377654,1475304,1531129
11218,r016,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,2,413505,408595,421104,450000,470535,572760,594790,652010,636450
11218,r017,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,2,259396,252865,251203,260110,273515,279598,330667,321224,417612
11218,r018,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,2,148989,157138,160001,187334,198638,233122,209123,242557,253924
11218,r019,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,2,187712,201022,201384,214257,248158,266502,291942,305124,306670
11218,r020,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,2,164842,155602,179703,179662,195156,228775,249466,264971,298713
11218,r021,All states and outlying areas -> Maine,All states and outlying areas,Maine,2,28407,29327,30223,28270,43469,58335,49771,60430,70912
11218,r022,All states and outlying areas -> Maryland,All states and outlying areas,Maryland,2,1819872,1735240,2221496,2099003,2207702,2340952,2457453,2470413,2412866
11218,r023,All states and outlying areas -> Massachusetts,All states and outlying areas,Massachusetts,2,1569070,1511296,1586864,1611440,1736283,1828292,1792756,2030684,2079365
11218,r024,All states and outlying areas -> Michigan,All states and outlying areas,Michigan,2,1126469,883575,911278,959249,1025403,1089037,1142712,1187746,1273507
11218,r025,All states and outlying areas -> Minnesota,All states and outlying areas,Minnesota,2,384110,366677,361242,362868,403328,432918,449222,481158,577122
11218,r026,All states and outlying areas -> Mississippi,All states and outlying areas,Mississippi,2,101662,117796,141269,150808,177902,203370,164564,168637,169701
11218,r027,All states and outlying areas -> Missouri,All states and outlying areas,Missouri,2,521066,533964,540566,592123,632660,707864,711624,843984,874560
11218,r028,All states and outlying areas -> Montana,All states and outlying areas,Montana,2,69579,97985,88198,82327,91331,89931,105316,158776,174384
11218,r029,All states and outlying areas -> Nebraska,All states and outlying areas,Nebraska,2,124431,130988,151284,160392,180256,190495,192030,207585,224095
11218,r030,All states and outlying areas -> Nevada,All states and outlying areas,Nevada,2,61143,56554,63157,57360,63935,81351,82258,82172,96042
11218,r031,All states and outlying areas -> New Hampshire,All states and outlying areas,New Hampshire,2,152033,137937,155530,154242,143702,161112,158397,210178,180016
11218,r032,All states and outlying areas -> New Jersey,All states and outlying areas,New Jersey,2,424049,379760,434342,397409,442326,479649,462886,535562,532366
