table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_all_companies,field_core_production,field_distribution_and_logistics,field_marketing_sales_and_after_sales_services,field_administrative_or_management_functions,field_research_and_development,field_engineering_and_other_technical_services,field_information_and_communication_technology_services,field_all_other_operating_activities
7478,r001,All companies,All companies,,,1,"['4,857,473', '&nbsp;']","['17.9', '&nbsp;']","['14.0', '&nbsp;']","['17.0', '&nbsp;']","['13.4', '&nbsp;']","['4.7', '&nbsp;']","['6.7', '&nbsp;']","['14.0', '&nbsp;']","['14.0', '&nbsp;']"
7478,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7478,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,701,088', '&nbsp;']","['16.2', '&nbsp;']","['11.7', '&nbsp;']","['14.7', '&nbsp;']","['12.9', '&nbsp;']","['4.2', '&nbsp;']","['5.5', '&nbsp;']","['10.5', '&nbsp;']","['13.0', '&nbsp;']"
7478,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['946,725', '&nbsp;']","['19.3', '&nbsp;']","['14.7', '&nbsp;']","['18.0', '&nbsp;']","['13.2', '&nbsp;']","['4.6', '&nbsp;']","['6.7', '&nbsp;']","['14.7', '&nbsp;']","['14.2', '&nbsp;']"
7478,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7478,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['590,193', '&nbsp;']","['20.1', '&nbsp;']","['16.7', '&nbsp;']","['19.9', '&nbsp;']","['14.2', '&nbsp;']","['5.3', '&nbsp;']","['8.0', '&nbsp;']","['18.1', '&nbsp;']","['15.1', '&nbsp;']"
7478,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['401,365', '&nbsp;']","['20.5', '&nbsp;']","['18.9', '&nbsp;']","['21.6', '&nbsp;']","['14.7', '&nbsp;']","['5.7', '&nbsp;']","['9.1', '&nbsp;']","['21.6', '&nbsp;']","['15.8', '&nbsp;']"
7478,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7478,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['118,677', '&nbsp;']","['21.1', '&nbsp;']","['22.0', '&nbsp;']","['24.8', '&nbsp;']","['16.1', '&nbsp;']","['7.7', '&nbsp;']","['12.3', '&nbsp;']","['26.0', '&nbsp;']","['18.3', '&nbsp;']"
7478,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,454', '&nbsp;']","['23.3', '&nbsp;']","['25.3', '&nbsp;']","['27.5', '&nbsp;']","['16.9', '&nbsp;']","['8.3', '&nbsp;']","['14.1', '&nbsp;']","['29.7', '&nbsp;']","['20.7', '&nbsp;']"
