table_id,row_id,nice_class_full_path,nice_class_level_1,nice_class_level_2,nice_class_hierarchy_depth,field_1998_uspto,field_1998_euipo,field_1999_uspto,field_1999_euipo,field_2000_uspto,field_2000_euipo,field_2001_uspto,field_2001_euipo,field_2002_uspto,field_2002_euipo,field_2003_uspto,field_2003_euipo,field_2004_uspto,field_2004_euipo,field_2005_uspto,field_2005_euipo,field_2006_uspto,field_2006_euipo,field_2007_uspto,field_2007_euipo,field_2008_uspto,field_2008_euipo,field_2009_uspto,field_2009_euipo,field_2010_uspto,field_2010_euipo,field_2011_uspto,field_2011_euipo,field_2012_uspto,field_2012_euipo,field_2013_uspto,field_2013_euipo,field_2014_uspto,field_2014_euipo,field_2015_uspto,field_2015_euipo,field_2016_uspto,field_2016_euipo,field_2017_uspto,field_2017_euipo,field_2018_uspto,field_2018_euipo
1949,r001,All classes,All classes,,1,75738,6096,75214,8013,94399,8198,91363,8585,122586,7977,105482,7270,91161,6983,98567,11249,123683,10791,137971,11639,156977,13141,142067,13378,132543,12789,145715,12232,151769,12702,156082,12846,164524,13112,168770,13552,175237,16016,181987,14851,184166,14635
1949,r002,All classes -> 1,All classes,1,2,1187,290,1142,277,1283,240,1268,254,1706,199,1533,253,1309,222,1350,381,1509,329,1617,344,1760,358,1574,394,1537,380,1737,368,1679,368,1703,357,1787,341,1907,315,1721,403,1774,361,1817,328
1949,r003,All classes -> 2,All classes,2,2,333,51,345,83,391,54,427,43,519,45,483,37,396,53,505,81,585,79,565,73,547,77,512,80,454,63,523,66,474,66,473,54,481,74,568,63,519,76,496,62,461,72
1949,r004,All classes -> 3,All classes,3,2,2143,283,2165,318,2414,323,2421,359,3059,333,2968,285,2637,327,2882,653,3924,553,4072,607,4501,737,4264,762,3653,636,4315,653,4232,604,4532,665,4752,663,5010,739,5189,844,5479,752,6166,697
1949,r005,All classes -> 4,All classes,4,2,306,61,362,52,375,48,372,39,500,34,446,36,326,32,466,56,463,39,525,56,483,73,511,81,496,56,601,74,565,73,529,92,557,70,559,73,617,92,655,74,649,72
1949,r006,All classes -> 5,All classes,5,2,2511,278,2839,428,2832,508,3121,479,3570,576,3391,539,3078,551,3130,810,3991,762,4257,841,4782,873,4225,786,4166,904,4395,747,4630,809,4585,828,4975,809,4904,889,5038,1162,5225,974,5942,1063
1949,r007,All classes -> 6,All classes,6,2,794,119,861,148,1007,131,904,98,1226,78,1037,81,960,80,922,126,1109,119,1311,127,1367,161,1158,129,1175,125,1202,127,1170,116,1080,111,1227,113,1209,121,1195,142,1245,108,1242,88
1949,r008,All classes -> 7,All classes,7,2,1401,254,1427,305,1868,247,1729,216,2229,213,1746,208,1520,181,1614,307,1820,272,2063,293,2244,336,2098,355,1753,325,1831,258,1756,321,1849,301,1910,300,1817,323,1966,336,2041,283,2017,323
1949,r009,All classes -> 8,All classes,8,2,473,48,453,61,515,53,546,66,622,53,597,39,491,40,625,77,702,64,804,90,776,75,687,72,598,77,708,65,731,77,703,93,824,82,798,96,912,137,1046,101,1098,99
1949,r010,All classes -> 9,All classes,9,2,10643,1110,10394,1577,12417,1543,11754,1728,15656,1490,13628,1363,11000,1214,11485,1811,13208,1852,13882,1959,15544,2083,13458,2063,12592,1952,13815,1859,14512,2017,14766,2063,15691,2126,15759,2098,15872,2621,15674,2410,15035,2370
1949,r011,All classes -> 10,All classes,10,2,1350,254,1270,363,1310,405,1610,379,2024,398,1882,423,1626,390,1752,672,1988,617,2154,629,2391,757,2238,759,2163,742,2335,728,2464,753,2398,673,2485,717,2424,649,2401,760,2671,794,2804,683
1949,r012,All classes -> 11,All classes,11,2,1112,134,1187,158,1494,155,1456,120,2006,112,1762,156,1506,102,1635,206,1971,175,2245,222,2361,249,2174,273,1973,244,2057,248,2155,250,2095,252,2232,253,2421,226,2532,278,2699,256,2812,253
1949,r013,All classes -> 12,All classes,12,2,921,135,1045,123,1201,120,1222,131,1532,124,1274,116,1224,112,1326,184,1635,262,1690,207,1785,186,1557,242,1423,190,1563,175,1423,252,1504,189,1589,220,1614,249,1842,217,1881,234,1948,235
