table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020,field_fy_2021,field_fy_2022
12381,r001,All states,All states,,1,"['678,869,289', '  ']","['880,925,119', '  ']","['857,790,377', '  ']"
12381,r002,All states -> Alabama,All states,Alabama,2,"['2,067,528', '  ']","['1,298,536', '  ']","['235,129', '  ']"
12381,r003,All states -> Alaska,All states,Alaska,2,"['1,364,858', '  ']","['1,419,278', '  ']","['1,661,943', '  ']"
12381,r004,All states -> Arizona,All states,Arizona,2,"['18,674,606', '  ']","['22,436,099', '  ']","['20,340,602', '  ']"
12381,r005,All states -> Arkansas,All states,Arkansas,2,"['2,509,560', '  ']","['1,485,199', 'i ']","['1,161,592', '  ']"
12381,r006,All states -> California,All states,California,2,"['144,067,062', '  ']","['159,256,912', '  ']","['170,689,045', '  ']"
12381,r007,All states -> Colorado,All states,Colorado,2,"['21,906,186', '  ']","['25,617,857', '  ']","['29,962,468', '  ']"
12381,r008,All states -> Connecticut,All states,Connecticut,2,"['717,028', '  ']","['4,650,429', '  ']","['1,951,755', '  ']"
12381,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
12381,r010,All states -> District of Columbia,All states,District of Columbia,2,"['8,167,990', '  ']","['7,125,102', '  ']","['11,397,820', '  ']"
12381,r011,All states -> Florida,All states,Florida,2,"['6,204,475', '  ']","['32,630,129', '  ']","['28,587,097', '  ']"
12381,r012,All states -> Georgia,All states,Georgia,2,"['15,512,586', '  ']","['12,405,930', '  ']","['12,563,633', '  ']"
12381,r013,All states -> Hawaii,All states,Hawaii,2,"['2,767,149', '  ']","['2,820,032', '  ']","['775,657', '  ']"
12381,r014,All states -> Idaho,All states,Idaho,2,"['4,362,298', '  ']","['4,672,017', '  ']","['5,102,116', '  ']"
12381,r015,All states -> Illinois,All states,Illinois,2,"['11,538,250', '  ']","['27,639,766', '  ']","['24,773,789', '  ']"
12381,r016,All states -> Indiana,All states,Indiana,2,"['9,196,510', '  ']","['7,709,661', '  ']","['1,385,866', '  ']"
12381,r017,All states -> Iowa,All states,Iowa,2,"['860,845', '  ']","['766,538', '  ']","['18,788', '  ']"
12381,r018,All states -> Kansas,All states,Kansas,2,"['353,551', '  ']","['509,678', '  ']","['23,819', '  ']"
12381,r019,All states -> Kentucky,All states,Kentucky,2,"['2,702,088', '  ']","['2,446,811', '  ']","['2,391,908', '  ']"
12381,r020,All states -> Louisiana,All states,Louisiana,2,"['5,604,581', '  ']","['2,216,499', '  ']","['12,045,721', '  ']"
12381,r021,All states -> Maine,All states,Maine,2,"['4,695,354', '  ']","['4,948,346', '  ']","['6,895,327', '  ']"
12381,r022,All states -> Maryland,All states,Maryland,2,"['8,995,779', '  ']","['6,890,254', '  ']","['6,464,335', '  ']"
12381,r023,All states -> Massachusetts,All states,Massachusetts,2,"['36,859,220', '  ']","['62,792,066', '  ']","['47,648,706', '  ']"
12381,r024,All states -> Michigan,All states,Michigan,2,"['16,178,356', '  ']","['37,389,260', '  ']","['43,903,026', '  ']"
12381,r025,All states -> Minnesota,All states,Minnesota,2,"['23,317,821', '  ']","['36,260,209', '  ']","['28,827,717', '  ']"
12381,r026,All states -> Mississippi,All states,Mississippi,2,"['69,617', '  ']","['49,611', '  ']","['41,926', '  ']"
