table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_not_hispanic_or_latino_asian_number,field_not_hispanic_or_latino_asian_percent,field_not_hispanic_or_latino_black_or_african_american_number,field_not_hispanic_or_latino_black_or_african_american_percent,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_not_hispanic_or_latino_white_number,field_not_hispanic_or_latino_white_percent,field_not_hispanic_or_latino_more_than_one_race_number,field_not_hispanic_or_latino_more_than_one_race_percent,field_unknown_ethnicity_and_race_number,field_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
6091,r001,All detailed fields,All detailed fields,,,,1,414478,100.0,43750,100.0,1284,100.0,35075,100.0,30842,100.0,578,100.0,175090,100.0,11069,100.0,16617,100.0,100173,100.0
6091,r002,All detailed fields -> Science,All detailed fields,Science,,,2,267904,64.6,28849,65.9,851,66.3,22270,63.5,21126,68.5,403,69.7,112534,64.3,7293,65.9,11351,68.3,63227,63.1
6091,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,6487,1.6,626,1.4,20,1.6,207,0.6,279,0.9,14,2.4,3949,2.3,153,1.4,205,1.2,1034,1.0
6091,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,5589,1.3,551,1.3,18,1.4,171,0.5,247,0.8,12,2.1,3391,1.9,138,1.2,159,1.0,902,0.9
6091,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,898,0.2,75,0.2,2,0.2,36,0.1,32,0.1,2,0.3,558,0.3,15,0.1,46,0.3,132,0.1
6091,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,39920,9.6,4464,10.2,111,8.6,4682,13.3,3834,12.4,84,14.5,19042,10.9,1308,11.8,1701,10.2,4694,4.7
6091,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,889,0.2,140,0.3,2,0.2,86,0.2,57,0.2,5,0.9,362,0.2,22,0.2,49,0.3,166,0.2
6091,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,8381,2.0,1080,2.5,33,2.6,539,1.5,675,2.2,24,4.2,4806,2.7,274,2.5,282,1.7,668,0.7
6091,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,5898,1.4,703,1.6,12,0.9,1214,3.5,1038,3.4,17,2.9,2214,1.3,193,1.7,174,1.0,333,0.3
6091,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,8,0.05,0,0.0,0,0.0,1,0.05,0,0.0,0,0.0,3,0.05,0,0.0,1,0.05,3,0.05
6091,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,3143,0.8,187,0.4,10,0.8,446,1.3,121,0.4,1,0.2,1017,0.6,76,0.7,104,0.6,1181,1.2
6091,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3143,0.8,349,0.8,8,0.6,452,1.3,343,1.1,3,0.5,1207,0.7,115,1.0,149,0.9,517,0.5
6091,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,376,0.1,38,0.1,0,0.0,13,0.05,6,0.05,3,0.5,212,0.1,22,0.2,16,0.1,66,0.1
6091,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,954,0.2,129,0.3,4,0.3,122,0.3,63,0.2,0,0.0,417,0.2,45,0.4,53,0.3,121,0.1
6091,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,1052,0.3,75,0.2,7,0.5,27,0.1,37,0.1,3,0.5,779,0.4,37,0.3,41,0.2,46,0.05
6091,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,3153,0.8,383,0.9,2,0.2,457,1.3,289,0.9,0,0.0,1277,0.7,98,0.9,122,0.7,525,0.5
