table_id,row_id,rank,region_country_or_economy,2012,2022,2022_world_total_
9059,r001,na,World,2105157,3344037,na
9059,r002,1,China,329067,898949,26.88
9059,r003,2,United States,430164,457335,13.68
9059,r004,3,India,78135,207390,6.2
9059,r005,4,Germany,105639,113976,3.41
9059,r006,5,United Kingdom,98685,105584,3.16
9059,r007,6,Japan,109040,103723,3.1
9059,r008,7,Italy,64131,90586,2.71
9059,r009,8,Russia,36532,84252,2.52
9059,r010,9,South Korea,56101,76936,2.3
9059,r011,10,Canada,59762,69052,2.06
9059,r012,11,Spain,54680,67100,2.01
9059,r013,12,Brazil,48166,67031,2.0
9059,r014,13,France,72431,65888,1.97
9059,r015,14,Australia,46728,62305,1.86
9059,r016,15,Iran,31462,60940,1.82
