table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_hhs,field_nsf,field_usda
11355,r001,All tribal colleges and universities,All tribal colleges and universities,,1,40218,543,1585,2119,21833,14138
11355,r002,All tribal colleges and universities -> Sisseton Wahpeton C.,All tribal colleges and universities,Sisseton Wahpeton C.,2,5311,0,336,0,4571,403
11355,r003,All tribal colleges and universities -> Salish Kootenai C.,All tribal colleges and universities,Salish Kootenai C.,2,4811,0,655,97,3453,605
11355,r004,All tribal colleges and universities -> Dine C.,All tribal colleges and universities,Dine C.,2,3462,0,0,1252,2200,10
11355,r005,All tribal colleges and universities -> Northwest Indian C.,All tribal colleges and universities,Northwest Indian C.,2,3345,543,0,0,2399,403
11355,r006,All tribal colleges and universities -> Navajo Technical U.,All tribal colleges and universities,Navajo Technical U.,2,2444,0,594,0,1447,403
11355,r007,All tribal colleges and universities -> Aaniiih Nakoda C.,All tribal colleges and universities,Aaniiih Nakoda C.,2,1850,0,0,0,1447,403
11355,r008,All tribal colleges and universities -> Turtle Mountain Community C.,All tribal colleges and universities,Turtle Mountain Community C.,2,1787,0,0,0,1202,585
11355,r009,All tribal colleges and universities -> Blackfeet Community C.,All tribal colleges and universities,Blackfeet Community C.,2,1523,0,0,533,587,403
11355,r010,All tribal colleges and universities -> United Tribes Technical C.,All tribal colleges and universities,United Tribes Technical C.,2,1277,0,0,0,874,403
11355,r011,All tribal colleges and universities -> C. Muscogee Nation,All tribal colleges and universities,C. Muscogee Nation,2,1153,0,0,0,0,1153
11355,r012,All tribal colleges and universities -> Nueta Hidatsa Sahnish C.,All tribal colleges and universities,Nueta Hidatsa Sahnish C.,2,1103,0,0,0,700,403
11355,r013,All tribal colleges and universities -> Chief Dull Knife C.,All tribal colleges and universities,Chief Dull Knife C.,2,1083,0,0,0,680,403
11355,r014,All tribal colleges and universities -> Tohono O'odham Community C.,All tribal colleges and universities,Tohono O'odham Community C.,2,998,0,0,0,595,403
11355,r015,All tribal colleges and universities -> Oglala Lakota C.,All tribal colleges and universities,Oglala Lakota C.,2,924,0,0,236,285,403
11355,r016,All tribal colleges and universities -> Keweenaw Bay Ojibwa Community C.,All tribal colleges and universities,Keweenaw Bay Ojibwa Community C.,2,773,0,0,0,369,403
11355,r017,All tribal colleges and universities -> Fond du Lac Tribal and Community C.,All tribal colleges and universities,Fond du Lac Tribal and Community C.,2,743,0,0,0,0,743
11355,r018,All tribal colleges and universities -> Ilisagvik C.<sup>a</sup>,All tribal colleges and universities,Ilisagvik C.<sup>a</sup>,2,743,0,0,0,200,543
11355,r019,All tribal colleges and universities -> Little Priest Tribal C.,All tribal colleges and universities,Little Priest Tribal C.,2,627,0,0,0,627,0
11355,r020,All tribal colleges and universities -> Cankdeska Cikana Community C.,All tribal colleges and universities,Cankdeska Cikana Community C.,2,607,0,0,0,0,607
11355,r021,All tribal colleges and universities -> Sitting Bull C.,All tribal colleges and universities,Sitting Bull C.,2,600,0,0,0,197,403
11355,r022,All tribal colleges and universities -> Leech Lake Tribal C.,All tribal colleges and universities,Leech Lake Tribal C.,2,506,0,0,0,0,506
11355,r023,All tribal colleges and universities -> Institute of American Indian and Alaska Native Culture and Arts Development,All tribal colleges and universities,Institute of American Indian and Alaska Native Culture and Arts Development,2,505,0,0,0,0,505
11355,r024,All tribal colleges and universities -> Nebraska Indian Community C.,All tribal colleges and universities,Nebraska Indian Community C.,2,503,0,0,0,0,503
11355,r025,All tribal colleges and universities -> Bay Mills Community C.,All tribal colleges and universities,Bay Mills Community C.,2,403,0,0,0,0,403
11355,r026,All tribal colleges and universities -> C. Menominee Nation<sup>a</sup>,All tribal colleges and universities,C. Menominee Nation<sup>a</sup>,2,403,0,0,0,0,403
11355,r027,All tribal colleges and universities -> Fort Peck Community C.,All tribal colleges and universities,Fort Peck Community C.,2,403,0,0,0,0,403
11355,r028,All tribal colleges and universities -> Lac Courte Oreilles Ojibwe C.,All tribal colleges and universities,Lac Courte Oreilles Ojibwe C.,2,403,0,0,0,0,403
11355,r029,All tribal colleges and universities -> Little Big Horn C.,All tribal colleges and universities,Little Big Horn C.,2,403,0,0,0,0,403
11355,r030,All tribal colleges and universities -> Sinte Gleska U.,All tribal colleges and universities,Sinte Gleska U.,2,403,0,0,0,0,403
11355,r031,All tribal colleges and universities -> Stone Child C.,All tribal colleges and universities,Stone Child C.,2,403,0,0,0,0,403
11355,r032,All tribal colleges and universities -> White Earth Tribal and Community C.,All tribal colleges and universities,White Earth Tribal and Community C.,2,403,0,0,0,0,403
11355,r033,All tribal colleges and universities -> Saginaw Chippewa Tribal C.,All tribal colleges and universities,Saginaw Chippewa Tribal C.,2,157,0,0,0,0,157
11355,r034,All tribal colleges and universities -> Southwestern Indian Polytechnic Institute,All tribal colleges and universities,Southwestern Indian Polytechnic Institute,2,157,0,0,0,0,157
