table_id,row_id,organization_and_program_by_fy_2021_rank_order_full_path,organization_and_program_by_fy_2021_rank_order_level_1,organization_and_program_by_fy_2021_rank_order_level_2,organization_and_program_by_fy_2021_rank_order_level_3,organization_and_program_by_fy_2021_rank_order_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8458,r001,R&D and R&D plant,R&D and R&D plant,,,1,39663,40782,48216,2.8,18.2
8458,r002,R&D and R&D plant -> National Cancer Institute,R&D and R&D plant,National Cancer Institute,,2,6416,6432,6583,0.2,2.4
8458,r003,R&D and R&D plant -> National Institute of Allergy and Infectious Diseases,R&D and R&D plant,National Institute of Allergy and Infectious Diseases,,2,5947,5963,6159,0.3,3.3
8458,r004,R&D and R&D plant -> National Institute on Aging,R&D and R&D plant,National Institute on Aging,,2,3826,3830,3942,0.1,2.9
8458,r005,"R&D and R&D plant -> National Heart, Lung, and Blood Institute",R&D and R&D plant,"National Heart, Lung, and Blood Institute",,2,3520,3523,3678,0.1,4.4
8458,r006,R&D and R&D plant -> National Institute of Neurological Disorders and Stroke,R&D and R&D plant,National Institute of Neurological Disorders and Stroke,,2,2454,2463,2242,0.4,-9.0
8458,r007,R&D and R&D plant -> National Institute of Diabetes and Digestive and Kidney Diseases,R&D and R&D plant,National Institute of Diabetes and Digestive and Kidney Diseases,,2,2054,2058,2131,0.2,3.5
8458,r008,R&D and R&D plant -> National Institute of Mental Health,R&D and R&D plant,National Institute of Mental Health,,2,2044,2039,2146,-0.2,5.3
8458,r009,R&D and R&D plant -> Office of the Director,R&D and R&D plant,Office of the Director,,2,1861,1867,2057,0.3,10.2
8458,r010,R&D and R&D plant -> National Institute of General Medical Sciences,R&D and R&D plant,National Institute of General Medical Sciences,,2,1656,1656,1737,-0.0,4.9
8458,r011,R&D and R&D plant -> National Institute of Child Health and Human Development,R&D and R&D plant,National Institute of Child Health and Human Development,,2,1541,1542,1625,0.1,5.3
8458,r012,R&D and R&D plant -> National Institute on Drug Abuse,R&D and R&D plant,National Institute on Drug Abuse,,2,1442,1444,1805,0.2,25.0
8458,r013,R&D and R&D plant -> National Center for Advancing Translational Sciences,R&D and R&D plant,National Center for Advancing Translational Sciences,,2,819,820,836,0.2,1.9
8458,r014,R&D and R&D plant -> National Eye Institute,R&D and R&D plant,National Eye Institute,,2,818,817,834,-0.1,2.1
8458,r015,R&D and R&D plant -> National Institute of Environmental Health Sciences,R&D and R&D plant,National Institute of Environmental Health Sciences,,2,786,788,904,0.2,14.8
8458,r016,R&D and R&D plant -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,R&D and R&D plant,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,2,611,611,652,0.0,6.7
8458,r017,R&D and R&D plant -> National Human Genome Research Institute,R&D and R&D plant,National Human Genome Research Institute,,2,599,600,613,0.1,2.2
8458,r018,R&D and R&D plant -> National Institute on Alcohol Abuse and Alcoholism,R&D and R&D plant,National Institute on Alcohol Abuse and Alcoholism,,2,534,535,547,0.3,2.2
8458,r019,R&D and R&D plant -> National Institute on Deafness and Other Communication Disorders,R&D and R&D plant,National Institute on Deafness and Other Communication Disorders,,2,478,478,489,0.2,2.2
8458,r020,R&D and R&D plant -> National Institute of Dental and Craniofacial Research,R&D and R&D plant,National Institute of Dental and Craniofacial Research,,2,470,471,498,0.3,5.8
8458,r021,R&D and R&D plant -> National Library of Medicine,R&D and R&D plant,National Library of Medicine,,2,458,461,469,0.6,1.8
8458,r022,R&D and R&D plant -> National Institute on Minority Health and Health Disparities,R&D and R&D plant,National Institute on Minority Health and Health Disparities,,2,387,389,654,0.3,68.4
8458,r023,R&D and R&D plant -> National Institute of Biomedical Imaging and Bioengineering,R&D and R&D plant,National Institute of Biomedical Imaging and Bioengineering,,2,373,372,378,-0.0,1.5
8458,r024,R&D and R&D plant -> Buildings and facilities,R&D and R&D plant,Buildings and facilities,,2,199,250,300,25.6,20.0
8458,r025,R&D and R&D plant -> National Institute of Nursing Research,R&D and R&D plant,National Institute of Nursing Research,,2,166,166,189,0.1,14.2
8458,r026,R&D and R&D plant -> National Center for Complementary and Integrative Health,R&D and R&D plant,National Center for Complementary and Integrative Health,,2,142,144,173,0.8,20.7
8458,r027,R&D and R&D plant -> John E. Fogarty International Center,R&D and R&D plant,John E. Fogarty International Center,,2,64,63,74,-1.2,16.4
8458,r028,R&D and R&D plant -> Advanced Research Projects Agency-Health<sup>b</sup>,R&D and R&D plant,Advanced Research Projects Agency-Health<sup>b</sup>,,2,0,1000,6500,-,550.0
8458,r029,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,39464,40532,47916,2.7,18.2
8458,r030,R&D and R&D plant -> R&D -> National Cancer Institute,R&D and R&D plant,R&D,National Cancer Institute,3,6416,6432,6583,0.2,2.4
8458,r031,R&D and R&D plant -> R&D -> National Institute of Allergy and Infectious Diseases,R&D and R&D plant,R&D,National Institute of Allergy and Infectious Diseases,3,5947,5963,6159,0.3,3.3
8458,r032,R&D and R&D plant -> R&D -> National Institute on Aging,R&D and R&D plant,R&D,National Institute on Aging,3,3826,3830,3942,0.1,2.9
8458,r033,"R&D and R&D plant -> R&D -> National Heart, Lung, and Blood Institute",R&D and R&D plant,R&D,"National Heart, Lung, and Blood Institute",3,3520,3523,3678,0.1,4.4
8458,r034,R&D and R&D plant -> R&D -> National Institute of Neurological Disorders and Stroke,R&D and R&D plant,R&D,National Institute of Neurological Disorders and Stroke,3,2454,2463,2242,0.4,-9.0
8458,r035,R&D and R&D plant -> R&D -> Office of the Director,R&D and R&D plant,R&D,Office of the Director,3,1861,1867,2057,0.3,10.2
8458,r036,R&D and R&D plant -> R&D -> National Institute of Diabetes and Digestive and Kidney Diseases,R&D and R&D plant,R&D,National Institute of Diabetes and Digestive and Kidney Diseases,3,2054,2058,2131,0.2,3.5
8458,r037,R&D and R&D plant -> R&D -> National Institute of Mental Health,R&D and R&D plant,R&D,National Institute of Mental Health,3,2044,2039,2146,-0.2,5.3
8458,r038,R&D and R&D plant -> R&D -> National Institute of General Medical Sciences,R&D and R&D plant,R&D,National Institute of General Medical Sciences,3,1656,1656,1737,-0.0,4.9
8458,r039,R&D and R&D plant -> R&D -> National Institute of Child Health and Human Development,R&D and R&D plant,R&D,National Institute of Child Health and Human Development,3,1541,1542,1625,0.1,5.3
8458,r040,R&D and R&D plant -> R&D -> National Institute on Drug Abuse,R&D and R&D plant,R&D,National Institute on Drug Abuse,3,1442,1444,1805,0.2,25.0
8458,r041,R&D and R&D plant -> R&D -> National Institute of Environmental Health Sciences,R&D and R&D plant,R&D,National Institute of Environmental Health Sciences,3,786,788,904,0.2,14.8
8458,r042,R&D and R&D plant -> R&D -> National Center for Advancing Translational Sciences,R&D and R&D plant,R&D,National Center for Advancing Translational Sciences,3,819,820,836,0.2,1.9
8458,r043,R&D and R&D plant -> R&D -> National Eye Institute,R&D and R&D plant,R&D,National Eye Institute,3,818,817,834,-0.1,2.1
8458,r044,R&D and R&D plant -> R&D -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,R&D and R&D plant,R&D,National Institute of Arthritis and Musculoskeletal and Skin Diseases,3,611,611,652,0.0,6.7
8458,r045,R&D and R&D plant -> R&D -> National Human Genome Research Institute,R&D and R&D plant,R&D,National Human Genome Research Institute,3,599,600,613,0.1,2.2
8458,r046,R&D and R&D plant -> R&D -> National Institute on Alcohol Abuse and Alcoholism,R&D and R&D plant,R&D,National Institute on Alcohol Abuse and Alcoholism,3,534,535,547,0.3,2.2
8458,r047,R&D and R&D plant -> R&D -> National Institute on Deafness and Other Communication Disorders,R&D and R&D plant,R&D,National Institute on Deafness and Other Communication Disorders,3,478,478,489,0.2,2.2
8458,r048,R&D and R&D plant -> R&D -> National Institute of Dental and Craniofacial Research,R&D and R&D plant,R&D,National Institute of Dental and Craniofacial Research,3,470,471,498,0.3,5.8
8458,r049,R&D and R&D plant -> R&D -> National Library of Medicine,R&D and R&D plant,R&D,National Library of Medicine,3,458,461,469,0.6,1.8
8458,r050,R&D and R&D plant -> R&D -> National Institute of Biomedical Imaging and Bioengineering,R&D and R&D plant,R&D,National Institute of Biomedical Imaging and Bioengineering,3,373,372,378,-0.0,1.5
8458,r051,R&D and R&D plant -> R&D -> National Institute on Minority Health and Health Disparities,R&D and R&D plant,R&D,National Institute on Minority Health and Health Disparities,3,387,389,654,0.3,68.4
8458,r052,R&D and R&D plant -> R&D -> National Institute of Nursing Research,R&D and R&D plant,R&D,National Institute of Nursing Research,3,166,166,189,0.1,14.2
8458,r053,R&D and R&D plant -> R&D -> National Center for Complementary and Integrative Health,R&D and R&D plant,R&D,National Center for Complementary and Integrative Health,3,142,144,173,0.8,20.7
8458,r054,R&D and R&D plant -> R&D -> John E. Fogarty International Center,R&D and R&D plant,R&D,John E. Fogarty International Center,3,64,63,74,-1.2,16.4
8458,r055,R&D and R&D plant -> R&D -> Advanced Research Projects Agency-Health<sup>b</sup>,R&D and R&D plant,R&D,Advanced Research Projects Agency-Health<sup>b</sup>,3,0,1000,6500,-,550.0
8458,r056,R&D and R&D plant -> R&D -> Buildings and facilities,R&D and R&D plant,R&D,Buildings and facilities,3,0,0,0,-,-
