table_id,row_id,directorate,field_of_degree,percent
12407,r001,Biological Sciences (BIO),Agricultural sciences and natural resources,12
12407,r002,,"Bioinformatics, biostatistics, and computational biology",11
12407,r003,,Biochemistry,10
12407,r004,,Neurosciences and neurobiology,10
12407,r005,,Cell molecular biology,10
12407,r006,,Microbiology,7
12407,r007,,Other biological sciences,40
12407,r008,Computer and Information Science and Engineering (CISE),Computer engineering,40
12407,r009,,Computer science,39
12407,r010,,Computer and information sciences,14
12407,r011,,Information science and systems,7
12407,r012,STEM Education (EDU),Education research,51
12407,r013,,Education administration,16
12407,r014,,Non-science and math education,14
12407,r015,,Science and math education,6
12407,r016,,Teacher education,2
12407,r017,,Other education,11
12407,r018,Engineering (ENG),Electrical engineering,25
12407,r019,,Mechanical engineering,15
12407,r020,,Bioengineering and biomedical engineering,11
12407,r021,,Civil engineering,11
12407,r022,,Materials science engineering,10
12407,r023,,Chemical engineering,10
12407,r024,,Other engineering,18
12407,r025,Geosciences (GEO),Earth sciences,54
12407,r026,,Atmospheric sciences,23
12407,r027,,Environmental science,12
12407,r028,,Ocean sciences,10
12407,r029,Mathematical and Physical Sciences (MPS),Chemistry,39
12407,r030,,Mathematics and statistics,29
12407,r031,,Physics and astronomy,24
12407,r032,,Materials sciences,7
12407,r033,"Social, Behavioral and Economic Sciences (SBE)",Psychology,42
12407,r034,,Economics,15
12407,r035,,Political science,12
12407,r036,,Sociology,6
12407,r037,,Other social sciences,24
