table_id,row_id,_b_type_of_doctoral_degree_b_full_path,_b_type_of_doctoral_degree_b_level_1,_b_type_of_doctoral_degree_b_level_2,_b_type_of_doctoral_degree_b_level_3,_b_type_of_doctoral_degree_b_hierarchy_depth,field_total,field_male,field_female
8276,r001,Imputation rate (%),Imputation rate (%),,,1,,,
8276,r002,Imputation rate (%) -> All nonfaculty researchers,Imputation rate (%),All nonfaculty researchers,,2,4.7,6.3,6.7
8276,r003,Imputation rate (%) -> All nonfaculty researchers -> Doctoral degree,Imputation rate (%),All nonfaculty researchers,Doctoral degree,3,4.3,5.7,6.1
8276,r004,Imputation rate (%) -> All nonfaculty researchers -> Professional degree,Imputation rate (%),All nonfaculty researchers,Professional degree,3,3.9,4.0,4.8
8276,r005,Imputation rate (%) -> All nonfaculty researchers -> Dual degree,Imputation rate (%),All nonfaculty researchers,Dual degree,3,2.8,3.4,2.1
8276,r006,Imputation rate (%) -> All nonfaculty researchers -> Doctoral degree type unknown,Imputation rate (%),All nonfaculty researchers,Doctoral degree type unknown,3,8.2,10.3,10.7
8276,r007,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,
8276,r008,Number imputed<sup>a</sup> -> All nonfaculty researchers,Number imputed<sup>a</sup>,All nonfaculty researchers,,2,1431,1103,860
8276,r009,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Doctoral degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Doctoral degree,3,950,758,534
8276,r010,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Professional degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Professional degree,3,71,36,44
8276,r011,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Dual degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Dual degree,3,12,8,4
8276,r012,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Doctoral degree type unknown,Number imputed<sup>a</sup>,All nonfaculty researchers,Doctoral degree type unknown,3,504,326,322
