table_id,row_id,field_of_doctorate_full_path,field_of_doctorate_level_1,field_of_doctorate_level_2,field_of_doctorate_level_3,field_of_doctorate_level_4,field_of_doctorate_level_5,field_of_doctorate_hierarchy_depth,field_field_levela,field_number,field_percent
7644,r001,All fields,All fields,,,,,1, - ,52250,100.0
7644,r002,All fields -> Science and engineering,All fields,Science and engineering,,,,2,Area,41356,79.2
7644,r003,All fields -> Science and engineering -> Agricultural sciences and natural resources ,All fields,Science and engineering,Agricultural sciences and natural resources ,,,3,Broad,1223,2.3
7644,r004,"All fields -> Science and engineering -> Agricultural sciences and natural resources  -> Agricultural, animal, plant, and veterinary sciences",All fields,Science and engineering,Agricultural sciences and natural resources ,"Agricultural, animal, plant, and veterinary sciences",,4,Major,807,1.5
7644,r005,"All fields -> Science and engineering -> Agricultural sciences and natural resources  -> Agricultural, animal, plant, and veterinary sciences -> Agronomy and crop science",All fields,Science and engineering,Agricultural sciences and natural resources ,"Agricultural, animal, plant, and veterinary sciences",Agronomy and crop science,5,Detailed,69,0.1
7644,r006,"All fields -> Science and engineering -> Agricultural sciences and natural resources  -> Agricultural, animal, plant, and veterinary sciences -> Animal sciences",All fields,Science and engineering,Agricultural sciences and natural resources ,"Agricultural, animal, plant, and veterinary sciences",Animal sciences,5,Detailed,160,0.3
7644,r007,"All fields -> Science and engineering -> Agricultural sciences and natural resources  -> Agricultural, animal, plant, and veterinary sciences -> Food science and technology",All fields,Science and engineering,Agricultural sciences and natural resources ,"Agricultural, animal, plant, and veterinary sciences",Food science and technology,5,Detailed,175,0.3
7644,r008,"All fields -> Science and engineering -> Agricultural sciences and natural resources  -> Agricultural, animal, plant, and veterinary sciences -> Plant sciences",All fields,Science and engineering,Agricultural sciences and natural resources ,"Agricultural, animal, plant, and veterinary sciences",Plant sciences,5,Detailed,152,0.3
7644,r009,"All fields -> Science and engineering -> Agricultural sciences and natural resources  -> Agricultural, animal, plant, and veterinary sciences -> Soil sciences",All fields,Science and engineering,Agricultural sciences and natural resources ,"Agricultural, animal, plant, and veterinary sciences",Soil sciences,5,Detailed,79,0.2
7644,r010,"All fields -> Science and engineering -> Agricultural sciences and natural resources  -> Agricultural, animal, plant, and veterinary sciences -> Veterinary biomedical and clinical sciences",All fields,Science and engineering,Agricultural sciences and natural resources ,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences,5,Detailed,78,0.1
