table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees
9870,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['62,088', '&nbsp;']","['22,665', '&nbsp;']","['39,423', '&nbsp;']"
9870,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['9,885', '&nbsp;']","['2,375', '&nbsp;']","['7,510', '&nbsp;']"
9870,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['476', 'r']","['34', '&nbsp;']","['442', 'r']"
9870,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['39', '&nbsp;']","['39', '&nbsp;']","['0', '&nbsp;']"
9870,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['6', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']"
9870,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9870,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9870,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['9', '&nbsp;']","['0', '&nbsp;']","['9', '&nbsp;']"
9870,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['1,594', '&nbsp;']","['429', '&nbsp;']","['1,165', '&nbsp;']"
9870,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['560', '&nbsp;']","['267', '&nbsp;']","['293', '&nbsp;']"
9870,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['1,034', '&nbsp;']","['162', '&nbsp;']","['872', '&nbsp;']"
9870,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['113', '&nbsp;']","['23', 'r']","['90', '&nbsp;']"
9870,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['30', '&nbsp;']","['21', 'r']","['9', '&nbsp;']"
9870,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['102', 'r']","['4', '&nbsp;']","['97', 'r']"
9870,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['320', 'r']","['50', '&nbsp;']","['269', 'r']"
9870,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['921', '&nbsp;']","['277', '&nbsp;']","['644', '&nbsp;']"
9870,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['3,763', '&nbsp;']","['948', '&nbsp;']","['2,815', '&nbsp;']"
9870,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['874', '&nbsp;']","['259', '&nbsp;']","['615', '&nbsp;']"
9870,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['2,248', '&nbsp;']","['489', '&nbsp;']","['1,759', '&nbsp;']"
9870,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['642', '&nbsp;']","['200', '&nbsp;']","['442', '&nbsp;']"
9870,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['754', '&nbsp;']","['132', 'r']","['623', '&nbsp;']"
9870,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['358', '&nbsp;']","['122', '&nbsp;']","['236', '&nbsp;']"
9870,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['145', '&nbsp;']","['40', '&nbsp;']","['105', '&nbsp;']"
9870,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['213', '&nbsp;']","['82', 'r']","['131', '&nbsp;']"
9870,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['16', '&nbsp;']","['5', 'r']","['11', '&nbsp;']"
9870,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['1,384', '&nbsp;']","['283', '&nbsp;']","['1,101', '&nbsp;']"
9870,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['52,204', '&nbsp;']","['20,290', '&nbsp;']","['31,913', '&nbsp;']"
9870,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['2,730', '&nbsp;']","['480', '&nbsp;']","['2,250', '&nbsp;']"
9870,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['9,963', '&nbsp;']","['2,638', '&nbsp;']","['7,325', '&nbsp;']"
9870,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['7,228', '&nbsp;']","['1,944', '&nbsp;']","['5,284', '&nbsp;']"
9870,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['2,735', '&nbsp;']","['694', '&nbsp;']","['2,041', '&nbsp;']"
9870,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['7,531', '&nbsp;']","['2,789', '&nbsp;']","['4,742', '&nbsp;']"
9870,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['18,485', '&nbsp;']","['9,018', '&nbsp;']","['9,468', '&nbsp;']"
9870,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['13,495', '&nbsp;']","['5,367', '&nbsp;']","['8,128', '&nbsp;']"
9870,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['1,413', '&nbsp;']","['466', '&nbsp;']","['947', '&nbsp;']"
9870,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['4,237', '&nbsp;']","['1,735', '&nbsp;']","['2,503', '&nbsp;']"
9870,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['7,668', '&nbsp;']","['3,089', '&nbsp;']","['4,578', '&nbsp;']"
9870,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['168', '&nbsp;']","['69', '&nbsp;']","['100', '&nbsp;']"
