table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
2562,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    6,655,717 ', '&nbsp;']","['    5,345,991 ', '&nbsp;']","['    195,846 ', '&nbsp;']","['    235,492 ', '&nbsp;']","['    73,188 ', '&nbsp;']","['    17,742 ', '&nbsp;']","['    15,548 ', '&nbsp;']","['    697,014 ', '&nbsp;']","['    21,483 ', '&nbsp;']","['    53,412 ', '&nbsp;']"
2562,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    751,892 ', '&nbsp;']","['    649,155 ', '&nbsp;']","['    8,233 ', 'r']","['    17,765 ', '&nbsp;']","['    2,940 ', '&nbsp;']","['    722 ', '&nbsp;']","['    2,556 ', 'r']","['    63,218 ', '&nbsp;']","['    1,664 ', '&nbsp;']","['    5,639 ', 'r']"
2562,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    10,136 ', '&nbsp;']","['    10,136 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    2,225 ', 'r']","['    2,225 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r006,All selected industries -> Manufacturing industries -> Paper ,All selected industries,Manufacturing industries,Paper ,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['S', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r009,All selected industries -> Manufacturing industries -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Pharmaceuticals and medicines,,3,3254,"['    103,345 ', '&nbsp;']","['    90,699 ', '&nbsp;']","['    1,793 ', 'r']","['    5,598 ', 'r']","['S', '&nbsp;']","['S', '&nbsp;']","['    2,556 ', 'r']","['    1,466 ', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
2562,r010,"All selected industries -> Manufacturing industries -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,"Chemicals, excluding pharmaceuticals",,3,325 (excluding 3254),"['    89,130 ', '&nbsp;']","['    86,141 ', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['    40 ', '&nbsp;']","['    0 ', '&nbsp;']","['    2,643 ', '&nbsp;']","['    129 ', 'r']","['    0 ', '&nbsp;']"
2562,r011,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    9,654 ', 'r']","['    9,654 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r012,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    1,836 ', 'r']","['    1,340 ', 'r']","['    0 ', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r013,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    1,080 ', 'r']","['    1,080 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r014,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    4,414 ', '&nbsp;']","['    4,414 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r015,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    49,607 ', '&nbsp;']","['    42,781 ', '&nbsp;']","['    0 ', '&nbsp;']","['    2,305 ', 'r']","['    184 ', 'r']","['    343 ', 'r']","['    0 ', '&nbsp;']","['    3,236 ', 'r']","['    758 ', 'r']","['    0 ', '&nbsp;']"
2562,r016,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    344,800 ', '&nbsp;']","['    283,410 ', '&nbsp;']","['    5,074 ', 'r']","['    6,813 ', '&nbsp;']","['    1,985 ', 'r']","['    263 ', 'r']","['    0 ', '&nbsp;']","['    41,571 ', '&nbsp;']","['    408 ', 'r']","['    5,276 ', 'r']"
2562,r017,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    40,142 ', '&nbsp;']","['    30,839 ', '&nbsp;']","['    1,366 ', 'r']","['    1,234 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    6,702 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r018,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    14,281 ', '&nbsp;']","['    11,966 ', '&nbsp;']","['    0 ', '&nbsp;']","['    1,693 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['S', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r019,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r020,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    80,481 ', '&nbsp;']","['    74,467 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    5,735 ', 'r']","['S', '&nbsp;']","['    249 ', 'r']"
2562,r021,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    5,903,825 ', '&nbsp;']","['    4,696,836 ', '&nbsp;']","['    187,613 ', '&nbsp;']","['    217,727 ', '&nbsp;']","['    70,248 ', '&nbsp;']","['    17,020 ', '&nbsp;']","['    12,992 ', '&nbsp;']","['    633,796 ', '&nbsp;']","['    19,819 ', '&nbsp;']","['    47,773 ', '&nbsp;']"
2562,r022,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    115,357 ', '&nbsp;']","['    102,099 ', '&nbsp;']","['    6,929 ', 'r']","['S', '&nbsp;']","['    4,437 ', 'r']","['    552 ', 'r']","['    0 ', '&nbsp;']","['    947 ', 'r']","['    305 ', 'r']","['    0 ', '&nbsp;']"
2562,r023,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    738,905 ', '&nbsp;']","['    693,570 ', '&nbsp;']","['    17,980 ', '&nbsp;']","['    2,530 ', 'r']","['    4,945 ', '&nbsp;']","['    85 ', 'r']","['    0 ', '&nbsp;']","['    18,970 ', 'r']","['    242 ', 'r']","['    584 ', 'r']"
2562,r024,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    461,838 ', '&nbsp;']","['    438,435 ', '&nbsp;']","['    7,860 ', 'r']","['    1,624 ', 'r']","['    4,031 ', 'r']","['    85 ', 'r']","['    0 ', '&nbsp;']","['    8,977 ', 'r']","['    242 ', 'r']","['    584 ', 'r']"
2562,r025,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 (excluding 5112),"['    277,067 ', '&nbsp;']","['    255,135 ', '&nbsp;']","['    10,119 ', 'r']","['    906 ', 'r']","['    914 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    9,993 ', 'r']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2562,r026,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    461,192 ', '&nbsp;']","['    279,823 ', '&nbsp;']","['    15,939 ', '&nbsp;']","['    27,604 ', '&nbsp;']","['    8,426 ', 'r']","['    3,406 ', 'r']","['    0 ', '&nbsp;']","['    106,732 ', '&nbsp;']","['    5,901 ', '&nbsp;']","['    13,361 ', 'r']"
2562,r027,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    2,240,695 ', '&nbsp;']","['    2,015,120 ', '&nbsp;']","['    13,750 ', '&nbsp;']","['    95,499 ', '&nbsp;']","['    27,349 ', '&nbsp;']","['    1,973 ', 'r']","['    4,746 ', '&nbsp;']","['    57,481 ', '&nbsp;']","['    2,252 ', 'r']","['    22,527 ', '&nbsp;']"
2562,r028,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    2,347,675 ', '&nbsp;']","['    1,606,224 ', '&nbsp;']","['    133,015 ', '&nbsp;']","['    92,006 ', '&nbsp;']","['    25,093 ', '&nbsp;']","['    11,005 ', '&nbsp;']","['    8,246 ', '&nbsp;']","['    449,666 ', '&nbsp;']","['    11,120 ', '&nbsp;']","['    11,302 ', '&nbsp;']"
