table_id,row_id,_b_occupation_category_b_full_path,_b_occupation_category_b_level_1,_b_occupation_category_b_level_2,_b_occupation_category_b_hierarchy_depth,field_type_of_nonprofit_organizationa_fy_2020_all_organizations_,field_type_of_nonprofit_organizationa_fy_2020_healthcare,field_type_of_nonprofit_organizationa_fy_2020_science_and_technology,field_type_of_nonprofit_organizationa_fy_2020_other_nonprofit_organizations_,field_type_of_nonprofit_organizationa_fy_2021_all_organizations_,field_type_of_nonprofit_organizationa_fy_2021_healthcare,field_type_of_nonprofit_organizationa_fy_2021_science_and_technology,field_type_of_nonprofit_organizationa_fy_2021_other_nonprofit_organizations_
9807,r001,All full-time equivalent R&D employees ,All full-time equivalent R&D employees ,,1,"['151,701', '  ']","['81,993', '  ']","['57,800', '  ']","['11,907', '  ']","['147,578', '  ']","['80,211', '  ']","['55,527', '  ']","['11,839', '  ']"
9807,r002,All full-time equivalent R&D employees  -> Researchers,All full-time equivalent R&D employees ,Researchers,2,"['57,594', '  ']","['29,753', '  ']","['21,427', '  ']","['6,414', '  ']","['57,434', '  ']","['28,946', '  ']","['22,364', '  ']","['6,124', '  ']"
9807,r003,All full-time equivalent R&D employees  -> Technicians,All full-time equivalent R&D employees ,Technicians,2,"['57,613', '  ']","['28,857', '  ']","['25,705', '  ']","['3,052', '  ']","['57,427', '  ']","['31,552', '  ']","['23,136', '  ']","['2,739', '  ']"
9807,r004,All full-time equivalent R&D employees  -> Other support personnel,All full-time equivalent R&D employees ,Other support personnel,2,"['36,494', '  ']","['23,383', '  ']","['10,669', '  ']","['2,441', '  ']","['32,716', '  ']","['19,713', '  ']","['10,027', '  ']","['2,977', '  ']"
