table_id,row_id,_b_industry_and_company_size_b_full_path,_b_industry_and_company_size_b_level_1,_b_industry_and_company_size_b_level_2,_b_industry_and_company_size_b_level_3,_b_industry_and_company_size_b_level_4,_b_industry_and_company_size_b_level_5,_b_industry_and_company_size_b_hierarchy_depth,field_naics_code,field_2015_17_yes,field_2015_17_no,field_2016_18_yes,field_2016_18_no,field_2017_19_yes,field_2017_19_no
8026,r001,Industry,Industry,,,,,1,,"['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']"
8026,r002,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['43.2', '&#160;']","['56.8', '&#160;']","['29.7', '&#160;']","['70.3', '&#160;']","['25.3', '&#160;']","['74.7', '&#160;']"
8026,r003,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['57.9', '&#160;']","['42.1', '&#160;']","['35.5', '&#160;']","['64.5', '&#160;']","['34.0', '&#160;']","['66.0', '&#160;']"
8026,r004,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['60.5', '&#160;']","['39.5', '&#160;']","['40.0', '&#160;']","['60.0', '&#160;']","['34.3', '&#160;']","['65.7', '&#160;']"
8026,r005,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['74.5', '&#160;']","['25.5', '&#160;']","['45.9', '&#160;']","['54.1', '&#160;']","['42.3', '&#160;']","['57.7', '&#160;']"
8026,r006,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['52.7', '&#160;']","['47.3', '&#160;']","['33.1', '&#160;']","['66.9', '&#160;']","['33.2', '&#160;']","['66.8', '&#160;']"
8026,r007,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['49.4', '&#160;']","['50.6', '&#160;']","['25.4', '&#160;']","['74.6', '&#160;']","['25.4', '&#160;']","['74.6', '&#160;']"
8026,r008,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['61.9', '&#160;']","['38.1', '&#160;']","['37.5', '&#160;']","['62.5', '&#160;']","['32.1', '&#160;']","['67.9', '&#160;']"
8026,r009,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['53.0', '&#160;']","['47.0', '&#160;']","['32.4', '&#160;']","['67.6', '&#160;']","['31.3', '&#160;']","['68.7', '&#160;']"
8026,r010,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['57.6', '&#160;']","['42.4', '&#160;']","['30.4', '&#160;']","['69.6', '&#160;']","['8.9', '&#160;']","['91.1', '&#160;']"
8026,r011,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['67.4', '&#160;']","['32.6', '&#160;']","['41.0', '&#160;']","['59.0', '&#160;']","['41.2', '&#160;']","['58.8', '&#160;']"
8026,r012,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['62.4', '&#160;']","['37.6', '&#160;']","['39.3', '&#160;']","['60.7', '&#160;']","['35.7', '&#160;']","['64.3', '&#160;']"
