table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_1993_extremely_or_very_dangerous,field_1993_somewhat_dangerous,field_1993_not_very_or_not_dangerous,field_1993_don_t_know,field_1994_extremely_or_very_dangerous,field_1994_somewhat_dangerous,field_1994_not_very_or_not_dangerous,field_1994_don_t_know,field_2000_extremely_or_very_dangerous,field_2000_somewhat_dangerous,field_2000_not_very_or_not_dangerous,field_2000_don_t_know,field_2010_extremely_or_very_dangerous,field_2010_somewhat_dangerous,field_2010_not_very_or_not_dangerous,field_2010_don_t_know,field_2016_extremely_or_very_dangerous,field_2016_somewhat_dangerous,field_2016_not_very_or_not_dangerous,field_2016_don_t_know,field_2018_extremely_or_very_dangerous,field_2018_somewhat_dangerous,field_2018_not_very_or_not_dangerous,field_2018_don_t_know
2272,r001,"All adults (<i>n</i> = 1,557; 1,386; 1,276; 1,430; 911; 785)","All adults (<i>n</i> = 1,557; 1,386; 1,276; 1,430; 911; 785)",,1,66,27,4,3,61,29,5,5,66,23,5,7,69,24,4,2,79,17,3,1,77,19,3,1
2272,r002,Sex,Sex,,1,,,,,,,,,,,,,,,,,,,,,,,,
2272,r003,Sex -> Male (<i>n</i> = 663; 617; 560; 607; 399; 340),Sex,Male (<i>n</i> = 663; 617; 560; 607; 399; 340),2,64,28,5,3,58,31,6,4,67,22,5,6,68,25,5,1,78,18,3,1,72,23,4,1
2272,r004,Sex -> Female (<i>n</i> = 894; 769; 716; 823; 512; 445),Sex,Female (<i>n</i> = 894; 769; 716; 823; 512; 445),2,68,25,3,4,63,27,4,6,65,24,4,7,70,23,4,3,79,16,3,2,81,15,3,2
2272,r005,Formal education<sup>a</sup>,Formal education<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2272,r006,Formal education<sup>a</sup> -> Less than high school diploma (<i>n</i> = 283; 225; 216; 220; 112; 86),Formal education<sup>a</sup>,Less than high school diploma (<i>n</i> = 283; 225; 216; 220; 112; 86),2,57,29,5,9,50,30,9,10,61,21,7,11,62,24,9,5,65,25,7,3,57,32,6,5
2272,r007,Formal education<sup>a</sup> -> High school diploma (<i>n</i> = 496; 466; 397; 412; 260; 253),Formal education<sup>a</sup>,High school diploma (<i>n</i> = 496; 466; 397; 412; 260; 253),2,65,30,3,2,58,31,6,5,67,22,3,7,71,22,6,2,79,17,2,2,78,16,4,1
2272,r008,Formal education<sup>a</sup> -> Some college (<i>n</i> = 410; 346; 354; 390; 258; 211),Formal education<sup>a</sup>,Some college (<i>n</i> = 410; 346; 354; 390; 258; 211),2,70,22,5,2,66,28,3,4,65,23,5,7,70,25,3,3,81,16,3,0.05,82,16,2,0
2272,r009,Formal education<sup>a</sup> -> Bachelor's degree (<i>n</i> = 249; 242; 213; 266; 175; 157),Formal education<sup>a</sup>,Bachelor's degree (<i>n</i> = 249; 242; 213; 266; 175; 157),2,69,25,3,3,63,30,3,4,70,27,2,2,70,26,3,1,79,17,2,1,76,18,4,2
2272,r010,Formal education<sup>a</sup> -> Graduate or professional degree (<i>n</i> = 114; 102; 89; 139; 104; 78),Formal education<sup>a</sup>,Graduate or professional degree (<i>n</i> = 114; 102; 89; 139; 104; 78),2,66,30,2,2,73,20,4,3,66,26,6,1,69,27,3,1,85,11,3,1,83,17,0,1
2272,r011,"Science and mathematics education<sup>a,b</sup>","Science and mathematics education<sup>a,b</sup>",,1,,,,,,,,,,,,,,,,,,,,,,,,
2272,r012,"Science and mathematics education<sup>a,b</sup> -> Low (<i>n</i> = na; na; na; 116; 500; 408)","Science and mathematics education<sup>a,b</sup>",Low (<i>n</i> = na; na; na; 116; 500; 408),2,na,na,na,na,na,na,na,na,na,na,na,na,67,24,8,1,77,18,3,2,75,19,5,1
2272,r013,"Science and mathematics education<sup>a,b</sup> -> Middle (<i>n</i> = na; na; na; 52; 180; 154)","Science and mathematics education<sup>a,b</sup>",Middle (<i>n</i> = na; na; na; 52; 180; 154),2,na,na,na,na,na,na,na,na,na,na,na,na,65,29,2,5,84,14,2,1,78,19,1,2
2272,r014,"Science and mathematics education<sup>a,b</sup> -> High (<i>n</i> = na; na; na; 54; 179; 159)","Science and mathematics education<sup>a,b</sup>",High (<i>n</i> = na; na; na; 54; 179; 159),2,na,na,na,na,na,na,na,na,na,na,na,na,67,28,5,0,82,14,4,0,79,18,3,0.05
2272,r015,Family income (quartile)<sup>a</sup>,Family income (quartile)<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2272,r016,Family income (quartile)<sup>a</sup> -> Bottom (<i>n</i> = na; na; na; na; 211; 184),Family income (quartile)<sup>a</sup>,Bottom (<i>n</i> = na; na; na; na; 211; 184),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,73,21,5,2,70,24,5,1
2272,r017,Family income (quartile)<sup>a</sup> -> Third (<i>n</i> = na; na; na; na; 184; 147),Family income (quartile)<sup>a</sup>,Third (<i>n</i> = na; na; na; na; 184; 147),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,79,18,2,1,77,21,3,0
2272,r018,Family income (quartile)<sup>a</sup> -> Second (<i>n</i> = na; na; na; na; 223; 190),Family income (quartile)<sup>a</sup>,Second (<i>n</i> = na; na; na; na; 223; 190),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,84,14,2,1,80,16,3,0.05
2272,r019,Family income (quartile)<sup>a</sup> -> Top (<i>n</i> = na; na; na; na; 211; 201),Family income (quartile)<sup>a</sup>,Top (<i>n</i> = na; na; na; na; 211; 201),2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,80,16,4,0.05,78,19,3,1
2272,r020,Age (years)<sup>a</sup>,Age (years)<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2272,r021,Age (years)<sup>a</sup> -> 18&#8211;24 (<i>n</i> = 132; 97; 113; 137; 59; 57),Age (years)<sup>a</sup>,18&#8211;24 (<i>n</i> = 132; 97; 113; 137; 59; 57),2,78,17,4,2,67,25,5,3,66,25,4,5,70,20,7,3,83,15,1,1,73,22,5,0
2272,r022,Age (years)<sup>a</sup> -> 25&#8211;34 (<i>n</i> = 325; 330; 256; 246; 160; 148),Age (years)<sup>a</sup>,25&#8211;34 (<i>n</i> = 325; 330; 256; 246; 160; 148),2,71,25,3,1,70,23,3,4,67,22,6,5,69,24,4,3,86,11,2,2,77,20,3,0.05
2272,r023,Age (years)<sup>a</sup> -> 35&#8211;44 (<i>n</i> = 383; 305; 297; 263; 135; 139),Age (years)<sup>a</sup>,35&#8211;44 (<i>n</i> = 383; 305; 297; 263; 135; 139),2,67,28,2,3,63,27,4,5,66,24,4,6,70,24,3,2,80,16,4,0,78,19,2,1
2272,r024,Age (years)<sup>a</sup> -> 45&#8211;54 (<i>n</i> = 251; 261; 245; 260; 158; 130),Age (years)<sup>a</sup>,45&#8211;54 (<i>n</i> = 251; 261; 245; 260; 158; 130),2,65,27,4,4,56,33,5,5,66,22,6,6,69,28,2,1,73,21,4,2,78,19,2,1
2272,r025,Age (years)<sup>a</sup> -> 55&#8211;64 (<i>n</i> = 171; 158; 144; 234; 168; 114),Age (years)<sup>a</sup>,55&#8211;64 (<i>n</i> = 171; 158; 144; 234; 168; 114),2,64,27,6,3,51,38,6,5,67,24,3,6,70,26,3,1,80,17,2,2,78,14,8,0
2272,r026,Age (years)<sup>a</sup> -> 65 or older (<i>n</i> = 291; 233; 220; 287; 228; 195),Age (years)<sup>a</sup>,65 or older (<i>n</i> = 291; 233; 220; 287; 228; 195),2,53,33,6,8,51,34,8,7,60,24,3,13,65,23,8,4,75,20,4,2,75,17,3,5
2272,r027,Correct answers to questions about basic scientific facts<sup>c</sup>,Correct answers to questions about basic scientific facts<sup>c</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2272,r028,Correct answers to questions about basic scientific facts<sup>c</sup> -> Low (<i>n</i> = na; na; na; 60; 168; 150),Correct answers to questions about basic scientific facts<sup>c</sup>,Low (<i>n</i> = na; na; na; 60; 168; 150),2,na,na,na,na,na,na,na,na,na,na,na,na,61,23,8,7,84,14,2,0,61,27,5,7
2272,r029,Correct answers to questions about basic scientific facts<sup>c</sup> -> Middle (<i>n</i> = na; na; na; 134; 397; 345),Correct answers to questions about basic scientific facts<sup>c</sup>,Middle (<i>n</i> = na; na; na; 134; 397; 345),2,na,na,na,na,na,na,na,na,na,na,na,na,71,22,7,1,79,18,3,1,78,18,3,0.05
2272,r030,Correct answers to questions about basic scientific facts<sup>c</sup> -> High (<i>n</i> = na; na; na; 133; 346; 290),Correct answers to questions about basic scientific facts<sup>c</sup>,High (<i>n</i> = na; na; na; 133; 346; 290),2,na,na,na,na,na,na,na,na,na,na,na,na,67,27,4,2,67,22,5,6,82,15,3,0.05
