table_id,row_id,time_period,value
5854,r001,World,na
5854,r002,World,17034
5854,r003,World,18560
5854,r004,World,14975
5854,r005,World,14572
5854,r006,World,14701
5854,r007,World,16222
5854,r008,World,17032
5854,r009,World,17558
5854,r010,World,20653
5854,r011,World,21873
5854,r012,World,19194
5854,r013,World,19200
5854,r014,World,22311
5854,r015,World,24919
5854,r016,World,27401
5854,r017,World,27742
5854,r018,World,28875
5854,r019,World,32518
5854,r020,World,37747
5854,r021,World,38898
5854,r022,World,38150
5854,r023,World,37461
5854,r024,World,41322
5854,r025,World -> North America,na
5854,r026,World -> North America,2507
5854,r027,World -> North America,2568
5854,r028,World -> North America,2591
5854,r029,World -> North America,2590
5854,r030,World -> North America,2467
5854,r031,World -> North America,2379
5854,r032,World -> North America,2263
5854,r033,World -> North America,1935
5854,r034,World -> North America,2019
5854,r035,World -> North America,1699
5854,r036,World -> North America,1653
5854,r037,World -> North America,1860
5854,r038,World -> North America,2529
5854,r039,World -> North America,2254
5854,r040,World -> North America,2493
5854,r041,World -> North America,2816
5854,r042,World -> North America,3062
5854,r043,World -> North America,3277
5854,r044,World -> North America,3428
5854,r045,World -> North America,3482
5854,r046,World -> North America,3424
5854,r047,World -> North America,3793
5854,r048,World -> North America,3539
5854,r049,World -> North America -> Canada,High
5854,r050,World -> North America -> Canada,231
5854,r051,World -> North America -> Canada,250
5854,r052,World -> North America -> Canada,256
5854,r053,World -> North America -> Canada,296
5854,r054,World -> North America -> Canada,238
5854,r055,World -> North America -> Canada,228
5854,r056,World -> North America -> Canada,227
5854,r057,World -> North America -> Canada,224
5854,r058,World -> North America -> Canada,223
5854,r059,World -> North America -> Canada,185
5854,r060,World -> North America -> Canada,196
5854,r061,World -> North America -> Canada,213
5854,r062,World -> North America -> Canada,267
5854,r063,World -> North America -> Canada,279
5854,r064,World -> North America -> Canada,279
5854,r065,World -> North America -> Canada,292
5854,r066,World -> North America -> Canada,334
5854,r067,World -> North America -> Canada,316
5854,r068,World -> North America -> Canada,369
5854,r069,World -> North America -> Canada,377
5854,r070,World -> North America -> Canada,370
5854,r071,World -> North America -> Canada,427
5854,r072,World -> North America -> Canada,384
5854,r073,World -> North America -> Mexico,Upper middle
5854,r074,World -> North America -> Mexico,4
5854,r075,World -> North America -> Mexico,3
5854,r076,World -> North America -> Mexico,1
5854,r077,World -> North America -> Mexico,2
5854,r078,World -> North America -> Mexico,4
5854,r079,World -> North America -> Mexico,2
5854,r080,World -> North America -> Mexico,2
5854,r081,World -> North America -> Mexico,1
5854,r082,World -> North America -> Mexico,3
5854,r083,World -> North America -> Mexico,2
5854,r084,World -> North America -> Mexico,2
5854,r085,World -> North America -> Mexico,4
5854,r086,World -> North America -> Mexico,5
5854,r087,World -> North America -> Mexico,5
5854,r088,World -> North America -> Mexico,5
5854,r089,World -> North America -> Mexico,8
5854,r090,World -> North America -> Mexico,8
5854,r091,World -> North America -> Mexico,13
5854,r092,World -> North America -> Mexico,33
5854,r093,World -> North America -> Mexico,35
5854,r094,World -> North America -> Mexico,37
5854,r095,World -> North America -> Mexico,41
5854,r096,World -> North America -> Mexico,16
