table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_level_6,sex_and_field_level_7,sex_and_field_level_8,sex_and_field_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1565,r001,Both sexes,Both sexes,,,,,,,,1,,,,,,,,,,,,,,,,,,
1565,r002,Both sexes -> All fields,Both sexes,All fields,,,,,,,2,573496,585610,600294,637953,670335,701734,718182,733151,755598,793279,856381,949963,1026536,1015211,1012523,1024187,1017860,1014574
1565,r003,Both sexes -> All fields -> S&E,Both sexes,All fields,S&E,,,,,,3,38434,45226,51194,62805,60246,54750,49850,47485,49166,54284,62211,76021,84785,85798,87976,90589,88832,92650
1565,r004,Both sexes -> All fields -> S&E -> Engineering,Both sexes,All fields,S&E,Engineering,,,,,4,1794,1898,1781,2278,2843,2557,2291,2272,2403,2329,2665,2994,3537,3871,4409,5004,5414,6048
1565,r005,Both sexes -> All fields -> S&E -> Engineering -> Aerospace,Both sexes,All fields,S&E,Engineering,Aerospace,,,,5,1,0,0,0,0,0,2,0,0,0,2,0,3,1,0,3,0,0
1565,r006,Both sexes -> All fields -> S&E -> Engineering -> Chemical,Both sexes,All fields,S&E,Engineering,Chemical,,,,5,16,18,28,7,305,2,7,3,1,10,9,31,13,22,21,50,38,42
1565,r007,Both sexes -> All fields -> S&E -> Engineering -> Civil,Both sexes,All fields,S&E,Engineering,Civil,,,,5,58,53,46,62,58,52,43,64,37,62,47,71,93,121,110,103,126,147
1565,r008,Both sexes -> All fields -> S&E -> Engineering -> Electrical,Both sexes,All fields,S&E,Engineering,Electrical,,,,5,280,309,182,672,910,691,531,459,422,242,236,199,209,202,319,346,364,389
1565,r009,Both sexes -> All fields -> S&E -> Engineering -> Industrial,Both sexes,All fields,S&E,Engineering,Industrial,,,,5,67,132,80,81,49,88,57,56,57,83,72,69,67,64,66,99,72,68
1565,r010,Both sexes -> All fields -> S&E -> Engineering -> Materials,Both sexes,All fields,S&E,Engineering,Materials,,,,5,11,14,10,12,12,13,10,8,9,5,10,6,1,6,11,11,12,13
1565,r011,Both sexes -> All fields -> S&E -> Engineering -> Mechanical,Both sexes,All fields,S&E,Engineering,Mechanical,,,,5,77,67,65,69,70,64,68,77,100,121,137,139,177,184,213,209,307,316
1565,r012,Both sexes -> All fields -> S&E -> Engineering -> Other,Both sexes,All fields,S&E,Engineering,Other,,,,5,1284,1305,1370,1375,1439,1647,1573,1605,1777,1806,2152,2479,2974,3271,3669,4183,4495,5073
1565,r013,Both sexes -> All fields -> S&E -> Science,Both sexes,All fields,S&E,Science,,,,,4,36640,43328,49413,60527,57403,52193,47559,45213,46763,51955,59546,73027,81248,81927,83567,85585,83418,86602
1565,r014,Both sexes -> All fields -> S&E -> Science -> Natural sciences,Both sexes,All fields,S&E,Science,Natural sciences,,,,5,29130,35718,41243,52130,48289,42494,37622,34536,35299,37536,40801,48061,52943,51535,51491,51929,47217,49001
1565,r015,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Agricultural sciences,Both sexes,All fields,S&E,Science,Natural sciences,Agricultural sciences,,,6,1976,2106,2001,2018,1966,1908,1934,1790,1762,1811,1952,2138,2526,2392,2484,2678,2673,2781
1565,r016,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Biological sciences,Both sexes,All fields,S&E,Science,Natural sciences,Biological sciences,,,6,1484,1536,1577,1786,1753,1979,2028,2224,2379,2546,2881,3440,4028,4340,4689,5071,5461,5737
1565,r017,"Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences",Both sexes,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",,,6,82,82,58,52,41,45,67,69,67,98,99,95,103,112,136,153,152,151
1565,r018,"Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",Both sexes,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,,7,0,1,0,0,2,2,7,10,5,4,16,10,9,4,6,3,1,0
1565,r019,"Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences -> Earth sciences",Both sexes,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",Earth sciences,,7,28,38,28,34,25,23,40,41,39,59,55,50,67,70,96,112,118,149
1565,r020,"Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences -> Oceanography",Both sexes,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",Oceanography,,7,54,43,30,18,14,20,20,18,23,35,28,35,27,38,34,38,33,2
1565,r021,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences,Both sexes,All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,,,6,24251,30809,36264,47135,42955,36947,31923,28507,29182,30980,33565,39320,42719,40699,39783,39118,33541,34633
1565,r022,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences -> Computer sciences,Both sexes,All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,Computer sciences,,7,23576,30113,35578,46400,42153,36140,31170,27680,28327,30050,32514,37675,41190,38897,37643,36421,30512,31179
1565,r023,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences -> Mathematics and statistics,Both sexes,All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,Mathematics and statistics,,7,675,696,686,735,802,807,753,827,855,930,1051,1645,1529,1802,2140,2697,3029,3454
1565,r024,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,,,6,1337,1185,1343,1139,1574,1615,1670,1946,1909,2101,2304,3068,3567,3992,4399,4909,5390,5699
1565,r025,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Astronomy,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,Astronomy,,7,1,1,2,2,1,3,4,2,2,4,3,1,4,4,9,5,7,12
1565,r026,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Chemistry,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,Chemistry,,7,301,183,201,251,279,304,298,354,387,422,404,459,533,626,704,828,834,908
1565,r027,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Physics,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,Physics,,7,171,167,177,191,193,196,143,164,151,184,248,260,318,378,516,738,910,1006
1565,r028,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Other physical sciences,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,Other physical sciences,,7,864,834,963,695,1101,1112,1225,1426,1369,1491,1649,2348,2712,2984,3170,3338,3639,3773
1565,r029,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences,Both sexes,All fields,S&E,Science,Social and behavioral sciences,,,,5,7510,7610,8170,8397,9114,9699,9937,10677,11464,14419,18745,24966,28305,30392,32076,33656,36201,37601
1565,r030,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Psychology,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Psychology,,,6,1454,1553,1704,1785,1887,1942,1944,2213,2412,3949,6582,3866,4713,6118,7529,8736,10602,11282
1565,r031,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,,,6,6056,6057,6466,6612,7227,7757,7993,8464,9052,10470,12163,21100,23592,24274,24547,24920,25599,26319
1565,r032,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Anthropology,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Anthropology,,7,52,80,83,76,95,120,114,117,153,149,191,231,339,326,384,441,659,726
1565,r033,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Area and ethnic studies,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Area and ethnic studies,,7,250,299,314,121,98,106,114,148,163,170,208,216,189,254,341,365,385,400
1565,r034,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Economics,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Economics,,7,210,209,221,222,268,298,316,281,311,361,387,357,402,484,434,575,882,1343
1565,r035,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Linguistics,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Linguistics,,7,0,0,0,0,0,6,1,4,1,1,3,0,1,3,30,8,9,2
1565,r036,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Political science and public administration,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Political science and public administration,,7,1033,913,926,1159,1402,1566,1749,1788,1746,1831,2052,4592,5812,6549,6911,6835,6594,6729
1565,r037,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Sociology,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Sociology,,7,366,371,416,456,552,500,475,510,546,599,658,862,1071,1598,2050,2554,3272,3876
1565,r038,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Other social sciences,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Other social sciences,,7,4145,4185,4506,4578,4812,5161,5224,5616,6132,7359,8664,14842,15778,15060,14397,14142,13798,13243
1565,r039,Both sexes -> All fields -> Non-S&E,Both sexes,All fields,Non-S&E,,,,,,3,535062,540384,549100,575148,610089,646984,668332,685666,706432,738995,794170,873942,941751,929413,924547,933598,929028,921924
1565,r040,Both sexes -> All fields -> Non-S&E -> S&E technologies,Both sexes,All fields,Non-S&E,S&E technologies,,,,,4,83653,82055,76677,82133,87943,92521,96772,101898,106183,111172,124476,148636,165632,156573,148966,144098,136580,132581
