table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2021,field_2022_preliminary_
10261,r001,All fields,All fields,,,1,43750114,44673778
10261,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,3085502,3493397
10261,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,1796822,2483997
10261,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,327323,NA
10261,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,287382,NA
10261,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,606458,NA
10261,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,575659,NA
10261,r008,All fields -> Life sciences,All fields,Life sciences,,2,19169498,19323075
10261,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,485954,NA
10261,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,8465964,NA
10261,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,8175797,NA
10261,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,195054,NA
10261,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1846730,NA
10261,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,212312,196748
10261,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,1612352,2374856
10261,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,518,NA
10261,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,348827,NA
10261,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,215194,NA
10261,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,608578,NA
10261,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,439235,NA
10261,r021,All fields -> Psychology,All fields,Psychology,,2,1835546,1846335
10261,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,457,NA
10261,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,33704,NA
10261,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,1801385,NA
10261,r025,All fields -> Social sciences,All fields,Social sciences,,2,832410,907402
10261,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,19931,NA
10261,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,175443,NA
10261,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,9305,NA
10261,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,67754,NA
10261,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,559977,NA
10261,r031,All fields -> Engineering,All fields,Engineering,,2,10223332,10629283
10261,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,1508118,NA
10261,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,13076,NA
10261,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,611820,NA
10261,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,578925,NA
10261,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,687331,NA
10261,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,250266,NA
10261,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,175092,NA
10261,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,572643,NA
10261,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,5826062,NA
10261,r041,All fields -> Other fields,All fields,Other fields,,2,4982338,3418685
10261,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,86123,NA
10261,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,12257,NA
10261,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,627270,NA
10261,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,0.05,NA
10261,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,370,NA
10261,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0,NA
10261,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0,NA
10261,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,4256284,NA
