table_id,row_id,institution,rank,doctorate_recipients
1739,r001,"U. Michigan, Ann Arbor",1,853
1739,r002,"U. California, Berkeley",2,852
1739,r003,U. Wisconsin-Madison,3,770
1739,r004,"U. Illinois, Urbana-Champaign",4,766
1739,r005,"U. Texas, Austin",5,764
1739,r006,"Ohio State U., Columbus",6,749
1739,r007,Walden U.,7,746
1739,r008,U. Florida,8,738
1739,r009,"Purdue U., West Lafayette",9,730
1739,r010,"Texas A&M U., College Station and Health Science Center",9,730
1739,r011,Stanford U.,11,726
1739,r012,Harvard U.,12,717
1739,r013,"Pennsylvania State U., University Park and Hershey Medical Center",13,699
1739,r014,"U. California, Los Angeles",14,688
1739,r015,"U. Minnesota, Twin Cities",15,665
1739,r016,Columbia U. in the City of New York,16,659
1739,r017,Massachusetts Institute of Technology,17,645
1739,r018,"U. Washington, Seattle",18,619
1739,r019,"U. Maryland, College Park",19,586
1739,r020,"U. California, Davis",20,546
1739,r021,Cornell U.,21,539
1739,r022,Georgia Institute of Technology,22,512
1739,r023,Johns Hopkins U.,23,507
1739,r024,Michigan State U.,24,497
1739,r025,North Carolina State U.,25,495
1739,r026,"U. North Carolina, Chapel Hill",26,473
1739,r027,"U. California, San Diego",27,471
1739,r028,U. Georgia,28,461
1739,r029,U. Pennsylvania,29,448
1739,r030,U. Southern California,30,435
1739,r031,Northwestern U.,31,432
1739,r032,U. Chicago,31,432
1739,r033,New York U.,33,429
1739,r034,"Indiana U., Bloomington",34,427
1739,r035,Virginia Polytechnic Institute and State U.,35,426
1739,r036,Yale U.,36,413
1739,r037,"CUNY, Graduate Center",37,410
1739,r038,"U. Pittsburgh, Pittsburgh",38,404
1739,r039,Duke U.,39,400
1739,r040,Princeton U.,40,396
1739,r041,Iowa State U.,41,390
1739,r042,"Rutgers, State U. New Jersey, New Brunswick",41,390
1739,r043,U. Arizona,43,389
1739,r044,U. Colorado Boulder,44,383
1739,r045,"U. California, Irvine",45,380
1739,r046,"U. Tennessee, Knoxville",46,374
1739,r047,Florida State U.,47,373
1739,r048,"U. Missouri, Columbia",48,357
1739,r049,"U. California, Santa Barbara",49,355
1739,r050,Boston U.,50,343
